issue_no,repo,issue_url
208,Annif,https://github.com/NatLibFi/Annif/issues/208
389,Annif,https://github.com/NatLibFi/Annif/issues/389
459,Annif,https://github.com/NatLibFi/Annif/issues/459
17,apistar,https://github.com/encode/apistar/issues/17
94,apistar,https://github.com/encode/apistar/issues/94
120,apistar,https://github.com/encode/apistar/issues/120
4492,awx,https://github.com/ansible/awx/issues/4492
4531,awx,https://github.com/ansible/awx/issues/4531
4541,awx,https://github.com/ansible/awx/issues/4541
4573,awx,https://github.com/ansible/awx/issues/4573
4781,awx,https://github.com/ansible/awx/issues/4781
4907,awx,https://github.com/ansible/awx/issues/4907
4910,awx,https://github.com/ansible/awx/issues/4910
4943,awx,https://github.com/ansible/awx/issues/4943
5028,awx,https://github.com/ansible/awx/issues/5028
5046,awx,https://github.com/ansible/awx/issues/5046
5081,awx,https://github.com/ansible/awx/issues/5081
5099,awx,https://github.com/ansible/awx/issues/5099
5478,awx,https://github.com/ansible/awx/issues/5478
5528,awx,https://github.com/ansible/awx/issues/5528
5717,awx,https://github.com/ansible/awx/issues/5717
5882,awx,https://github.com/ansible/awx/issues/5882
5964,awx,https://github.com/ansible/awx/issues/5964
5983,awx,https://github.com/ansible/awx/issues/5983
6049,awx,https://github.com/ansible/awx/issues/6049
6225,awx,https://github.com/ansible/awx/issues/6225
6267,awx,https://github.com/ansible/awx/issues/6267
6309,awx,https://github.com/ansible/awx/issues/6309
6342,awx,https://github.com/ansible/awx/issues/6342
6362,awx,https://github.com/ansible/awx/issues/6362
6365,awx,https://github.com/ansible/awx/issues/6365
6433,awx,https://github.com/ansible/awx/issues/6433
6460,awx,https://github.com/ansible/awx/issues/6460
6492,awx,https://github.com/ansible/awx/issues/6492
6498,awx,https://github.com/ansible/awx/issues/6498
6520,awx,https://github.com/ansible/awx/issues/6520
6630,awx,https://github.com/ansible/awx/issues/6630
7063,awx,https://github.com/ansible/awx/issues/7063
7191,awx,https://github.com/ansible/awx/issues/7191
7243,awx,https://github.com/ansible/awx/issues/7243
7264,awx,https://github.com/ansible/awx/issues/7264
7665,awx,https://github.com/ansible/awx/issues/7665
7798,awx,https://github.com/ansible/awx/issues/7798
8202,awx,https://github.com/ansible/awx/issues/8202
8305,awx,https://github.com/ansible/awx/issues/8305
8641,awx,https://github.com/ansible/awx/issues/8641
8777,awx,https://github.com/ansible/awx/issues/8777
8838,awx,https://github.com/ansible/awx/issues/8838
9222,awx,https://github.com/ansible/awx/issues/9222
9441,awx,https://github.com/ansible/awx/issues/9441
9472,awx,https://github.com/ansible/awx/issues/9472
9772,awx,https://github.com/ansible/awx/issues/9772
10008,awx,https://github.com/ansible/awx/issues/10008
10383,awx,https://github.com/ansible/awx/issues/10383
10681,awx,https://github.com/ansible/awx/issues/10681
10879,awx,https://github.com/ansible/awx/issues/10879
11017,awx,https://github.com/ansible/awx/issues/11017
11130,awx,https://github.com/ansible/awx/issues/11130
11523,awx,https://github.com/ansible/awx/issues/11523
11622,awx,https://github.com/ansible/awx/issues/11622
13120,awx,https://github.com/ansible/awx/issues/13120
13429,awx,https://github.com/ansible/awx/issues/13429
13439,awx,https://github.com/ansible/awx/issues/13439
13597,awx,https://github.com/ansible/awx/issues/13597
5,catwatch,https://github.com/zalando-incubator/catwatch/issues/5
3468,cgm-remote-monitor,https://github.com/nightscout/cgm-remote-monitor/issues/3468
5347,cgm-remote-monitor,https://github.com/nightscout/cgm-remote-monitor/issues/5347
6843,cgm-remote-monitor,https://github.com/nightscout/cgm-remote-monitor/issues/6843
7910,cgm-remote-monitor,https://github.com/nightscout/cgm-remote-monitor/issues/7910
33,cwa-verification-server,https://github.com/corona-warn-app/cwa-verification-server/issues/33
55,cwa-verification-server,https://github.com/corona-warn-app/cwa-verification-server/issues/55
37,digdag,https://github.com/treasure-data/digdag/issues/37
658,digdag,https://github.com/treasure-data/digdag/issues/658
5,djoser,https://github.com/sunscrapers/djoser/issues/5
42,djoser,https://github.com/sunscrapers/djoser/issues/42
120,djoser,https://github.com/sunscrapers/djoser/issues/120
190,djoser,https://github.com/sunscrapers/djoser/issues/190
323,djoser,https://github.com/sunscrapers/djoser/issues/323
327,djoser,https://github.com/sunscrapers/djoser/issues/327
374,djoser,https://github.com/sunscrapers/djoser/issues/374
413,djoser,https://github.com/sunscrapers/djoser/issues/413
417,djoser,https://github.com/sunscrapers/djoser/issues/417
430,djoser,https://github.com/sunscrapers/djoser/issues/430
23179,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23179
23345,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23345
23415,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23415
23790,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23790
24661,dolibarr,https://github.com/Dolibarr/dolibarr/issues/24661
24780,dolibarr,https://github.com/Dolibarr/dolibarr/issues/24780
25929,dolibarr,https://github.com/Dolibarr/dolibarr/issues/25929
26066,dolibarr,https://github.com/Dolibarr/dolibarr/issues/26066
26307,dolibarr,https://github.com/Dolibarr/dolibarr/issues/26307
26881,dolibarr,https://github.com/Dolibarr/dolibarr/issues/26881
29115,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29115
29292,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29292
29372,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29372
29421,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29421
29424,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29424
29439,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29439
29594,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29594
30161,dolibarr,https://github.com/Dolibarr/dolibarr/issues/30161
30432,dolibarr,https://github.com/Dolibarr/dolibarr/issues/30432
30950,dolibarr,https://github.com/Dolibarr/dolibarr/issues/30950
31015,dolibarr,https://github.com/Dolibarr/dolibarr/issues/31015
31369,dolibarr,https://github.com/Dolibarr/dolibarr/issues/31369
31677,dolibarr,https://github.com/Dolibarr/dolibarr/issues/31677
32072,dolibarr,https://github.com/Dolibarr/dolibarr/issues/32072
32096,dolibarr,https://github.com/Dolibarr/dolibarr/issues/32096
32111,dolibarr,https://github.com/Dolibarr/dolibarr/issues/32111
