config,min_size,min_samples,metric,eps,min_df,max_df,Silhouette Score,Topic Coherence,Total Topics
1,10,10,cosine,0.5,2,300,0.06409495,0.56067982849142,12
2,10,10,cosine,0.5,2,400,0.05983896,0.605655245396525,11
3,10,10,cosine,0.5,2,500,0.05666559,0.636155049529612,10
4,10,10,cosine,0.5,2,600,0.058860462,0.60338735699186,10
5,10,10,cosine,0.5,2,700,0.05404314,0.621991193671685,10
6,10,10,cosine,0.5,3,300,0.061736263,0.587628082829975,12
7,10,10,cosine,0.5,3,400,0.071650125,0.5783784475779,13
8,10,10,cosine,0.5,3,500,0.06273088,0.562945100021093,10
9,10,10,cosine,0.5,3,600,0.0605793,0.617218769314546,11
10,10,10,cosine,0.5,3,700,0.059898738,0.633167098077625,9
11,10,10,cosine,0.5,4,300,0.045213923,0.528470752488553,8
12,10,10,cosine,0.5,4,400,0.06580892,0.575402909597018,12
13,10,10,cosine,0.5,4,500,0.053582817,0.56715433221979,9
14,10,10,cosine,0.5,4,600,0.05293381,0.516062312842274,10
15,10,10,cosine,0.5,4,700,0.05496917,0.574673189395243,10
16,10,10,cosine,0.5,5,300,0.063741826,0.579574642410937,11
17,10,10,cosine,0.5,5,400,0.05527264,0.596938810222584,9
18,10,10,cosine,0.5,5,500,0.06302003,0.551861556789799,12
19,10,10,cosine,0.5,5,600,0.055001352,0.515273625443799,10
20,10,10,cosine,0.5,5,700,0.05612096,0.575054859970735,9
21,10,10,cosine,0.6,2,300,0.048371226,0.581361357959382,12
22,10,10,cosine,0.6,2,400,0.055257875,0.543819520565158,13
23,10,10,cosine,0.6,2,500,0.052131273,0.540322025953485,13
24,10,10,cosine,0.6,2,600,0.05701226,0.555409634834042,13
25,10,10,cosine,0.6,2,700,0.053418525,0.545437093154258,13
26,10,10,cosine,0.6,3,300,0.0551808,0.550575111969518,12
27,10,10,cosine,0.6,3,400,0.05652183,0.59691747465789,12
28,10,10,cosine,0.6,3,500,0.047810692,0.562039912763201,11
29,10,10,cosine,0.6,3,600,0.058640856,0.539378686169865,13
30,10,10,cosine,0.6,3,700,0.053690374,0.547611685572404,12
31,10,10,cosine,0.6,4,300,0.05709032,0.556403160564082,12
32,10,10,cosine,0.6,4,400,0.04410864,0.53738646888479,10
33,10,10,cosine,0.6,4,500,0.056971215,0.568281837012169,12
34,10,10,cosine,0.6,4,600,0.056637242,0.544893003955012,12
35,10,10,cosine,0.6,4,700,0.05413026,0.55722627548109,12
36,10,10,cosine,0.6,5,300,0.043091808,0.536837844640166,11
37,10,10,cosine,0.6,5,400,0.0549183,0.50978598374713,13
38,10,10,cosine,0.6,5,500,0.05808349,0.545836136173433,12
39,10,10,cosine,0.6,5,600,0.04212733,0.496730584676483,11
40,10,10,cosine,0.6,5,700,0.05770391,0.493561090480851,13
41,10,10,cosine,0.7,2,300,0.05576564,0.554007644992389,14
