issue_no,repo,issue_url,title,description,patched_file_types,text_for_topic_modeling,prediction,confidence,combined_text
1227,WP-API,https://github.com/WP-API/WP-API/issues/1227,HTML entities are not decoded,"I'll suggest to evaluate a decoding of html entities. E.g. I have a category in Wordpress whose name is ""> something"". The '>' char is stored on the db by Wordpress as '&gt;' and when I query the plugin, I still get '&gt;'. However JSON is not HTML, and probably the use of HTML entities is not good. I suggest to use html_entity_decode() on category names, slugs and so on.",other-file | other-file | other-file,html entities decoded suggest evaluate decoding html entities category wordpress whose name something char stored wordpress query plugin still get however json html probably use html entities good suggest use html entity decode category names slugs,bug,0.85,"HTML entities are not decoded I'll suggest to evaluate a decoding of html entities. E.g. I have a category in Wordpress whose name is ""> something"". The '>' char is stored on the db by Wordpress as '&gt;' and when I query the plugin, I still get '&gt;'. However JSON is not HTML, and probably the use of HTML entities is not good. I suggest to use html_entity_decode() on category names, slugs and so on."
2730,WP-API,https://github.com/WP-API/WP-API/issues/2730,WP_REST_Attachment_Controller::update_item() is missing additional fields updates,The update callback for the attachments endpoint is missing the additional fields updates.,other-file,rest attachment controller item missing additional fields updates callback attachments endpoint missing additional fields updates,bug,0.85,WP_REST_Attachment_Controller::update_item() is missing additional fields updates The update callback for the attachments endpoint is missing the additional fields updates.
330,WP-API,https://github.com/WP-API/WP-API/issues/330,/posts endpoint ignores context=edit parameter,"Assuming: - a custom post type of `my_custom_type` - several custom fields like `a_custom_field` and `b_custom_field` The following endpoint doesn't include the custom fields in the meta data:  /posts?type=my_custom_type&context=edit  Unless I'm misunderstanding the docs, the `/posts` endpoint should include custom meta data. The custom fields meta data **is** included when I try the following:  /posts/19?context=edit ",other-file,posts endpoint ignores context edit parameter assuming custom post type custom type several custom fields like custom field custom field following endpoint include custom fields meta data posts type custom type context edit unless misunderstanding docs posts endpoint include custom meta data custom fields meta data included following posts context edit,bug,0.9,"/posts endpoint ignores context=edit parameter Assuming: - a custom post type of `my_custom_type` - several custom fields like `a_custom_field` and `b_custom_field` The following endpoint doesn't include the custom fields in the meta data:  /posts?type=my_custom_type&context=edit  Unless I'm misunderstanding the docs, the `/posts` endpoint should include custom meta data. The custom fields meta data **is** included when I try the following:  /posts/19?context=edit "
229,WP-API,https://github.com/WP-API/WP-API/issues/229,Draft posts should return null for dates,"At the moment, they return `0000-00-00 00:00:00` as per core, or a weirder date (such as `date('c', 0)`)",other-file | test-file | test-file | other-file | test-file | test-file,draft posts return null dates moment return per core weirder date date,bug,0.85,"Draft posts should return null for dates At the moment, they return `0000-00-00 00:00:00` as per core, or a weirder date (such as `date('c', 0)`)"
1621,WP-API,https://github.com/WP-API/WP-API/issues/1621,WP_REST_Request:get_params()/get_param() returns route,"Not sure if this was intended, but it's annoying me. In my callback, where `$request` is `WP_REST_Request` object and I do this:  $params = $request->get_params(); $zero = $request->get_param( 0 );  I get a 0 index in `$params` and `$zero` has the route URL. I don't see why it <em>should</em> be a param, it's not registered on the endpoint, and its redundant to what I can get with the `get_url_params()` method.",other-file | other-file,rest get params get param returns route sure intended annoying callback rest object params get params zero get param get index params zero route url see param registered endpoint redundant get get url params method,bug,0.85,"WP_REST_Request:get_params()/get_param() returns route Not sure if this was intended, but it's annoying me. In my callback, where `$request` is `WP_REST_Request` object and I do this:  $params = $request->get_params(); $zero = $request->get_param( 0 );  I get a 0 index in `$params` and `$zero` has the route URL. I don't see why it <em>should</em> be a param, it's not registered on the endpoint, and its redundant to what I can get with the `get_url_params()` method."
1959,WP-API,https://github.com/WP-API/WP-API/issues/1959,GET request for media files results in an empty array,"Hi I have been trying to fetch all the media files from the REST API using restangular, but no matter how I try it fails, so I decided to test the media endpoint via PostMan app and realized that although I can see the media files json object in my browsers when I browse to /wp-json/wp/v2/media but using PostMan or using restangular it always results in an empty array. The funny part is that during the time I was pulling my hair for getting the media files, the files showed up only once, and after one refresh they were gone forever, this could be a bug in the wp rest plugin.",test-file,get media files results empty array trying fetch media files rest api restangular matter fails decided media endpoint via postman app realized although see media files json object browsers browse json media postman restangular always results empty array funny part time pulling hair getting media files files showed one refresh gone forever could bug rest plugin,bug,0.9,"GET request for media files results in an empty array Hi I have been trying to fetch all the media files from the REST API using restangular, but no matter how I try it fails, so I decided to test the media endpoint via PostMan app and realized that although I can see the media files json object in my browsers when I browse to /wp-json/wp/v2/media but using PostMan or using restangular it always results in an empty array. The funny part is that during the time I was pulling my hair for getting the media files, the files showed up only once, and after one refresh they were gone forever, this could be a bug in the wp rest plugin."
1395,WP-API,https://github.com/WP-API/WP-API/issues/1395,Taxonomy term IDs not the same as what Wordpress actually wants?,"I'm seeing some very strange behavior when creating and then associating terms via the REST API: - The API will create the new term as requested and return a well-formed response including the new term ID. - Attempting to associate the new term using the returned ID to an existing post will succeed as well (HTTP 201). - However, when viewing the post in WP-Admin, some of the term associations are either missing or entirely wrong. What's really strange is that I can import a term via the API and then go search for it in WP-Admin as well. The ID that I got back in my REST response is NOT the term ID that Wordpress is using to render the Edit form for the term. That seems a red flag to me, but I'm not sure how or why it's happening. Attached are screenshots of importing the term, associating the term, searching for the term against the REST API -- these are all in agreement with each other. ![screen shot 2015-07-11 at 1 50 26 pm](https://cloud.githubusercontent.com/assets/643118/8634836/5c4406b4-27d7-11e5-8569-b9565d331183.png) ![screen shot 2015-07-11 at 2 05 33 pm](https://cloud.githubusercontent.com/assets/643118/8634838/697a5b80-27d7-11e5-9775-fd90a95aa364.png) ![screen shot 2015-07-11 at 2 19 15 pm](https://cloud.githubusercontent.com/assets/643118/8634851/fc4c0ff8-27d7-11e5-88a8-08f046b292e3.png) ![screen shot 2015-07-11 at 1 53 00 pm](https://cloud.githubusercontent.com/assets/643118/8634840/784d96f4-27d7-11e5-9c90-78514d77fd95.png) The last two screenshots are from the WP-Admin, and they clearly show that ""Women's Tennis"" is not associated to the Post, and the term ID is also different (27564 != 27580). ![screen shot 2015-07-11 at 1 56 15 pm](https://cloud.githubusercontent.com/assets/643118/8634841/7cb7723c-27d7-11e5-8371-cb4e8fb09216.png) ![screen shot 2015-07-11 at 1 56 52 pm](https://cloud.githubusercontent.com/assets/643118/8634842/7fa41388-27d7-11e5-8bad-7dfa14c07241.png) Any idea what's going wrong here?",other-file | other-file,taxonomy term ids wordpress actually wants seeing strange behavior creating associating terms via rest api api create new term requested return well formed response including new term attempting associate new term returned existing post succeed well http however viewing post admin term associations either missing entirely wrong really strange import term via api search admin well got back rest response term wordpress render edit form term seems red flag sure happening attached screenshots importing term associating term searching term rest api agreement screen shot https cloud githubusercontent assets png screen shot https cloud githubusercontent assets png screen shot https cloud githubusercontent assets png screen shot https cloud githubusercontent assets png last two screenshots admin clearly show women tennis associated post term also different screen shot https cloud githubusercontent assets png screen shot https cloud githubusercontent assets bad dfa png idea going wrong,bug,0.9,"Taxonomy term IDs not the same as what Wordpress actually wants? I'm seeing some very strange behavior when creating and then associating terms via the REST API: - The API will create the new term as requested and return a well-formed response including the new term ID. - Attempting to associate the new term using the returned ID to an existing post will succeed as well (HTTP 201). - However, when viewing the post in WP-Admin, some of the term associations are either missing or entirely wrong. What's really strange is that I can import a term via the API and then go search for it in WP-Admin as well. The ID that I got back in my REST response is NOT the term ID that Wordpress is using to render the Edit form for the term. That seems a red flag to me, but I'm not sure how or why it's happening. Attached are screenshots of importing the term, associating the term, searching for the term against the REST API -- these are all in agreement with each other. ![screen shot 2015-07-11 at 1 50 26 pm](https://cloud.githubusercontent.com/assets/643118/8634836/5c4406b4-27d7-11e5-8569-b9565d331183.png) ![screen shot 2015-07-11 at 2 05 33 pm](https://cloud.githubusercontent.com/assets/643118/8634838/697a5b80-27d7-11e5-9775-fd90a95aa364.png) ![screen shot 2015-07-11 at 2 19 15 pm](https://cloud.githubusercontent.com/assets/643118/8634851/fc4c0ff8-27d7-11e5-88a8-08f046b292e3.png) ![screen shot 2015-07-11 at 1 53 00 pm](https://cloud.githubusercontent.com/assets/643118/8634840/784d96f4-27d7-11e5-9c90-78514d77fd95.png) The last two screenshots are from the WP-Admin, and they clearly show that ""Women's Tennis"" is not associated to the Post, and the term ID is also different (27564 != 27580). ![screen shot 2015-07-11 at 1 56 15 pm](https://cloud.githubusercontent.com/assets/643118/8634841/7cb7723c-27d7-11e5-8371-cb4e8fb09216.png) ![screen shot 2015-07-11 at 1 56 52 pm](https://cloud.githubusercontent.com/assets/643118/8634842/7fa41388-27d7-11e5-8bad-7dfa14c07241.png) Any idea what's going wrong here?"
1143,WP-API,https://github.com/WP-API/WP-API/issues/1143,Multiple errors via param validation should be programmatically readable,"Currently if a request contains multiple invalid request args, we compile an error string showing all the issues. However, we don't pass all the different fields that errored. From @rmccue in slack: > `new WP_Error( 'json_missing_field', 'Missing $field', array( 'key' => $field ) )` > Would output as `[ { ""code"": ""json_missing_field"", ""message"": ""Missing abc"", ""data"": { ""key"": ""abc"" } }]`",other-file | test-file,multiple errors via param validation programmatically readable currently contains multiple invalid args compile string showing issues however pass different fields errored rmccue slack new json missing field missing field array key field would output json missing field message missing abc data key abc,bug,0.9,"Multiple errors via param validation should be programmatically readable Currently if a request contains multiple invalid request args, we compile an error string showing all the issues. However, we don't pass all the different fields that errored. From @rmccue in slack: > `new WP_Error( 'json_missing_field', 'Missing $field', array( 'key' => $field ) )` > Would output as `[ { ""code"": ""json_missing_field"", ""message"": ""Missing abc"", ""data"": { ""key"": ""abc"" } }]`"
492,WP-API,https://github.com/WP-API/WP-API/issues/492,API incompatible with setup_postdata,"Hello, Using this API and setting up the results with `setup_postdata()` again in another WordPress site creates incompatibility issues on the following properties: `post_author` versus `author` `post_date` versus `date` `post_content` versus `content` `post_title` versus `title` This means that `the_title()`, `the_content()`, etc will not work anymore. I can understand the desire to change these ancient property names to something that makes sense but it breaks compatibility with very standard WordPress functions which most people expect to work. We fixed our problem by filtering `json_prepare_post` and assigning the properties. Related closed issue. https://github.com/WP-API/WP-API/issues/41",other-file | other-file,api incompatible setup postdata hello api setting results setup postdata another wordpress site creates incompatibility issues following properties post versus post date versus date post content versus content post title versus title means title content etc work anymore understand desire ancient property names something makes sense breaks compatibility standard wordpress functions people expect work fixed filtering json prepare post assigning properties related closed https github api api issues,bug,0.85,"API incompatible with setup_postdata Hello, Using this API and setting up the results with `setup_postdata()` again in another WordPress site creates incompatibility issues on the following properties: `post_author` versus `author` `post_date` versus `date` `post_content` versus `content` `post_title` versus `title` This means that `the_title()`, `the_content()`, etc will not work anymore. I can understand the desire to change these ancient property names to something that makes sense but it breaks compatibility with very standard WordPress functions which most people expect to work. We fixed our problem by filtering `json_prepare_post` and assigning the properties. Related closed issue. https://github.com/WP-API/WP-API/issues/41"
414,WP-API,https://github.com/WP-API/WP-API/issues/414,Getting Parent Post / Comment but not doing anything with it,"It seems like there was an intention to populate the `parent` field of a comment with the actual parent object (post for top-level comments and comment for child comments), however the `$fields['parent']` value gets overwritten at the end with the `$comment->comment_parent` which I think is the logical thing to put in the `parent` field anyways. Can we have all the parent object info go into a `parent_object` field or some other name that's not `parent` or do we rip this code out altogether? [lib/class-wp-json-response.php:1570-1589](/WP-API/WP-API/blob/master/lib/class-wp-json-posts.php#L1570-1589)  php // Post if ( 'single'  $context ) { $parent = get_post( $post['post_parent'], ARRAY_A ); $fields['parent'] = $this->prepare_post( $parent, 'single-parent' ); } // Parent if ( ( 'single'  $context || 'single-parent'  $context ) && (int) $comment->comment_parent ) { $parent_fields = array( 'meta' ); if ( $context  'single' ) { $parent_fields[] = 'comment'; } $parent = get_comment( $post['post_parent'] ); $fields['parent'] = $this->prepare_comment( $parent, $parent_fields, 'single-parent' ); } // Parent $fields['parent'] = (int) $comment->comment_parent; ",other-file,getting parent post comment anything seems like intention populate parent field comment actual parent object post top level comments comment child comments however fields parent value gets overwritten end comment comment parent think logical thing put parent field anyways parent object parent object field name parent rip altogether class json response php api api blob class json posts php php post single context parent get post post post parent array fields parent prepare post parent single parent parent single context single parent context int comment comment parent parent fields array meta context single parent fields comment parent get comment post post parent fields parent prepare comment parent parent fields single parent parent fields parent int comment comment parent,bug,0.85,"Getting Parent Post / Comment but not doing anything with it It seems like there was an intention to populate the `parent` field of a comment with the actual parent object (post for top-level comments and comment for child comments), however the `$fields['parent']` value gets overwritten at the end with the `$comment->comment_parent` which I think is the logical thing to put in the `parent` field anyways. Can we have all the parent object info go into a `parent_object` field or some other name that's not `parent` or do we rip this code out altogether? [lib/class-wp-json-response.php:1570-1589](/WP-API/WP-API/blob/master/lib/class-wp-json-posts.php#L1570-1589)  php // Post if ( 'single'  $context ) { $parent = get_post( $post['post_parent'], ARRAY_A ); $fields['parent'] = $this->prepare_post( $parent, 'single-parent' ); } // Parent if ( ( 'single'  $context || 'single-parent'  $context ) && (int) $comment->comment_parent ) { $parent_fields = array( 'meta' ); if ( $context  'single' ) { $parent_fields[] = 'comment'; } $parent = get_comment( $post['post_parent'] ); $fields['parent'] = $this->prepare_comment( $parent, $parent_fields, 'single-parent' ); } // Parent $fields['parent'] = (int) $comment->comment_parent; "
