issue_no,repo,issue_url,title,description,patched_file_types,text_for_topic_modeling,prediction,confidence,combined_text
18447,netbox,https://github.com/netbox-community/netbox/issues/18447,"Sort by MAC address crashes ""interfaces"" tab view"," Deployment Type Self-hosted  NetBox Version v4.2.2  Python Version 3.11  Steps to Reproduce 1. Once logged in, clic ""virtualization"", 2. clic ""Virtual machines"" 3. clic a VM name which owns more than one interface (in order to be able to sort) 4. clic ""interfaces"" 5. clic to sort by ""mac address"". It's dead, you can not come back to ani ""interfaces"" tab anymore  Expected Behavior View ""interfaces"" tab like before MAC ADDRESS became an object.  Observed Behavior Server Error There was a problem with your request. Please contact an administrator. The complete exception is provided below: <class 'django.core.exceptions.FieldError'> Cannot resolve keyword 'mac_address' into field. Choices are: _name, bookmarks, bridge, bridge_id, bridge_interfaces, child_interfaces, created, custom_field_data, description, enabled, fhrp_group_assignments, id, ip_addresses, journal_entries, l2vpn_terminations, last_updated, mac_addresses, mode, mtu, name, parent, parent_id, primary_mac_address, primary_mac_address_id, qinq_svlan, qinq_svlan_id, subscriptions, tagged_items, tagged_vlans, tags, tunnel_terminations, untagged_vlan, untagged_vlan_id, virtual_machine, virtual_machine_id, vlan_translation_policy, vlan_translation_policy_id, vrf, vrf_id Python version: 3.11.2 NetBox version: 4.2.2 Plugins: None installed If further assistance is required, please post to the [NetBox discussion forum](https://github.com/netbox-community/netbox/discussions) on GitHub. [Home Page](http://netbox.sud.minint.fr/)",source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file,sort mac address crashes interfaces tab view deployment type self hosted python steps reproduce logged clic virtualization clic virtual machines clic name owns one interface order able sort clic interfaces clic sort mac address dead come back ani interfaces tab anymore expected behavior view interfaces tab like mac address became object observed behavior server please contact administrator complete exception provided class django core exceptions fielderror cannot resolve keyword mac address field choices name bookmarks bridge bridge bridge interfaces child interfaces created custom field data description enabled fhrp group assignments addresses journal entries vpn terminations last updated mac addresses mode mtu name parent parent primary mac address primary mac address qinq svlan qinq svlan subscriptions tagged items tagged vlans tags tunnel terminations untagged vlan untagged vlan virtual machine virtual machine vlan translation policy vlan translation policy vrf vrf python plugins none installed assistance required please post discussion forum https github community discussions github home page http sud minint,bug,0.95,"Sort by MAC address crashes ""interfaces"" tab view  Deployment Type Self-hosted  NetBox Version v4.2.2  Python Version 3.11  Steps to Reproduce 1. Once logged in, clic ""virtualization"", 2. clic ""Virtual machines"" 3. clic a VM name which owns more than one interface (in order to be able to sort) 4. clic ""interfaces"" 5. clic to sort by ""mac address"". It's dead, you can not come back to ani ""interfaces"" tab anymore  Expected Behavior View ""interfaces"" tab like before MAC ADDRESS became an object.  Observed Behavior Server Error There was a problem with your request. Please contact an administrator. The complete exception is provided below: <class 'django.core.exceptions.FieldError'> Cannot resolve keyword 'mac_address' into field. Choices are: _name, bookmarks, bridge, bridge_id, bridge_interfaces, child_interfaces, created, custom_field_data, description, enabled, fhrp_group_assignments, id, ip_addresses, journal_entries, l2vpn_terminations, last_updated, mac_addresses, mode, mtu, name, parent, parent_id, primary_mac_address, primary_mac_address_id, qinq_svlan, qinq_svlan_id, subscriptions, tagged_items, tagged_vlans, tags, tunnel_terminations, untagged_vlan, untagged_vlan_id, virtual_machine, virtual_machine_id, vlan_translation_policy, vlan_translation_policy_id, vrf, vrf_id Python version: 3.11.2 NetBox version: 4.2.2 Plugins: None installed If further assistance is required, please post to the [NetBox discussion forum](https://github.com/netbox-community/netbox/discussions) on GitHub. [Home Page](http://netbox.sud.minint.fr/)"
18738,netbox,https://github.com/netbox-community/netbox/issues/18738,Script List is ignoring specified sort order of scripts," Deployment Type Self-hosted  NetBox Version v4.2.4  Python Version 3.12  Steps to Reproduce Create a custom script module with multiple scripts, specify custom sort order via script_order.  Expected Behavior Scripts in module are sorted das specified in script_order  Observed Behavior Scripts are sorted alphabetically by Script Class name",source-file | other-file | source-file | other-file,script list ignoring specified sort order scripts deployment type self hosted python steps reproduce create custom script module multiple scripts specify custom sort order via script order expected behavior scripts module sorted das specified script order observed behavior scripts sorted alphabetically script class name,bug,0.85,"Script List is ignoring specified sort order of scripts  Deployment Type Self-hosted  NetBox Version v4.2.4  Python Version 3.12  Steps to Reproduce Create a custom script module with multiple scripts, specify custom sort order via script_order.  Expected Behavior Scripts in module are sorted das specified in script_order  Observed Behavior Scripts are sorted alphabetically by Script Class name"
18833,netbox,https://github.com/netbox-community/netbox/issues/18833,Inventory Item Bulk Import - 'InventoryItemImportForm' has no field named 'component_id'., Deployment Type Self-hosted  NetBox Version v4.2.4  Python Version 3.10  Steps to Reproduce 1. Enter Data in Direct Import tab on Inventory Item Bulk Import page 2. Click Submit Data is in CSV format with headers: device name status role part_id serial description component_type component_name  Expected Behavior Inventory items should have been imported  Observed Behavior Server Error There was a problem with your request. Please contact an administrator. The complete exception is provided below: <class 'ValueError'> 'InventoryItemImportForm' has no field named 'component_id'. Python version: 3.10.12 NetBox version: 4.2.4 Plugins: netbox_topology_views: 4.2.0,source-file,inventory item bulk import inventoryitemimportform field named component deployment type self hosted python steps reproduce enter data direct import tab inventory item bulk import page click submit data csv format headers device name status role part serial description component type component name expected behavior inventory items imported observed behavior server please contact administrator complete exception provided class valueerror inventoryitemimportform field named component python plugins topology views,bug,0.9,Inventory Item Bulk Import - 'InventoryItemImportForm' has no field named 'component_id'.  Deployment Type Self-hosted  NetBox Version v4.2.4  Python Version 3.10  Steps to Reproduce 1. Enter Data in Direct Import tab on Inventory Item Bulk Import page 2. Click Submit Data is in CSV format with headers: device name status role part_id serial description component_type component_name  Expected Behavior Inventory items should have been imported  Observed Behavior Server Error There was a problem with your request. Please contact an administrator. The complete exception is provided below: <class 'ValueError'> 'InventoryItemImportForm' has no field named 'component_id'. Python version: 3.10.12 NetBox version: 4.2.4 Plugins: netbox_topology_views: 4.2.0
18991,netbox,https://github.com/netbox-community/netbox/issues/18991,Path tracing broken for front/rear ports in REST API," Deployment Type Self-hosted  NetBox Version v4.2.6  Python Version 3.12  Steps to Reproduce 1. Go to https://[SERVER_URL]/api/dcim/rear-ports/ 2. Select any existing port by clicking on its ""url"" 3. The REST API now display the data for a single port, for example: https://[SERVER_URL]/api/dcim/rear-ports/70479/ 4. Append ""paths/"" to this URL: https://[SERVER_URL]/api/dcim/rear-ports/70479/paths  Expected Behavior The REST API should return the CablePaths which traverse the given pass-through port.  Observed Behavior 'AttributeError' is raised.  'NoneType' object has no attribute 'model'  This error is not observed on NetBox 4.2.5 I believe this may have been introduced by https://github.com/netbox-community/netbox/pull/18826 ?",test-file | source-file | test-file | source-file,path tracing broken front rear ports rest api deployment type self hosted python steps reproduce https server url api dcim rear ports select existing port clicking url rest api display data single port example https server url api dcim rear ports append paths url https server url api dcim rear ports paths expected behavior rest api return cablepaths traverse given pass port observed behavior attributeerror raised nonetype object attribute model observed believe may introduced https github community,bug,0.95,"Path tracing broken for front/rear ports in REST API  Deployment Type Self-hosted  NetBox Version v4.2.6  Python Version 3.12  Steps to Reproduce 1. Go to https://[SERVER_URL]/api/dcim/rear-ports/ 2. Select any existing port by clicking on its ""url"" 3. The REST API now display the data for a single port, for example: https://[SERVER_URL]/api/dcim/rear-ports/70479/ 4. Append ""paths/"" to this URL: https://[SERVER_URL]/api/dcim/rear-ports/70479/paths  Expected Behavior The REST API should return the CablePaths which traverse the given pass-through port.  Observed Behavior 'AttributeError' is raised.  'NoneType' object has no attribute 'model'  This error is not observed on NetBox 4.2.5 I believe this may have been introduced by https://github.com/netbox-community/netbox/pull/18826 ?"
18872,netbox,https://github.com/netbox-community/netbox/issues/18872,Treatment of `kind` field on JournalEntry is inconsistent," Deployment Type NetBox Cloud  NetBox Version v4.2.5  Python Version 3.10  Steps to Reproduce 1. View a site and click the ""Journal"" tab. 2. Add a journal entry without specifying a kind.  Expected Behavior The `kind` field should always be required (AFAICT): python class JournalEntry(): kind = models.CharField( verbose_name=_('kind'), max_length=30, choices=JournalEntryKindChoices, default=JournalEntryKindChoices.KIND_INFO )   Observed Behavior The `kind` field is not required by either the model's form or its REST API serializer. python class JournalEntryForm(NetBoxModelForm): kind = forms.ChoiceField( label=_('Kind'), choices=add_blank_choice(JournalEntryKindChoices), required=False )  python class JournalEntrySerializer(NetBoxModelSerializer): kind = ChoiceField( choices=JournalEntryKindChoices, required=False ) ",source-file | source-file | source-file | source-file,treatment kind field journalentry inconsistent deployment type cloud python steps reproduce view site click journal tab journal entry without specifying kind expected behavior kind field always required afaict python class journalentry kind models charfield verbose name kind max length choices journalentrykindchoices default journalentrykindchoices kind observed behavior kind field required either model form rest api serializer python class journalentryform netboxmodelform kind forms choicefield label kind choices blank choice journalentrykindchoices required false python class journalentryserializer netboxmodelserializer kind choicefield choices journalentrykindchoices required false,bug,0.9,"Treatment of `kind` field on JournalEntry is inconsistent  Deployment Type NetBox Cloud  NetBox Version v4.2.5  Python Version 3.10  Steps to Reproduce 1. View a site and click the ""Journal"" tab. 2. Add a journal entry without specifying a kind.  Expected Behavior The `kind` field should always be required (AFAICT): python class JournalEntry(): kind = models.CharField( verbose_name=_('kind'), max_length=30, choices=JournalEntryKindChoices, default=JournalEntryKindChoices.KIND_INFO )   Observed Behavior The `kind` field is not required by either the model's form or its REST API serializer. python class JournalEntryForm(NetBoxModelForm): kind = forms.ChoiceField( label=_('Kind'), choices=add_blank_choice(JournalEntryKindChoices), required=False )  python class JournalEntrySerializer(NetBoxModelSerializer): kind = ChoiceField( choices=JournalEntryKindChoices, required=False ) "
18838,netbox,https://github.com/netbox-community/netbox/issues/18838,Local Context Data can be set to non-none falsy values," Deployment Type Self-hosted  NetBox Version v4.2.5  Python Version 3.10  Steps to Reproduce 1. Edit a device in the UI (e.g. https://demo.netbox.dev/dcim/devices/37/) 2. Put in 0 as the local config context and save.  Expected Behavior Change gets rejected for not being correct JSON (like it does for any other flat values). Config Context also correctly rejects 0 or """" values.  Observed Behavior Change is accepted. ![Image](https://github.com/user-attachments/assets/07dfe041-dbc8-40cb-9b3a-f25fadc789d9) Relevant code: https://github.com/netbox-community/netbox/blame/v4.2.5/netbox/extras/models/configs.py#L202-L206 Happy to put up a PR for this.",source-file | test-file,local context data set non none falsy values deployment type self hosted python steps reproduce edit device https demo dcim devices put local config context save expected behavior gets rejected correct json like flat values config context also correctly rejects values observed behavior accepted image https github user attachments assets dfe dbc fadc relevant https github community blame extras models configs happy put,bug,0.9,"Local Context Data can be set to non-none falsy values  Deployment Type Self-hosted  NetBox Version v4.2.5  Python Version 3.10  Steps to Reproduce 1. Edit a device in the UI (e.g. https://demo.netbox.dev/dcim/devices/37/) 2. Put in 0 as the local config context and save.  Expected Behavior Change gets rejected for not being correct JSON (like it does for any other flat values). Config Context also correctly rejects 0 or """" values.  Observed Behavior Change is accepted. ![Image](https://github.com/user-attachments/assets/07dfe041-dbc8-40cb-9b3a-f25fadc789d9) Relevant code: https://github.com/netbox-community/netbox/blame/v4.2.5/netbox/extras/models/configs.py#L202-L206 Happy to put up a PR for this."
18368,netbox,https://github.com/netbox-community/netbox/issues/18368,Tags on MAC addresses can be created/accessed with the web UI but not the API, Deployment Type Self-hosted  Triage priority N/A  NetBox Version v4.2.1  Python Version 3.11  Steps to Reproduce Examine the API data for mac addresses: ![image](https://github.com/user-attachments/assets/66118a17-add8-46dc-8df1-8503b793e6c3) ![image](https://github.com/user-attachments/assets/9f1d45f7-15e3-4f8b-8a7a-9a0c831e1502)  Expected Behavior Tags can be created and retrieved with the API  Observed Behavior Tags cannot be created and retrieved with the API,source-file | source-file | source-file | source-file,tags mac addresses created accessed web api deployment type self hosted triage priority python steps reproduce examine api data mac addresses image https github user attachments assets image https github user attachments assets expected behavior tags created retrieved api observed behavior tags cannot created retrieved api,bug,0.95,Tags on MAC addresses can be created/accessed with the web UI but not the API  Deployment Type Self-hosted  Triage priority N/A  NetBox Version v4.2.1  Python Version 3.11  Steps to Reproduce Examine the API data for mac addresses: ![image](https://github.com/user-attachments/assets/66118a17-add8-46dc-8df1-8503b793e6c3) ![image](https://github.com/user-attachments/assets/9f1d45f7-15e3-4f8b-8a7a-9a0c831e1502)  Expected Behavior Tags can be created and retrieved with the API  Observed Behavior Tags cannot be created and retrieved with the API
18363,netbox,https://github.com/netbox-community/netbox/issues/18363,cant create vm mac-address via api," Deployment Type Self-hosted  Triage priority N/A  NetBox Version v4.2.1  Python Version 3.10  Steps to Reproduce 1. create an interface on a vm 2. attempt to use the api to create a mac address linked to the interface id (curl example from swagger)  curl -X 'POST' \ 'https://netbox.dev.domain/api/dcim/mac-addresses/' \ -H 'accept: application/json' \ -H 'Content-Type: application/json' \ -H 'X-CSRFTOKEN:{removed}' \ -d '{ ""mac_address"": ""BC:24:11:7E:0E:BF"", ""assigned_object_type"": ""virtualization.vminterface"", ""assigned_object_id"": 1 }'   Expected Behavior mac address gets created  Observed Behavior 400 response:  Error: Bad Request Response body Download { ""assigned_object_id"": [ ""This field cannot be null."" ] } ",source-file | source-file | test-file | test-file | source-file | test-file | test-file | source-file | test-file | test-file,cant create mac address via api deployment type self hosted triage priority python steps reproduce create interface attempt use api create mac address linked interface curl example swagger curl post https domain api dcim mac addresses accept application json content type application json csrftoken removed mac address assigned object type virtualization vminterface assigned object expected behavior mac address gets created observed behavior response bad response body download assigned object field cannot null,bug,0.95,"cant create vm mac-address via api  Deployment Type Self-hosted  Triage priority N/A  NetBox Version v4.2.1  Python Version 3.10  Steps to Reproduce 1. create an interface on a vm 2. attempt to use the api to create a mac address linked to the interface id (curl example from swagger)  curl -X 'POST' \ 'https://netbox.dev.domain/api/dcim/mac-addresses/' \ -H 'accept: application/json' \ -H 'Content-Type: application/json' \ -H 'X-CSRFTOKEN:{removed}' \ -d '{ ""mac_address"": ""BC:24:11:7E:0E:BF"", ""assigned_object_type"": ""virtualization.vminterface"", ""assigned_object_id"": 1 }'   Expected Behavior mac address gets created  Observed Behavior 400 response:  Error: Bad Request Response body Download { ""assigned_object_id"": [ ""This field cannot be null."" ] } "
18845,netbox,https://github.com/netbox-community/netbox/issues/18845,Cannot sort Devices by device NAME," Deployment Type Self-hosted  NetBox Version v4.2.5  Python Version 3.12  Steps to Reproduce On any netbox with one or more devices: 1. Go to DEVICES > Devices 2. Click the ""NAME"" column heading to sort by that field.  Expected Behavior Devices to be sorted by name.  Observed Behavior Nothing. Devices are not sorted by name. This also happens on the Demo NetBox: https://demo.netbox.dev/dcim/devices/?sort=name In this case, when the sort field is specified on the command line, you get:  Server Error There was a problem with your request. Please contact an administrator. The complete exception is provided below: <class 'django.core.exceptions.FieldError'> Cannot resolve keyword 'label' into field. Choices are: airflow, asset_tag, bookmarks, cabletermination, cluster, cluster_id, comments, config_template, config_template_id, console_port_count, console_server_port_count, consoleports, consoleserverports, contacts, created, custom_field_data, description, device_bay_count, device_type, device_type_id, devicebays, face, front_port_count, frontports, id, images, interface_count, interfaces, inventory_item_count, inventoryitems, journal_entries, last_updated, latitude, local_context_data, location, location_id, longitude, module_bay_count, modulebays, modules, name, oob_ip, oob_ip_id, parent_bay, platform, platform_id, position, power_outlet_count, power_port_count, poweroutlets, powerports, primary_ip4, primary_ip4_id, primary_ip6, primary_ip6_id, rack, rack_id, rear_port_count, rearports, role, role_id, serial, services, site, site_id, status, subscriptions, tagged_items, tags, tenant, tenant_id, vc_master_for, vc_position, vc_priority, vdcs, virtual_chassis, virtual_chassis_id, virtual_machines Python version: 3.12.9 NetBox version: 4.2.4 Plugins: netbox_demo: 0.5.0 ",source-file | source-file | source-file | source-file,cannot sort devices device name deployment type self hosted python steps reproduce one devices devices devices click name column heading sort field expected behavior devices sorted name observed behavior nothing devices sorted name also happens demo https demo dcim devices sort name case sort field specified command get server please contact administrator complete exception provided class django core exceptions fielderror cannot resolve keyword label field choices airflow asset tag bookmarks cabletermination cluster cluster comments config template config template console port count console server port count consoleports consoleserverports contacts created custom field data description device bay count device type device type devicebays face front port count frontports images interface count interfaces inventory item count inventoryitems journal entries last updated latitude local context data location location longitude module bay count modulebays modules name oob oob parent bay platform platform position power outlet count power port count poweroutlets powerports primary primary primary primary rack rack rear port count rearports role role serial services site site status subscriptions tagged items tags tenant tenant position priority vdcs virtual chassis virtual chassis virtual machines python plugins demo,bug,0.95,"Cannot sort Devices by device NAME  Deployment Type Self-hosted  NetBox Version v4.2.5  Python Version 3.12  Steps to Reproduce On any netbox with one or more devices: 1. Go to DEVICES > Devices 2. Click the ""NAME"" column heading to sort by that field.  Expected Behavior Devices to be sorted by name.  Observed Behavior Nothing. Devices are not sorted by name. This also happens on the Demo NetBox: https://demo.netbox.dev/dcim/devices/?sort=name In this case, when the sort field is specified on the command line, you get:  Server Error There was a problem with your request. Please contact an administrator. The complete exception is provided below: <class 'django.core.exceptions.FieldError'> Cannot resolve keyword 'label' into field. Choices are: airflow, asset_tag, bookmarks, cabletermination, cluster, cluster_id, comments, config_template, config_template_id, console_port_count, console_server_port_count, consoleports, consoleserverports, contacts, created, custom_field_data, description, device_bay_count, device_type, device_type_id, devicebays, face, front_port_count, frontports, id, images, interface_count, interfaces, inventory_item_count, inventoryitems, journal_entries, last_updated, latitude, local_context_data, location, location_id, longitude, module_bay_count, modulebays, modules, name, oob_ip, oob_ip_id, parent_bay, platform, platform_id, position, power_outlet_count, power_port_count, poweroutlets, powerports, primary_ip4, primary_ip4_id, primary_ip6, primary_ip6_id, rack, rack_id, rear_port_count, rearports, role, role_id, serial, services, site, site_id, status, subscriptions, tagged_items, tags, tenant, tenant_id, vc_master_for, vc_position, vc_priority, vdcs, virtual_chassis, virtual_chassis_id, virtual_machines Python version: 3.12.9 NetBox version: 4.2.4 Plugins: netbox_demo: 0.5.0 "
18949,netbox,https://github.com/netbox-community/netbox/issues/18949,The TenantType in GraphQL is missing the contacts property," Deployment Type Self-hosted  NetBox Version v4.2.5  Python Version 3.10  Steps to Reproduce 1. Create a tenant (assuming ID 1) 2. Create a contact (assuming with name ""John"") 3. Add a contact assignment to the tenant 4. Execute the GraphQL query: graphql query { tenant(id: 1) { contacts { contact { name } } } }   Expected Behavior Query returns: json { ""data"": { ""tenant"": { ""contacts"": [ { ""contact"": { ""name"": ""John"" } } ] } } }   Observed Behavior Query returns contacts on TenantType does not exist: json { ""data"": null, ""errors"": [ { ""message"": ""Cannot query field 'contacts' on type 'TenantType'. Did you mean 'comments'?"", ""locations"": [ { ""line"": 3, ""column"": 5 } ] } ] } ",source-file | source-file | source-file | source-file | source-file,tenanttype graphql missing contacts property deployment type self hosted python steps reproduce create tenant assuming create contact assuming name john contact assignment tenant execute graphql query graphql query tenant contacts contact name expected behavior query returns json data tenant contacts contact name john observed behavior query returns contacts tenanttype exist json data null errors message cannot query field contacts type tenanttype mean comments locations column,bug,0.95,"The TenantType in GraphQL is missing the contacts property  Deployment Type Self-hosted  NetBox Version v4.2.5  Python Version 3.10  Steps to Reproduce 1. Create a tenant (assuming ID 1) 2. Create a contact (assuming with name ""John"") 3. Add a contact assignment to the tenant 4. Execute the GraphQL query: graphql query { tenant(id: 1) { contacts { contact { name } } } }   Expected Behavior Query returns: json { ""data"": { ""tenant"": { ""contacts"": [ { ""contact"": { ""name"": ""John"" } } ] } } }   Observed Behavior Query returns contacts on TenantType does not exist: json { ""data"": null, ""errors"": [ { ""message"": ""Cannot query field 'contacts' on type 'TenantType'. Did you mean 'comments'?"", ""locations"": [ { ""line"": 3, ""column"": 5 } ] } ] } "
