issue_no,repo,issue_url,title,description,patched_file_types,text_for_topic_modeling,prediction,confidence,combined_text
7314,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/7314,"RePostPayment fails with System.InvalidOperationException: Headers are read-only, response has already started.","nopCommerce version: 4.6+ Steps to reproduce the problem: Calling RePostPayment fails with ""System.InvalidOperationException: Headers are read-only, response has already started."" at Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.HttpHeaders.ThrowHeadersReadOnlyException() at Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.HttpResponseHeaders.Microsoft.AspNetCore.Http.IHeaderDictionary.set_ContentType(StringValues value) at Microsoft.AspNetCore.Http.DefaultHttpResponse.set_ContentType(String value) at Microsoft.AspNetCore.Mvc.Infrastructure.ContentResultExecutor.ExecuteAsync(ActionContext context, ContentResult result) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.<InvokeNextResultFilterAsync>g__Awaited|30_0[TFilter,TFilterAsync](ResourceInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.Rethrow(ResultExecutedContextSealed context) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.ResultNext[TFilter,TFilterAsync](State& next, Scope& scope, Object& state, Boolean& isCompleted) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.InvokeResultFilters()  End of stack trace from previous location  https://github.com/nopSolutions/nopCommerce/blob/020f7571c2f37beedc33c8bfb04ab53565623c1b/src/Presentation/Nop.Web/Controllers/OrderController.cs#L237 Will write the form to the body. https://github.com/nopSolutions/nopCommerce/blob/020f7571c2f37beedc33c8bfb04ab53565623c1b/src/Presentation/Nop.Web/Controllers/OrderController.cs#L242 Will try to set Content Type header because of Content(""Redirected"").  Consider ""return new EmptyResult()"" instead of ""Content(""Redirected"")"", along with adding a <noscript> wrapped text ""please enable javascript"" or similar, to RemotePost https://github.com/nopSolutions/nopCommerce/blob/020f7571c2f37beedc33c8bfb04ab53565623c1b/src/Presentation/Nop.Web.Framework/RemotePost.cs#L115",other-file,repostpayment fails system invalidoperationexception headers read response already started steps reproduce calling repostpayment fails system invalidoperationexception headers read response already started microsoft aspnetcore server kestrel core internal http httpheaders throwheadersreadonlyexception microsoft aspnetcore server kestrel core internal http httpresponseheaders microsoft aspnetcore http iheaderdictionary set contenttype stringvalues value microsoft aspnetcore http defaulthttpresponse set contenttype string value microsoft aspnetcore mvc infrastructure contentresultexecutor executeasync actioncontext context contentresult result microsoft aspnetcore mvc infrastructure resourceinvoker invokenextresultfilterasync awaited tfilter tfilterasync resourceinvoker invoker task lasttask state next scope scope object state boolean iscompleted microsoft aspnetcore mvc infrastructure resourceinvoker rethrow resultexecutedcontextsealed context microsoft aspnetcore mvc infrastructure resourceinvoker resultnext tfilter tfilterasync state next scope scope object state boolean iscompleted microsoft aspnetcore mvc infrastructure resourceinvoker invokeresultfilters end stack trace previous location https github nopsolutions blob beedc bfb presentation nop web controllers ordercontroller write form body https github nopsolutions blob beedc bfb presentation nop web controllers ordercontroller set content type header content redirected consider return new emptyresult instead content redirected along adding noscript wrapped text please enable javascript similar remotepost https github nopsolutions blob beedc bfb presentation nop web framework remotepost,bug,0.85,"RePostPayment fails with System.InvalidOperationException: Headers are read-only, response has already started. nopCommerce version: 4.6+ Steps to reproduce the problem: Calling RePostPayment fails with ""System.InvalidOperationException: Headers are read-only, response has already started."" at Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.HttpHeaders.ThrowHeadersReadOnlyException() at Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.HttpResponseHeaders.Microsoft.AspNetCore.Http.IHeaderDictionary.set_ContentType(StringValues value) at Microsoft.AspNetCore.Http.DefaultHttpResponse.set_ContentType(String value) at Microsoft.AspNetCore.Mvc.Infrastructure.ContentResultExecutor.ExecuteAsync(ActionContext context, ContentResult result) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.<InvokeNextResultFilterAsync>g__Awaited|30_0[TFilter,TFilterAsync](ResourceInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.Rethrow(ResultExecutedContextSealed context) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.ResultNext[TFilter,TFilterAsync](State& next, Scope& scope, Object& state, Boolean& isCompleted) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.InvokeResultFilters()  End of stack trace from previous location  https://github.com/nopSolutions/nopCommerce/blob/020f7571c2f37beedc33c8bfb04ab53565623c1b/src/Presentation/Nop.Web/Controllers/OrderController.cs#L237 Will write the form to the body. https://github.com/nopSolutions/nopCommerce/blob/020f7571c2f37beedc33c8bfb04ab53565623c1b/src/Presentation/Nop.Web/Controllers/OrderController.cs#L242 Will try to set Content Type header because of Content(""Redirected"").  Consider ""return new EmptyResult()"" instead of ""Content(""Redirected"")"", along with adding a <noscript> wrapped text ""please enable javascript"" or similar, to RemotePost https://github.com/nopSolutions/nopCommerce/blob/020f7571c2f37beedc33c8bfb04ab53565623c1b/src/Presentation/Nop.Web.Framework/RemotePost.cs#L115"
2776,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/2776,/customer/productreviews doesn't respect Product's LimitToStores setting,"How to reproduce - 1. Setup two stores 2. Create a product and limit it to Store 1 3. Write a review for the product 4. Go to /customer/productreviews at Store 2 5. The review will be visible, even though it cannot be loaded",other-file | other-file | config-file | other-file | other-file | database-file | other-file | documentation-file | documentation-file | documentation-file | other-file | other-file | documentation-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | documentation-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file | other-file,customer productreviews respect product limittostores setting reproduce setup two stores create product limit store write review product customer productreviews store review visible even though cannot loaded,bug,0.85,"/customer/productreviews doesn't respect Product's LimitToStores setting How to reproduce - 1. Setup two stores 2. Create a product and limit it to Store 1 3. Write a review for the product 4. Go to /customer/productreviews at Store 2 5. The review will be visible, even though it cannot be loaded"
7308,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/7308,AJAX catalog requests should be converted from GET to POST,**nopCommerce version: 4.70.4** URL from Google results redirects to page without CSS In continuation of https://github.com/nopSolutions/nopCommerce/issues/7286. We should not allow to directly access them with GET (convert them to POST if possible),other-file | other-file | source-file | test-file | other-file | other-file,ajax catalog requests converted get post url google results redirects page without css continuation https github nopsolutions issues allow directly access get convert post possible,bug,0.85,AJAX catalog requests should be converted from GET to POST **nopCommerce version: 4.70.4** URL from Google results redirects to page without CSS In continuation of https://github.com/nopSolutions/nopCommerce/issues/7286. We should not allow to directly access them with GET (convert them to POST if possible)
5359,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/5359,Country State Ajax loader is not stopped,nopCommerce version: 4.40 Beta Steps to reproduce the problem: 1) Register new customer 2) Add any product to cart 3) Do checkout while filling the billing address click on country dropdown and select country ajax loader is continues loading. If state is filling based on country than also it is loading continuously. ![image](https://user-images.githubusercontent.com/41533502/108676031-9cc34680-750d-11eb-93b4-02288076bf31.png),source-file,country state ajax loader stopped beta steps reproduce register new customer product cart checkout filling billing address click country dropdown select country ajax loader continues loading state filling based country also loading continuously image https user images githubusercontent png,bug,0.85,Country State Ajax loader is not stopped nopCommerce version: 4.40 Beta Steps to reproduce the problem: 1) Register new customer 2) Add any product to cart 3) Do checkout while filling the billing address click on country dropdown and select country ajax loader is continues loading. If state is filling based on country than also it is loading continuously. ![image](https://user-images.githubusercontent.com/41533502/108676031-9cc34680-750d-11eb-93b4-02288076bf31.png)
183,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/183,"General error fix for the ""Error during serialization"" issues (admin area only)","When we have too long json return we can get an exception - http://www.nopcommerce.com/boards/t/38582/blog-posts-not-appearing-in-admin-screen.aspx However, adding this override on BaseController will fix the issue in cases we need the content to be on the first place:  protected override JsonResult Json(object data, string contentType, Encoding contentEncoding, JsonRequestBehavior behavior) { return new JsonResult() { Data = data, ContentType = contentType, ContentEncoding = contentEncoding, JsonRequestBehavior = behavior, MaxJsonLength = Int32.MaxValue }; }  Source: http://www.nopcommerce.com/boards/t/38582/blog-posts-not-appearing-in-admin-screen.aspx?p=2",other-file,general serialization issues admin area long json return get exception http www boards blog posts appearing admin screen aspx however adding override basecontroller cases need content first place protected override jsonresult json object data string contenttype encoding contentencoding jsonrequestbehavior behavior return new jsonresult data data contenttype contenttype contentencoding contentencoding jsonrequestbehavior behavior maxjsonlength int maxvalue http www boards blog posts appearing admin screen aspx,bug,0.85,"General error fix for the ""Error during serialization"" issues (admin area only) When we have too long json return we can get an exception - http://www.nopcommerce.com/boards/t/38582/blog-posts-not-appearing-in-admin-screen.aspx However, adding this override on BaseController will fix the issue in cases we need the content to be on the first place:  protected override JsonResult Json(object data, string contentType, Encoding contentEncoding, JsonRequestBehavior behavior) { return new JsonResult() { Data = data, ContentType = contentType, ContentEncoding = contentEncoding, JsonRequestBehavior = behavior, MaxJsonLength = Int32.MaxValue }; }  Source: http://www.nopcommerce.com/boards/t/38582/blog-posts-not-appearing-in-admin-screen.aspx?p=2"
3946,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/3946,"Registration activation with ""+"" in the email addres will not be successfull","nopCommerce version: 4.20 Steps to reproduce the problem: If the activation link contains the email in an unescaped format like this (user+name@gmail.com) then the plus sign in the URL is represents a space, so the activation will not be successful for the email ""user name@gmail.com"". Source: Premium Support #14907",other-file | other-file | other-file,registration activation email addres successfull steps reproduce activation link contains email unescaped format like user name gmail plus sign url represents space activation successful email user name gmail premium,bug,0.85,"Registration activation with ""+"" in the email addres will not be successfull nopCommerce version: 4.20 Steps to reproduce the problem: If the activation link contains the email in an unescaped format like this (user+name@gmail.com) then the plus sign in the URL is represents a space, so the activation will not be successful for the email ""user name@gmail.com"". Source: Premium Support #14907"
3630,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/3630,"Return 404 page when a topic, blog post, news item cannot be loaded",Right now it redirects to the home page,other-file | other-file | other-file,return page topic blog post news item cannot loaded right redirects home page,bug,0.85,"Return 404 page when a topic, blog post, news item cannot be loaded Right now it redirects to the home page"
7101,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/7101,Add more checks when validate shopping cart item attributes,"nopCommerce version: 4.60 > 1. Create a new nop installation, including the demo data (no plugins, no themes). > 2. Go to ""Nike Tailwind Loose Short-Sleeve Running Shirt"" in the frontend > 3. Select size ""Small"" > 4. Add the product to the cart, and place the order. > 5. Open exactly the same product in the backend > 6. Delete the product attribute value ""small"" from within the backend > 7. Navigate to the frontend, ""My Account > Orders"" and select the last order > 8. Press ""Rebuy"" and wait for redirect into the shopping cart > > And here is the problem. Once you are in the shopping cart you can see that there is already something weird happing. There is no product attribute description displayed. If you have a look at the database, your shopping cart item still contains the old product attribute Id that you previously deleted. > > 9. Place the order > > You were now successfully able to purchase a product (product attribute value) that no longer exists. Source: https://www.nopcommerce.com/boards/topic/98780/inconsistent-product-attribute-handling-in-reorder-functionality",other-file,checks validate shopping cart item attributes create new nop installation including demo data plugins themes nike tailwind loose short sleeve running shirt frontend select size small product cart place order open exactly product backend delete product attribute value small within backend navigate frontend account orders select last order press rebuy wait redirect shopping cart shopping cart see already something weird happing product attribute description displayed look database shopping cart item still contains old product attribute previously deleted place order successfully able purchase product product attribute value longer exists https www boards topic inconsistent product attribute handling reorder functionality,bug,0.85,"Add more checks when validate shopping cart item attributes nopCommerce version: 4.60 > 1. Create a new nop installation, including the demo data (no plugins, no themes). > 2. Go to ""Nike Tailwind Loose Short-Sleeve Running Shirt"" in the frontend > 3. Select size ""Small"" > 4. Add the product to the cart, and place the order. > 5. Open exactly the same product in the backend > 6. Delete the product attribute value ""small"" from within the backend > 7. Navigate to the frontend, ""My Account > Orders"" and select the last order > 8. Press ""Rebuy"" and wait for redirect into the shopping cart > > And here is the problem. Once you are in the shopping cart you can see that there is already something weird happing. There is no product attribute description displayed. If you have a look at the database, your shopping cart item still contains the old product attribute Id that you previously deleted. > > 9. Place the order > > You were now successfully able to purchase a product (product attribute value) that no longer exists. Source: https://www.nopcommerce.com/boards/topic/98780/inconsistent-product-attribute-handling-in-reorder-functionality"
3139,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/3139,Error when using a URL (store) that does not exist. It should throw error with usable errormessage.,"nopCommerce version: 4.1 Steps to reproduce the problem: If you have a url in the store(settings) that does not exist, you get a 502 error with no real error message. In order to find the real error, you have to debug the solution and get ""No such host"". Should there be a seperate URL for development?",other-file,url store exist throw usable errormessage steps reproduce url store settings exist get real message order find real solution get host seperate url development,bug,0.8,"Error when using a URL (store) that does not exist. It should throw error with usable errormessage. nopCommerce version: 4.1 Steps to reproduce the problem: If you have a url in the store(settings) that does not exist, you get a 502 error with no real error message. In order to find the real error, you have to debug the solution and get ""No such host"". Should there be a seperate URL for development?"
3584,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/3584,Customer is Null when updating Return Request,"When i try to update the status of a return request the customer information is not populated at all, and so a null reference is thrown. Source: https://www.nopcommerce.com/boards/t/58325/customer-is-null-when-updating-return-request-local-environment-sqlexpress.aspx",other-file,customer null updating return status return customer information populated null reference thrown https www boards customer null updating return local environment sqlexpress aspx,bug,0.85,"Customer is Null when updating Return Request When i try to update the status of a return request the customer information is not populated at all, and so a null reference is thrown. Source: https://www.nopcommerce.com/boards/t/58325/customer-is-null-when-updating-return-request-local-environment-sqlexpress.aspx"
