issue_no,repo,issue_url,title,description,patched_file_types,text_for_topic_modeling,prediction,confidence,combined_text
9132,vercel,https://github.com/vercel/vercel/issues/9132,Python ASGI functions crashing on incoming headers,"## Issue When deploying a Python ASGI application (e.g. using FastAPI, Sanic) with Vercel Serverless, the function is built successfully but invoking the URL the function leads to a crash with a 500 error. Here is the backend log from Vercel:  [ERROR] AttributeError: 'list' object has no attribute 'encode' Traceback (most recent call last): File ""/var/task/vc__handler__python.py"", line 288, in vc_handler 'headers': [[k.lower().encode(), v.encode()] for k, v in headers.items()], File ""/var/task/vc__handler__python.py"", line 288, in <listcomp> 'headers': [[k.lower().encode(), v.encode()] for k, v in headers.items()],  ## Investigations It seems there is an issue with incoming complex headers parsing for ASGI functions: - Python WSGI applications (e.g. using Flask) do not show this error - Invocations of ASGI functions using `curl` or `httpie` works perfectly, no errors - Bisecting headers from the web browser (Firefox, Chrome), here is a faulty header causing the crash:  Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8  - Invocations of ASGI functions using `curl` or `httpie` using the above header are triggering the error ## Reproduction A simple hello world app with FastAPI or Sanic in a module name `app.py`: python from fastapi import FastAPI app = FastAPI() @app.get(""/"") def index(): return {""message"": ""Hello World""}  python from sanic import Sanic from sanic.response import json app = Sanic(name=__name__) @app.route(""/"") async def index(request): return json({""message"": ""Hello World""})  `vercel.json`:  { ""builds"": [ { ""src"": ""app.py"", ""use"": ""@vercel/python"" } ], ""routes"": [ { ""src"": ""/(.*)"", ""dest"": ""app.py"" } ] }  ## Related issues - https://github.com/vercel/vercel/issues/2526",test-file | test-file | test-file | source-file,python asgi functions crashing incoming headers deploying python asgi application fastapi sanic serverless function built successfully invoking url function leads crash backend log attributeerror list object attribute encode traceback recent call last var task handler python handler headers lower encode encode headers items var task handler python listcomp headers lower encode encode headers items investigations seems incoming complex headers parsing asgi functions python wsgi applications flask show invocations asgi functions curl httpie works perfectly errors bisecting headers web browser firefox chrome faulty header causing crash accept text html application xhtml xml application xml image avif image webp invocations asgi functions curl httpie header triggering reproduction simple hello world app fastapi sanic module name app python fastapi import fastapi app fastapi app get def index return message hello world python sanic import sanic sanic response import json app sanic name name app route async def index return json message hello world json builds app use python routes dest app related issues https github issues,bug,0.9,"Python ASGI functions crashing on incoming headers ## Issue When deploying a Python ASGI application (e.g. using FastAPI, Sanic) with Vercel Serverless, the function is built successfully but invoking the URL the function leads to a crash with a 500 error. Here is the backend log from Vercel:  [ERROR] AttributeError: 'list' object has no attribute 'encode' Traceback (most recent call last): File ""/var/task/vc__handler__python.py"", line 288, in vc_handler 'headers': [[k.lower().encode(), v.encode()] for k, v in headers.items()], File ""/var/task/vc__handler__python.py"", line 288, in <listcomp> 'headers': [[k.lower().encode(), v.encode()] for k, v in headers.items()],  ## Investigations It seems there is an issue with incoming complex headers parsing for ASGI functions: - Python WSGI applications (e.g. using Flask) do not show this error - Invocations of ASGI functions using `curl` or `httpie` works perfectly, no errors - Bisecting headers from the web browser (Firefox, Chrome), here is a faulty header causing the crash:  Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8  - Invocations of ASGI functions using `curl` or `httpie` using the above header are triggering the error ## Reproduction A simple hello world app with FastAPI or Sanic in a module name `app.py`: python from fastapi import FastAPI app = FastAPI() @app.get(""/"") def index(): return {""message"": ""Hello World""}  python from sanic import Sanic from sanic.response import json app = Sanic(name=__name__) @app.route(""/"") async def index(request): return json({""message"": ""Hello World""})  `vercel.json`:  { ""builds"": [ { ""src"": ""app.py"", ""use"": ""@vercel/python"" } ], ""routes"": [ { ""src"": ""/(.*)"", ""dest"": ""app.py"" } ] }  ## Related issues - https://github.com/vercel/vercel/issues/2526"
738,vercel,https://github.com/vercel/vercel/issues/738,now buy domains returning `undefined` price,"  ~ git:(master)  now buy domains domain-name.something > The domain ""domain-name.something"" is available to buy under bukinoshita! [3s] > Buy now for $undefined (undefinedyr)? [y|N] ",other-file,buy domains returning undefined price git buy domains domain name something domain domain name something available buy bukinoshita buy undefined undefinedyr,bug,0.9,"now buy domains returning `undefined` price   ~ git:(master)  now buy domains domain-name.something > The domain ""domain-name.something"" is available to buy under bukinoshita! [3s] > Buy now for $undefined (undefinedyr)? [y|N] "
2162,vercel,https://github.com/vercel/vercel/issues/2162,"`now projects ` works, but `now project` does not","When removing a project  $ now projects rm  The project: nodejs will be removed permanently. It will also delete everything under the project including deployments. > Are you sure? [y/N]  but  $ now project rm  > Error! The specified file or directory ""project"" does not exist.  By convention, both should wortk.",source-file | source-file | source-file,projects works project removing project projects project nodejs removed permanently also delete everything project including deployments sure project specified directory project exist convention wortk,bug,0.85,"`now projects ` works, but `now project` does not When removing a project  $ now projects rm  The project: nodejs will be removed permanently. It will also delete everything under the project including deployments. > Are you sure? [y/N]  but  $ now project rm  > Error! The specified file or directory ""project"" does not exist.  By convention, both should wortk."
2760,vercel,https://github.com/vercel/vercel/issues/2760,404 error for removing deployment takes forever to exit,Try removing any deployment (might be related to having used an alias) and you will notice that the command (even thought it printed a 404) will take forever to exit: ![2019-08-14 00 43 07](https://user-images.githubusercontent.com/6170607/62982483-8c1c1580-be2c-11e9-8d61-9e03d6413790.gif),source-file | source-file | test-file | source-file | test-file,removing deployment takes forever exit removing deployment might related used alias notice command even thought printed take forever exit https user images githubusercontent gif,bug,0.85,404 error for removing deployment takes forever to exit Try removing any deployment (might be related to having used an alias) and you will notice that the command (even thought it printed a 404) will take forever to exit: ![2019-08-14 00 43 07](https://user-images.githubusercontent.com/6170607/62982483-8c1c1580-be2c-11e9-8d61-9e03d6413790.gif)
110,vercel,https://github.com/vercel/vercel/issues/110,Corrupt data stream due to HTTP/2 (suspected),After quite a few hours of investigation I suspect that multipart/form-data data streams become corrupt (garbled) due to HTTP/2. If I try to a upload a file when using HTTP/2 the first couple of bytes become garbled. If I disable HTTP/2 (chrome --disable-http2) then I am unable to reproduce the issue. I have only been able to reproduce the issue with one specific file on some computers. Not reproducable on all computers that I've tested with. See linked GitHub project for a minimal test project with detailed investigation observations. https://github.com/pqvst/form-test If the culprit is indeed the HTTP/2 stack in _now_ then I would say that this is a pretty critical issue since it means that file uploads aren't guaranteed to work. Perhaps there are other scenarios as well?,source-file | source-file,corrupt data stream due http suspected quite hours investigation suspect multipart form data data streams become corrupt garbled due http upload http first couple bytes become garbled disable http chrome disable http unable reproduce able reproduce one specific computers reproducable computers tested see linked github project minimal project detailed investigation observations https github pqvst form culprit indeed http stack would say pretty critical since means uploads guaranteed work perhaps scenarios well,bug,0.9,Corrupt data stream due to HTTP/2 (suspected) After quite a few hours of investigation I suspect that multipart/form-data data streams become corrupt (garbled) due to HTTP/2. If I try to a upload a file when using HTTP/2 the first couple of bytes become garbled. If I disable HTTP/2 (chrome --disable-http2) then I am unable to reproduce the issue. I have only been able to reproduce the issue with one specific file on some computers. Not reproducable on all computers that I've tested with. See linked GitHub project for a minimal test project with detailed investigation observations. https://github.com/pqvst/form-test If the culprit is indeed the HTTP/2 stack in _now_ then I would say that this is a pretty critical issue since it means that file uploads aren't guaranteed to work. Perhaps there are other scenarios as well?
2901,vercel,https://github.com/vercel/vercel/issues/2901,Errors are not being rendered,"If you break a serverless Node.js API, the error will not be rendered if you send a request to that file. Instead, it will load forever: [bad error handling.mp4.zip](https://github.com/zeit/now/files/3550905/bad.error.handling.mp4.zip)",documentation-file | other-file | documentation-file | other-file | documentation-file | other-file,errors rendered break serverless node api rendered send instead load forever bad handling zip https github zeit files bad handling zip,bug,0.85,"Errors are not being rendered If you break a serverless Node.js API, the error will not be rendered if you send a request to that file. Instead, it will load forever: [bad error handling.mp4.zip](https://github.com/zeit/now/files/3550905/bad.error.handling.mp4.zip)"
922,vercel,https://github.com/vercel/vercel/issues/922,"now alias ls gives ""Could not match path alias for""",`now --version` > 8.3.10 `now alias ls my-app-obfuscated.now.sh` **Gives:** > Error! Could not match path alias for: my-app-obfuscated.now.sh **Expected:** List rules for alias **Notes:** `now alias ls` lists my-app-obfuscated.now.sh as an alias for one of the deployments Any help would be appreciated,source-file,alias gives could match path alias alias app obfuscated gives could match path alias app obfuscated expected list rules alias notes alias lists app obfuscated alias one deployments help would appreciated,bug,0.85,"now alias ls gives ""Could not match path alias for"" `now --version` > 8.3.10 `now alias ls my-app-obfuscated.now.sh` **Gives:** > Error! Could not match path alias for: my-app-obfuscated.now.sh **Expected:** List rules for alias **Notes:** `now alias ls` lists my-app-obfuscated.now.sh as an alias for one of the deployments Any help would be appreciated"
3091,vercel,https://github.com/vercel/vercel/issues/3091,UnicodeEncodeError in python builder,"Any payload that has non-ascii characters in it blows up if not encoded in latin-1. All payloads from browsers will be utf-8. To reproduce: Have a web app send (fetch) a json payload with strings with Greek (or other non-ascii characters) to a python endpoint deployed on now. Logs:  Duration: 1.84 ms Billed Duration: 100 ms Memory Size: 3008 MB Max Memory Used: 66 MB Unhandled exception in thread started by <bound method BaseServer.handle_request of <http.server.HTTPServer object at 0x7f83a3e29e48>> Traceback (most recent call last): File ""/var/lang/lib/python3.6/socketserver.py"", line 298, in handle_request ready = selector.select(timeout) File ""/var/lang/lib/python3.6/selectors.py"", line 376, in select fd_event_list = self._poll.poll(timeout) PermissionError: [Errno 1] Operation not permitted 'latin-1' codec can't encode characters in position 2370-2379: Body ('') is not valid Latin-1. Use body.encode('utf-8') if you want to send it encoded in UTF-8.: UnicodeEncodeError Traceback (most recent call last): File ""/var/task/now__handler__python.py"", line 42, in now_handler headers=headers, data=body, allow_redirects=False) File ""/var/task/requests/api.py"", line 60, in request return session.request(method=method, url=url, **kwargs) File ""/var/task/requests/sessions.py"", line 533, in request resp = self.send(prep, **send_kwargs) File ""/var/task/requests/sessions.py"", line 646, in send r = adapter.send(request, **kwargs) File ""/var/task/requests/adapters.py"", line 449, in send timeout=timeout File ""/var/task/urllib3/connectionpool.py"", line 672, in urlopen chunked=chunked, File ""/var/task/urllib3/connectionpool.py"", line 387, in _make_request conn.request(method, url, **httplib_request_kw) File ""/var/lang/lib/python3.6/http/client.py"", line 1254, in request self._send_request(method, url, body, headers, encode_chunked) File ""/var/lang/lib/python3.6/http/client.py"", line 1299, in _send_request body = _encode(body, 'body') File ""/var/lang/lib/python3.6/http/client.py"", line 171, in _encode (name.title(), data[err.start:err.end], name)) from None UnicodeEncodeError: 'latin-1' codec can't encode characters in position 2370-2379: Body ('') is not valid Latin-1. Use body.encode('utf-8') if you want to send it encoded in UTF-8.  Full reproduction here: https://github.com/offero/nowpyunicodefail",test-file | test-file | source-file | source-file | test-file | test-file | test-file | source-file | test-file | test-file | test-file,unicodeencodeerror python builder payload non ascii characters blows encoded latin payloads browsers utf reproduce web app send fetch json payload strings greek non ascii characters python endpoint deployed logs duration billed duration memory size max memory used unhandled exception thread started bound method baseserver handle http server httpserver object traceback recent call last var lang python socketserver handle ready selector select timeout var lang python selectors select event list self poll poll timeout permissionerror errno operation permitted latin codec encode characters position body valid latin use body encode utf want send encoded utf unicodeencodeerror traceback recent call last var task handler python handler headers headers data body allow redirects false var task requests api return session method method url url kwargs var task requests sessions resp self send prep send kwargs var task requests sessions send adapter send kwargs var task requests adapters send timeout timeout var task urllib connectionpool urlopen chunked chunked var task urllib connectionpool make conn method url httplib var lang python http client self send method url body headers encode chunked var lang python http client send body encode body body var lang python http client encode name title data err start err end name none unicodeencodeerror latin codec encode characters position body valid latin use body encode utf want send encoded utf full reproduction https github offero nowpyunicodefail,bug,0.95,"UnicodeEncodeError in python builder Any payload that has non-ascii characters in it blows up if not encoded in latin-1. All payloads from browsers will be utf-8. To reproduce: Have a web app send (fetch) a json payload with strings with Greek (or other non-ascii characters) to a python endpoint deployed on now. Logs:  Duration: 1.84 ms Billed Duration: 100 ms Memory Size: 3008 MB Max Memory Used: 66 MB Unhandled exception in thread started by <bound method BaseServer.handle_request of <http.server.HTTPServer object at 0x7f83a3e29e48>> Traceback (most recent call last): File ""/var/lang/lib/python3.6/socketserver.py"", line 298, in handle_request ready = selector.select(timeout) File ""/var/lang/lib/python3.6/selectors.py"", line 376, in select fd_event_list = self._poll.poll(timeout) PermissionError: [Errno 1] Operation not permitted 'latin-1' codec can't encode characters in position 2370-2379: Body ('') is not valid Latin-1. Use body.encode('utf-8') if you want to send it encoded in UTF-8.: UnicodeEncodeError Traceback (most recent call last): File ""/var/task/now__handler__python.py"", line 42, in now_handler headers=headers, data=body, allow_redirects=False) File ""/var/task/requests/api.py"", line 60, in request return session.request(method=method, url=url, **kwargs) File ""/var/task/requests/sessions.py"", line 533, in request resp = self.send(prep, **send_kwargs) File ""/var/task/requests/sessions.py"", line 646, in send r = adapter.send(request, **kwargs) File ""/var/task/requests/adapters.py"", line 449, in send timeout=timeout File ""/var/task/urllib3/connectionpool.py"", line 672, in urlopen chunked=chunked, File ""/var/task/urllib3/connectionpool.py"", line 387, in _make_request conn.request(method, url, **httplib_request_kw) File ""/var/lang/lib/python3.6/http/client.py"", line 1254, in request self._send_request(method, url, body, headers, encode_chunked) File ""/var/lang/lib/python3.6/http/client.py"", line 1299, in _send_request body = _encode(body, 'body') File ""/var/lang/lib/python3.6/http/client.py"", line 171, in _encode (name.title(), data[err.start:err.end], name)) from None UnicodeEncodeError: 'latin-1' codec can't encode characters in position 2370-2379: Body ('') is not valid Latin-1. Use body.encode('utf-8') if you want to send it encoded in UTF-8.  Full reproduction here: https://github.com/offero/nowpyunicodefail"
1337,vercel,https://github.com/vercel/vercel/issues/1337,`now alias ls <url> --json` outputting the json to stderr," $ now alias ls my-path-alias.now.sh --json > rules.json { ""rules"": [ <snip> ] } ",source-file | source-file | source-file,alias url json outputting json stderr alias path alias json rules json rules snip,bug,0.85,"`now alias ls <url> --json` outputting the json to stderr  $ now alias ls my-path-alias.now.sh --json > rules.json { ""rules"": [ <snip> ] } "
3539,vercel,https://github.com/vercel/vercel/issues/3539,"now.json ""rewrites"" routes with dynamic params 404 using `now dev`", Reduced test-case: https://github.com/wilsonpage/zeit-now-next-rewrites-bug  Steps: 1. Run `now dev` 2. Visit http://localhost:3000/hello 3. Observe `world` `200` response  4. Visit http://localhost:3000/hello-regex/john 5. Observe `404` response  6. Visit http://localhost:3000/hello-param/john 7. Observe `404` response ,source-file | test-file,json rewrites routes dynamic params reduced case https github wilsonpage zeit next rewrites bug steps visit http localhost hello observe world response visit http localhost hello regex john observe response visit http localhost hello param john observe response,bug,0.85,"now.json ""rewrites"" routes with dynamic params 404 using `now dev`  Reduced test-case: https://github.com/wilsonpage/zeit-now-next-rewrites-bug  Steps: 1. Run `now dev` 2. Visit http://localhost:3000/hello 3. Observe `world` `200` response  4. Visit http://localhost:3000/hello-regex/john 5. Observe `404` response  6. Visit http://localhost:3000/hello-param/john 7. Observe `404` response "
