issue_url,patched_file_types,text_for_topic_modeling,topic
https://github.com/flowable/flowable-engine/issues/1915," test-file , test-file,source-file , source-file ",rest api executing action task includes date variable trying complete task rest api curl curl content type application json data json post http admin localhost flowable rest service runtime tasks cda dac data json action complete formdefinitionid acd variables name ciudad type string value cali name fecha type date value name cantidad type string value name aprobado type string value caused lang classcastexception class util date cannot cast class lang string util date lang string module base loader bootstrap flowable form engine impl cmd getvariablesfromformsubmissioncmd transformformfieldvaluetovariablevalue getvariablesfromformsubmissioncmd flowable form engine jar expected behavior task completed additional context docker flowable rest database postgresql,2
https://github.com/flowable/flowable-engine/issues/3536," test-file , test-file,source-file , source-file ",historic variables api crashes terminating process instance multi instance sub process call activity describe bug consulting get history historic variable instances api crashes variables nrofactiveinstances nrofcompletedinstances variables prematurely stop process instance delete runtime process instances processinstanceid api multi instance execution subprocess callactivity constructs expected behavior loading historic variables never crash obviously deploy model modelwithsubprocess bpmn xml zip https github flowable flowable engine files modelwithsubprocess bpmn xml zip flowable engine start new process instance post runtime process instances api retrieve process instance response body stop delete runtime process instances processinstanceid retrieve historic variables get history historic variable instances processinstanceid processinstanceid size api result http server content img width alt image https user images githubusercontent png log following exception flowable exception txt https github flowable flowable engine files flowable exception txt notice work query specific variablename long nrofactiveinstances nrofcompletedinstances look database noticeable thing var type act varinst variables bpmnparallelmultiinstancecompleted also case process still running time api crash complete process instance normal manner submitting tasks end event reached var type variables changed integer api also continues work expected additional context tested flowable able reproduce production uat environments well empty spawned docker flowable container docker hub https hub docker flowable flowable bug occurred use multi instance callactivity opposed mutli instance subprocess example model,-1
https://github.com/flowable/flowable-engine/issues/1939," test-file , test-file,source-file , source-file ",inconsistant variable query api like ignore case describe bug task query provides inconsistant api querying tasks querying process variables likeignorecase option available querying task variables expected behavior operations available variable querying apis bash curl post http localhost process api query tasks accept accept encoding gzip deflate cache control cache connection keep alive content length content type application json host localhost postman token cad user agent postmanruntime cache control cache includetasklocalvariables true includeprocessvariables true taskvariables name var value operation likeignorecase returns message bad exception unsupported variable query operation like ignore case,-1
https://github.com/flowable/flowable-engine/issues/3003," source-file,source-file , source-file ",wrong mediatype reported rest api forms describe bug app repository deployments resources rest api returns mediatype text xml form files expected behavior return application json correct media type forms additional context found verified branch defaultcontenttyperesolver https github flowable flowable engine blob modules flowable common rest flowable common rest resolver defaultcontenttyperesolver additionally found app files content type included common class appdeploymentresourceresource https github flowable flowable engine blob modules flowable app engine rest flowable app rest service api repository appdeploymentresourceresource probably centralised,2
https://github.com/flowable/flowable-engine/issues/280,"config-file , test-file",includetasklocalvariables true task local variables returned includetasklocalvariables true task local variables returned query url flowable task process api runtime tasks includetasklocalvariables true includeprocessvariables true thanks,-1
https://github.com/flowable/flowable-engine/issues/575," test-file,source-file , source-file ",unable bind headers http task unable bind http headers http task keys value look exception stack detailed check check prevents values http headers colon snippet also included http task headers invalid requestheaders invalid stack flowable engine common api flowableexception requestheaders invalid flowable http impl httpactivitybehaviorimpl setheaders httpactivitybehaviorimpl flowable http jar httpactivitybehaviorimpl protected void setheaders final httpmessage base final string headers throws ioexception bufferedreader reader new bufferedreader new stringreader headers string reader readline null string header split header length base addheader header header reader readline else throw new flowableexception http task headers invalid sample header passing host localhost connection keep alive content length postman token ffff aba cache control cache origin chrome extension fhbjgbiflinjbdggehcddcbncdddomop user agent mozilla windows win applewebkit khtml like gecko chrome safari content type application json accept accept encoding gzip deflate accept language,-1
https://github.com/flowable/flowable-engine/issues/1300,source-file,mapping found http uri flowable task cmmn api management jobs flowable admin deployed docker compose cmmn part list executable jobs tab jobs filter executable jobs select job execute job button execute job following occurs mapping found http uri flowable task cmmn api management jobs job dispatcherservlet name flowable cmmn rest api flowable admin service engine exception flowableserviceexception occurred calling flowable http flowable admin service engine flowableclientservice executerequestnoresponsebody flowableclientservice flowable admin logic jar flowable admin service engine cmmnjobservice executejob cmmnjobservice flowable admin logic jar flowable admin rest client cmmnjobclientresource executecmmnjob cmmnjobclientresource flowable admin rest jar reflect nativemethodaccessorimpl invoke native method reflect nativemethodaccessorimpl invoke nativemethodaccessorimpl reflect delegatingmethodaccessorimpl invoke delegatingmethodaccessorimpl lang reflect method invoke method springframework web method invocablehandlermethod doinvoke invocablehandlermethod spring web jar seems rest api used execute executable job right one think flowable task cmmn api cmmn management jobs job occurs executing timer job way filter timer jobs,-1
https://github.com/flowable/flowable-engine/issues/268," test-file , test-file,source-file , source-file ",businesskey set starting process instance message flowable engine start new process instance message business key send set process instance api rest api attached small unit displaying think occurs flowable engine impl cmd startprocessinstancebymessagecmd execute commandcontext commandcontext businesskey set actually passed processinstancehelper process instance created process instances created process definition key set business key correctly businesskeynotsettest zip https github flowable flowable engine files businesskeynotsettest zip,-1
https://github.com/flowable/flowable-engine/issues/1638," test-file , test-file,source-file , source-file ",nullpointerexception saving response json response returns body flowable modeler field save response json set true response body content delete method nullpointerexception thrown caused lang nullpointerexception fasterxml jackson core jsonfactory createparser jsonfactory jackson core jar fasterxml jackson databind objectmapper readtree objectmapper jackson databind jar flowable http httpactivityexecutor execute httpactivityexecutor flowable http jar refers httpactivityexecutor https github flowable flowable engine blob dada aab modules flowable http flowable http httpactivityexecutor object varvalue issaveresponseasjson objectmapper readtree response getbody response getbody response getbody returns null pass readtree,-1
https://github.com/flowable/flowable-engine/issues/1878,source-file,cannot delete privilege group rest api tried delete privilege group api got response status list groups given privilege group supposed fetched included list moreover even tried set wrong non existent groupid expecting throw exception still got response status privileges privilegeid group groupid upon checking privilegecollectionresource noticed invoking deleteuserprivilegemapping identityservice invoking deletegroupprivilegemapping instead apioperation value deletes privilege group nickname deletegroupprivilege tags privileges apiresponses value apiresponse message indicates group privilege deleted deletemapping value privileges privilegeid group groupid public void deletegroupprivilege pathvariable string privilegeid pathvariable string groupid privilege privilege getprivilegebyid privilegeid restapiinterceptor null restapiinterceptor deletegroupprivilege privilege groupid identityservice deleteuserprivilegemapping privilegeid groupid,7
https://github.com/flowable/flowable-engine/issues/3856," test-file , test-file,source-file , source-file ",rest api responses null value uuid variable types describe bug rest api method flowable rest service query historic variable instances returns null value variable type uuid processinstanceid processinstanceurl http server flowable rest service history historic process instances taskid null executionid variable name animalid type uuid value null unexpected null scope global expected behavior uuid variable value serialized string like value flowable rest flowable rest service api restresponsefactory method createrestvariable searching convertor list variableconverters variable converter variable type flowable variable service impl types uuidtype createrestvariable returns restvariable null value additional context reproduced flowable checked sources exists branch would nice next going upgrade soon going provide soon,2
