issue_no,repo,issue_url,title,description,patched_file_types,text_for_topic_modeling,prediction,confidence
1227,WP-API,https://github.com/WP-API/WP-API/issues/1227,HTML entities are not decoded,"I'll suggest to evaluate a decoding of html entities. E.g. I have a category in Wordpress whose name is ""> something"". The '>' char is stored on the db by Wordpress as '&gt;' and when I query the plugin, I still get '&gt;'. However JSON is not HTML, and probably the use of HTML entities is not good. I suggest to use html_entity_decode() on category names, slugs and so on.",other-file | other-file | other-file,"HTML entities are not decoded I'll suggest to evaluate a decoding of html entities. E.g. I have a category in Wordpress whose name is ""> something"". The '>' char is stored on the db by Wordpress as '&gt;' and when I query the plugin, I still get '&gt;'. However JSON is not HTML, and probably the use of HTML entities is not good. I suggest to use html_entity_decode() on category names, slugs and so on. other-file other-file other-file",bug,0.85
2730,WP-API,https://github.com/WP-API/WP-API/issues/2730,WP_REST_Attachment_Controller::update_item() is missing additional fields updates,The update callback for the attachments endpoint is missing the additional fields updates.,other-file,WP_REST_Attachment_Controller::update_item() is missing additional fields updates The update callback for the attachments endpoint is missing the additional fields updates. other-file,bug,0.85
330,WP-API,https://github.com/WP-API/WP-API/issues/330,/posts endpoint ignores context=edit parameter,"Assuming: - a custom post type of `my_custom_type` - several custom fields like `a_custom_field` and `b_custom_field` The following endpoint doesn't include the custom fields in the meta data:  /posts?type=my_custom_type&context=edit  Unless I'm misunderstanding the docs, the `/posts` endpoint should include custom meta data. The custom fields meta data **is** included when I try the following:  /posts/19?context=edit ",other-file,"/posts endpoint ignores context=edit parameter Assuming: - a custom post type of `my_custom_type` - several custom fields like `a_custom_field` and `b_custom_field` The following endpoint doesn't include the custom fields in the meta data:  /posts?type=my_custom_type&context=edit  Unless I'm misunderstanding the docs, the `/posts` endpoint should include custom meta data. The custom fields meta data **is** included when I try the following:  /posts/19?context=edit  other-file",bug,0.9
229,WP-API,https://github.com/WP-API/WP-API/issues/229,Draft posts should return null for dates,"At the moment, they return `0000-00-00 00:00:00` as per core, or a weirder date (such as `date('c', 0)`)",other-file | test-file | test-file | other-file | test-file | test-file,"Draft posts should return null for dates At the moment, they return `0000-00-00 00:00:00` as per core, or a weirder date (such as `date('c', 0)`) other-file test-file test-file other-file test-file test-file",bug,0.85
1621,WP-API,https://github.com/WP-API/WP-API/issues/1621,WP_REST_Request:get_params()/get_param() returns route,"Not sure if this was intended, but it's annoying me. In my callback, where `$request` is `WP_REST_Request` object and I do this:  $params = $request->get_params(); $zero = $request->get_param( 0 );  I get a 0 index in `$params` and `$zero` has the route URL. I don't see why it <em>should</em> be a param, it's not registered on the endpoint, and its redundant to what I can get with the `get_url_params()` method.",other-file | other-file,"WP_REST_Request:get_params()/get_param() returns route Not sure if this was intended, but it's annoying me. In my callback, where `$request` is `WP_REST_Request` object and I do this:  $params = $request->get_params(); $zero = $request->get_param( 0 );  I get a 0 index in `$params` and `$zero` has the route URL. I don't see why it <em>should</em> be a param, it's not registered on the endpoint, and its redundant to what I can get with the `get_url_params()` method. other-file other-file",bug,0.85
1959,WP-API,https://github.com/WP-API/WP-API/issues/1959,GET request for media files results in an empty array,"Hi I have been trying to fetch all the media files from the REST API using restangular, but no matter how I try it fails, so I decided to test the media endpoint via PostMan app and realized that although I can see the media files json object in my browsers when I browse to /wp-json/wp/v2/media but using PostMan or using restangular it always results in an empty array. The funny part is that during the time I was pulling my hair for getting the media files, the files showed up only once, and after one refresh they were gone forever, this could be a bug in the wp rest plugin.",test-file,"GET request for media files results in an empty array Hi I have been trying to fetch all the media files from the REST API using restangular, but no matter how I try it fails, so I decided to test the media endpoint via PostMan app and realized that although I can see the media files json object in my browsers when I browse to /wp-json/wp/v2/media but using PostMan or using restangular it always results in an empty array. The funny part is that during the time I was pulling my hair for getting the media files, the files showed up only once, and after one refresh they were gone forever, this could be a bug in the wp rest plugin. test-file",bug,0.9
1395,WP-API,https://github.com/WP-API/WP-API/issues/1395,Taxonomy term IDs not the same as what Wordpress actually wants?,"I'm seeing some very strange behavior when creating and then associating terms via the REST API: - The API will create the new term as requested and return a well-formed response including the new term ID. - Attempting to associate the new term using the returned ID to an existing post will succeed as well (HTTP 201). - However, when viewing the post in WP-Admin, some of the term associations are either missing or entirely wrong. What's really strange is that I can import a term via the API and then go search for it in WP-Admin as well. The ID that I got back in my REST response is NOT the term ID that Wordpress is using to render the Edit form for the term. That seems a red flag to me, but I'm not sure how or why it's happening. Attached are screenshots of importing the term, associating the term, searching for the term against the REST API -- these are all in agreement with each other. ![screen shot 2015-07-11 at 1 50 26 pm](https://cloud.githubusercontent.com/assets/643118/8634836/5c4406b4-27d7-11e5-8569-b9565d331183.png) ![screen shot 2015-07-11 at 2 05 33 pm](https://cloud.githubusercontent.com/assets/643118/8634838/697a5b80-27d7-11e5-9775-fd90a95aa364.png) ![screen shot 2015-07-11 at 2 19 15 pm](https://cloud.githubusercontent.com/assets/643118/8634851/fc4c0ff8-27d7-11e5-88a8-08f046b292e3.png) ![screen shot 2015-07-11 at 1 53 00 pm](https://cloud.githubusercontent.com/assets/643118/8634840/784d96f4-27d7-11e5-9c90-78514d77fd95.png) The last two screenshots are from the WP-Admin, and they clearly show that ""Women's Tennis"" is not associated to the Post, and the term ID is also different (27564 != 27580). ![screen shot 2015-07-11 at 1 56 15 pm](https://cloud.githubusercontent.com/assets/643118/8634841/7cb7723c-27d7-11e5-8371-cb4e8fb09216.png) ![screen shot 2015-07-11 at 1 56 52 pm](https://cloud.githubusercontent.com/assets/643118/8634842/7fa41388-27d7-11e5-8bad-7dfa14c07241.png) Any idea what's going wrong here?",other-file | other-file,"Taxonomy term IDs not the same as what Wordpress actually wants? I'm seeing some very strange behavior when creating and then associating terms via the REST API: - The API will create the new term as requested and return a well-formed response including the new term ID. - Attempting to associate the new term using the returned ID to an existing post will succeed as well (HTTP 201). - However, when viewing the post in WP-Admin, some of the term associations are either missing or entirely wrong. What's really strange is that I can import a term via the API and then go search for it in WP-Admin as well. The ID that I got back in my REST response is NOT the term ID that Wordpress is using to render the Edit form for the term. That seems a red flag to me, but I'm not sure how or why it's happening. Attached are screenshots of importing the term, associating the term, searching for the term against the REST API -- these are all in agreement with each other. ![screen shot 2015-07-11 at 1 50 26 pm](https://cloud.githubusercontent.com/assets/643118/8634836/5c4406b4-27d7-11e5-8569-b9565d331183.png) ![screen shot 2015-07-11 at 2 05 33 pm](https://cloud.githubusercontent.com/assets/643118/8634838/697a5b80-27d7-11e5-9775-fd90a95aa364.png) ![screen shot 2015-07-11 at 2 19 15 pm](https://cloud.githubusercontent.com/assets/643118/8634851/fc4c0ff8-27d7-11e5-88a8-08f046b292e3.png) ![screen shot 2015-07-11 at 1 53 00 pm](https://cloud.githubusercontent.com/assets/643118/8634840/784d96f4-27d7-11e5-9c90-78514d77fd95.png) The last two screenshots are from the WP-Admin, and they clearly show that ""Women's Tennis"" is not associated to the Post, and the term ID is also different (27564 != 27580). ![screen shot 2015-07-11 at 1 56 15 pm](https://cloud.githubusercontent.com/assets/643118/8634841/7cb7723c-27d7-11e5-8371-cb4e8fb09216.png) ![screen shot 2015-07-11 at 1 56 52 pm](https://cloud.githubusercontent.com/assets/643118/8634842/7fa41388-27d7-11e5-8bad-7dfa14c07241.png) Any idea what's going wrong here? other-file other-file",bug,0.9
1143,WP-API,https://github.com/WP-API/WP-API/issues/1143,Multiple errors via param validation should be programmatically readable,"Currently if a request contains multiple invalid request args, we compile an error string showing all the issues. However, we don't pass all the different fields that errored. From @rmccue in slack: > `new WP_Error( 'json_missing_field', 'Missing $field', array( 'key' => $field ) )` > Would output as `[ { ""code"": ""json_missing_field"", ""message"": ""Missing abc"", ""data"": { ""key"": ""abc"" } }]`",other-file | test-file,"Multiple errors via param validation should be programmatically readable Currently if a request contains multiple invalid request args, we compile an error string showing all the issues. However, we don't pass all the different fields that errored. From @rmccue in slack: > `new WP_Error( 'json_missing_field', 'Missing $field', array( 'key' => $field ) )` > Would output as `[ { ""code"": ""json_missing_field"", ""message"": ""Missing abc"", ""data"": { ""key"": ""abc"" } }]` other-file test-file",bug,0.9
492,WP-API,https://github.com/WP-API/WP-API/issues/492,API incompatible with setup_postdata,"Hello, Using this API and setting up the results with `setup_postdata()` again in another WordPress site creates incompatibility issues on the following properties: `post_author` versus `author` `post_date` versus `date` `post_content` versus `content` `post_title` versus `title` This means that `the_title()`, `the_content()`, etc will not work anymore. I can understand the desire to change these ancient property names to something that makes sense but it breaks compatibility with very standard WordPress functions which most people expect to work. We fixed our problem by filtering `json_prepare_post` and assigning the properties. Related closed issue. https://github.com/WP-API/WP-API/issues/41",other-file | other-file,"API incompatible with setup_postdata Hello, Using this API and setting up the results with `setup_postdata()` again in another WordPress site creates incompatibility issues on the following properties: `post_author` versus `author` `post_date` versus `date` `post_content` versus `content` `post_title` versus `title` This means that `the_title()`, `the_content()`, etc will not work anymore. I can understand the desire to change these ancient property names to something that makes sense but it breaks compatibility with very standard WordPress functions which most people expect to work. We fixed our problem by filtering `json_prepare_post` and assigning the properties. Related closed issue. https://github.com/WP-API/WP-API/issues/41 other-file other-file",bug,0.85
414,WP-API,https://github.com/WP-API/WP-API/issues/414,Getting Parent Post / Comment but not doing anything with it,"It seems like there was an intention to populate the `parent` field of a comment with the actual parent object (post for top-level comments and comment for child comments), however the `$fields['parent']` value gets overwritten at the end with the `$comment->comment_parent` which I think is the logical thing to put in the `parent` field anyways. Can we have all the parent object info go into a `parent_object` field or some other name that's not `parent` or do we rip this code out altogether? [lib/class-wp-json-response.php:1570-1589](/WP-API/WP-API/blob/master/lib/class-wp-json-posts.php#L1570-1589)  php // Post if ( 'single'  $context ) { $parent = get_post( $post['post_parent'], ARRAY_A ); $fields['parent'] = $this->prepare_post( $parent, 'single-parent' ); } // Parent if ( ( 'single'  $context || 'single-parent'  $context ) && (int) $comment->comment_parent ) { $parent_fields = array( 'meta' ); if ( $context  'single' ) { $parent_fields[] = 'comment'; } $parent = get_comment( $post['post_parent'] ); $fields['parent'] = $this->prepare_comment( $parent, $parent_fields, 'single-parent' ); } // Parent $fields['parent'] = (int) $comment->comment_parent; ",other-file,"Getting Parent Post / Comment but not doing anything with it It seems like there was an intention to populate the `parent` field of a comment with the actual parent object (post for top-level comments and comment for child comments), however the `$fields['parent']` value gets overwritten at the end with the `$comment->comment_parent` which I think is the logical thing to put in the `parent` field anyways. Can we have all the parent object info go into a `parent_object` field or some other name that's not `parent` or do we rip this code out altogether? [lib/class-wp-json-response.php:1570-1589](/WP-API/WP-API/blob/master/lib/class-wp-json-posts.php#L1570-1589)  php // Post if ( 'single'  $context ) { $parent = get_post( $post['post_parent'], ARRAY_A ); $fields['parent'] = $this->prepare_post( $parent, 'single-parent' ); } // Parent if ( ( 'single'  $context || 'single-parent'  $context ) && (int) $comment->comment_parent ) { $parent_fields = array( 'meta' ); if ( $context  'single' ) { $parent_fields[] = 'comment'; } $parent = get_comment( $post['post_parent'] ); $fields['parent'] = $this->prepare_comment( $parent, $parent_fields, 'single-parent' ); } // Parent $fields['parent'] = (int) $comment->comment_parent;  other-file",bug,0.85
