issue_no,repo,issue_url,title,description,patched_file_types,text_for_topic_modeling,prediction,confidence
1915,flowable-engine,https://github.com/flowable/flowable-engine/issues/1915,Rest API - Error executing an action of a task if it includes a date variable,"There is an error trying to complete a task using the rest api. **Curl Request:** > curl -s -H ""Content-Type: application/json"" -d ""@data-1.json"" -X POST \ > 'http://admin:test@localhost:8080/flowable-rest/service/runtime/tasks/4e056411-cda3-11e9-9dac-0242ac110007' **data-1.json:** > { > ""action"": ""complete"", > ""formDefinitionId"": ""c0acd5f6-cd9e-11e9-913a-0242ac110006"", > ""variables"": [ > { > ""name"": ""ciudad"", > ""type"": ""string"", > ""value"": ""Cali"" > }, > { > ""name"": ""fecha"", > ""type"": ""date"", > ""value"": ""2018-12-21"" > }, > { > ""name"": ""cantidad"", > ""type"": ""string"", > ""value"": ""1"" > }, > { > ""name"": ""aprobado"", > ""type"": ""string"", > ""value"": ""SI"" > } > ] > } **Error** > Caused by: java.lang.ClassCastException: class java.util.Date cannot be cast to class java.lang.String (java.util.Date and java.lang.String are in module java.base of loader 'bootstrap') at org.flowable.form.engine.impl.cmd.GetVariablesFromFormSubmissionCmd.transformFormFieldValueToVariableValue(GetVariablesFromFormSubmissionCmd.java:101) ~[flowable-form-engine-6.4.2.1.jar!/:6.4.2.1] **Expected behavior** The task is completed **Additional context** Docker flowable-rest:6.4.2.1 Database: Postgresql",source-file | source-file | test-file | test-file | source-file | test-file | test-file,"Rest API - Error executing an action of a task if it includes a date variable There is an error trying to complete a task using the rest api. **Curl Request:** > curl -s -H ""Content-Type: application/json"" -d ""@data-1.json"" -X POST \ > 'http://admin:test@localhost:8080/flowable-rest/service/runtime/tasks/4e056411-cda3-11e9-9dac-0242ac110007' **data-1.json:** > { > ""action"": ""complete"", > ""formDefinitionId"": ""c0acd5f6-cd9e-11e9-913a-0242ac110006"", > ""variables"": [ > { > ""name"": ""ciudad"", > ""type"": ""string"", > ""value"": ""Cali"" > }, > { > ""name"": ""fecha"", > ""type"": ""date"", > ""value"": ""2018-12-21"" > }, > { > ""name"": ""cantidad"", > ""type"": ""string"", > ""value"": ""1"" > }, > { > ""name"": ""aprobado"", > ""type"": ""string"", > ""value"": ""SI"" > } > ] > } **Error** > Caused by: java.lang.ClassCastException: class java.util.Date cannot be cast to class java.lang.String (java.util.Date and java.lang.String are in module java.base of loader 'bootstrap') at org.flowable.form.engine.impl.cmd.GetVariablesFromFormSubmissionCmd.transformFormFieldValueToVariableValue(GetVariablesFromFormSubmissionCmd.java:101) ~[flowable-form-engine-6.4.2.1.jar!/:6.4.2.1] **Expected behavior** The task is completed **Additional context** Docker flowable-rest:6.4.2.1 Database: Postgresql source-file source-file test-file test-file source-file test-file test-file",bug,0.95
1028,flowable-engine,https://github.com/flowable/flowable-engine/issues/1028,Decision Table Editor; using expressions as outcomes,There is an issue when using expressions in an output entry with the type string. When transforming editor JSON to DMN model the expression is surrounded with quotes. This causes the expression not being resolved and should be fixed.,source-file | test-file | test-file | test-file,Decision Table Editor; using expressions as outcomes There is an issue when using expressions in an output entry with the type string. When transforming editor JSON to DMN model the expression is surrounded with quotes. This causes the expression not being resolved and should be fixed. source-file test-file test-file test-file,bug,0.85
3536,flowable-engine,https://github.com/flowable/flowable-engine/issues/3536,Historic variables API crashes after terminating process instance during multi-instance sub process or call activity,"**Describe the bug** Consulting the `GET /history/historic-variable-instances` API crashes for variables ""nrOfActiveInstances"" and ""nrOfCompletedInstances"" variables when you (prematurely) stop a process instance (with the `DELETE runtime/process-instances/{processInstanceId}` API) during a multi-instance execution (eg. using the `subProcess` or `callActivity` constructs). **Expected behavior** Loading the historic variables should never crash obviously. **Code** Deploy this model ([ModelWithSubProcess.bpmn20.xml.zip](https://github.com/flowable/flowable-engine/files/10114350/ModelWithSubProcess.bpmn20.xml.zip)) to a Flowable engine, start a new process instance using the `POST runtime/process-instances` API, retrieve the process instance id from the response body and stop it again using the `DELETE runtime/process-instances/{processInstanceId}` Then go and retrieve the historic variables using the `GET history/historic-variable-instances?processInstanceId={processInstanceId}&size=500` API. This will result in an HTTP 500 server error with content: <img width=""327"" alt=""image"" src=""https://user-images.githubusercontent.com/599538/204570166-958a29a5-a04f-4056-9752-79735b6ec847.png"">  and log the following exception: [flowable-exception.txt](https://github.com/flowable/flowable-engine/files/10114434/flowable-exception.txt) Notice that this does work if you query for a specific variableName as long as it is not ""nrOfActiveInstances"" or ""nrOfCompletedInstances"". If you look at the database, the most noticeable thing is that the `var_type_` in `act_hi_varinst` for both variables is ""bpmnParallelMultiInstanceCompleted"". This is also the case when the process is still running, but at that time the API does not ""crash"". If you complete the process instance in a normal manner (by submitting the 3 tasks until an end event is reached), the `var_type_` for both variables is changed to ""integer"" and the API also continues to work as expected. **Additional context** Tested in Flowable 6.7.2 Able to reproduce in our own production and UAT environments as well as in an empty spawned [docker flowable-ui container from docker hub](https://hub.docker.com/r/flowable/flowable-ui). The same bug occurred when we use a multi-instance `callActivity` (as opposed to a mutli-instance `subProcess` in the example model above).",source-file | source-file | source-file | source-file | source-file | source-file | test-file | test-file | test-file | test-file | source-file | source-file | source-file | source-file | source-file | source-file | test-file | test-file | test-file | test-file | source-file | source-file | source-file | source-file | source-file | source-file | test-file | test-file | test-file | test-file,"Historic variables API crashes after terminating process instance during multi-instance sub process or call activity **Describe the bug** Consulting the `GET /history/historic-variable-instances` API crashes for variables ""nrOfActiveInstances"" and ""nrOfCompletedInstances"" variables when you (prematurely) stop a process instance (with the `DELETE runtime/process-instances/{processInstanceId}` API) during a multi-instance execution (eg. using the `subProcess` or `callActivity` constructs). **Expected behavior** Loading the historic variables should never crash obviously. **Code** Deploy this model ([ModelWithSubProcess.bpmn20.xml.zip](https://github.com/flowable/flowable-engine/files/10114350/ModelWithSubProcess.bpmn20.xml.zip)) to a Flowable engine, start a new process instance using the `POST runtime/process-instances` API, retrieve the process instance id from the response body and stop it again using the `DELETE runtime/process-instances/{processInstanceId}` Then go and retrieve the historic variables using the `GET history/historic-variable-instances?processInstanceId={processInstanceId}&size=500` API. This will result in an HTTP 500 server error with content: <img width=""327"" alt=""image"" src=""https://user-images.githubusercontent.com/599538/204570166-958a29a5-a04f-4056-9752-79735b6ec847.png"">  and log the following exception: [flowable-exception.txt](https://github.com/flowable/flowable-engine/files/10114434/flowable-exception.txt) Notice that this does work if you query for a specific variableName as long as it is not ""nrOfActiveInstances"" or ""nrOfCompletedInstances"". If you look at the database, the most noticeable thing is that the `var_type_` in `act_hi_varinst` for both variables is ""bpmnParallelMultiInstanceCompleted"". This is also the case when the process is still running, but at that time the API does not ""crash"". If you complete the process instance in a normal manner (by submitting the 3 tasks until an end event is reached), the `var_type_` for both variables is changed to ""integer"" and the API also continues to work as expected. **Additional context** Tested in Flowable 6.7.2 Able to reproduce in our own production and UAT environments as well as in an empty spawned [docker flowable-ui container from docker hub](https://hub.docker.com/r/flowable/flowable-ui). The same bug occurred when we use a multi-instance `callActivity` (as opposed to a mutli-instance `subProcess` in the example model above). source-file source-file source-file source-file source-file source-file test-file test-file test-file test-file source-file source-file source-file source-file source-file source-file test-file test-file test-file test-file source-file source-file source-file source-file source-file source-file test-file test-file test-file test-file",bug,0.95
1939,flowable-engine,https://github.com/flowable/flowable-engine/issues/1939,Inconsistant Variable Query API - Like Ignore Case,"**Describe the bug** The task query provides an inconsistant API for querying for tasks. When querying for process variables the `likeIgnoreCase` option is available, but when querying for task variables it is not. **Expected behavior** The same operations should be available for all variable querying APIs **Code** bash curl -X POST \ http://localhost:8080/process-api/query/tasks \ -H 'Accept: */*' \ -H 'Accept-Encoding: gzip, deflate' \ -H 'Cache-Control: no-cache' \ -H 'Connection: keep-alive' \ -H 'Content-Length: 191' \ -H 'Content-Type: application/json' \ -H 'Host: localhost:8080' \ -H 'Postman-Token: 9aa80127-a061-474a-be27-500aa41f355a,f524a54b-cad6-4c26-9b59-7bd46317529c' \ -H 'User-Agent: PostmanRuntime/7.16.3' \ -H 'cache-control: no-cache' \ -d '{ ""includeTaskLocalVariables"": true, ""includeProcessVariables"": true, ""taskVariables"": [ { ""name"": ""var_2"", ""value"": ""%Cd"", ""operation"": ""likeIgnoreCase"" } ] }'  returns  { ""message"": ""Bad request"", ""exception"": ""Unsupported variable query operation: LIKE_IGNORE_CASE"" } ",source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | test-file | test-file | test-file | source-file | source-file | source-file | test-file | test-file | test-file,"Inconsistant Variable Query API - Like Ignore Case **Describe the bug** The task query provides an inconsistant API for querying for tasks. When querying for process variables the `likeIgnoreCase` option is available, but when querying for task variables it is not. **Expected behavior** The same operations should be available for all variable querying APIs **Code** bash curl -X POST \ http://localhost:8080/process-api/query/tasks \ -H 'Accept: */*' \ -H 'Accept-Encoding: gzip, deflate' \ -H 'Cache-Control: no-cache' \ -H 'Connection: keep-alive' \ -H 'Content-Length: 191' \ -H 'Content-Type: application/json' \ -H 'Host: localhost:8080' \ -H 'Postman-Token: 9aa80127-a061-474a-be27-500aa41f355a,f524a54b-cad6-4c26-9b59-7bd46317529c' \ -H 'User-Agent: PostmanRuntime/7.16.3' \ -H 'cache-control: no-cache' \ -d '{ ""includeTaskLocalVariables"": true, ""includeProcessVariables"": true, ""taskVariables"": [ { ""name"": ""var_2"", ""value"": ""%Cd"", ""operation"": ""likeIgnoreCase"" } ] }'  returns  { ""message"": ""Bad request"", ""exception"": ""Unsupported variable query operation: LIKE_IGNORE_CASE"" }  source-file source-file source-file source-file source-file source-file source-file source-file source-file test-file test-file test-file source-file source-file source-file test-file test-file test-file",bug,0.95
3003,flowable-engine,https://github.com/flowable/flowable-engine/issues/3003,Wrong mediaType reported by REST API for forms,"**Describe the bug** The `app-repository/deployments/{id}/resources` REST API returns `mediaType` as `text/xml` for `.form` files. **Expected behavior** Return `application/json`, which is the correct media type for forms. **Additional context** Found in v6.6.0 and further verified in master branch of source [DefaultContentTypeResolver](https://github.com/flowable/flowable-engine/blob/master/modules/flowable-common-rest/src/main/java/org/flowable/common/rest/resolver/DefaultContentTypeResolver.java) Additionally found that `.app` files content type is not included in the common class but in [AppDeploymentResourceResource](https://github.com/flowable/flowable-engine/blob/master/modules/flowable-app-engine-rest/src/main/java/org/flowable/app/rest/service/api/repository/AppDeploymentResourceResource.java) so that should probably be centralised too.",source-file | source-file | source-file | source-file,"Wrong mediaType reported by REST API for forms **Describe the bug** The `app-repository/deployments/{id}/resources` REST API returns `mediaType` as `text/xml` for `.form` files. **Expected behavior** Return `application/json`, which is the correct media type for forms. **Additional context** Found in v6.6.0 and further verified in master branch of source [DefaultContentTypeResolver](https://github.com/flowable/flowable-engine/blob/master/modules/flowable-common-rest/src/main/java/org/flowable/common/rest/resolver/DefaultContentTypeResolver.java) Additionally found that `.app` files content type is not included in the common class but in [AppDeploymentResourceResource](https://github.com/flowable/flowable-engine/blob/master/modules/flowable-app-engine-rest/src/main/java/org/flowable/app/rest/service/api/repository/AppDeploymentResourceResource.java) so that should probably be centralised too. source-file source-file source-file source-file",bug,0.95
280,flowable-engine,https://github.com/flowable/flowable-engine/issues/280,includeTaskLocalVariables=true but task local variables are not returned,"includeTaskLocalVariables=true but task local variables are not returned Here is query URL /flowable-task/process-api/runtime/tasks?includeTaskLocalVariables=true&includeProcessVariables=true Thanks, --MG",config-file | test-file,"includeTaskLocalVariables=true but task local variables are not returned includeTaskLocalVariables=true but task local variables are not returned Here is query URL /flowable-task/process-api/runtime/tasks?includeTaskLocalVariables=true&includeProcessVariables=true Thanks, --MG config-file test-file",bug,0.9
1039,flowable-engine,https://github.com/flowable/flowable-engine/issues/1039,HttpTask URL not encoded when saved,"**Description** When using `HTTP Tasks` in the modeler, the `Request URL` is not correctly URL-Encoded when saving the process model. **Problem** This results in errors starting the process (HTTP 500) when there are e.g. not encoded query parameters in the `Request URL`. This can be found in the logs:  org.flowable.engine.common.api.FlowableException: Invalid URL exception occurred  Caused by: java.net.URISyntaxException: Illegal character in query at    **Linked Topics** [Process won't start with HTTP 500 error](https://forum.flowable.org/t/error-starting-new-process-instance-http-500/1956) [Correct URL Encoding for HTTP Task](https://forum.flowable.org/t/http-task-url-encoding/1982)",source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | config-file | source-file | test-file | test-file | config-file | source-file | test-file | test-file,"HttpTask URL not encoded when saved **Description** When using `HTTP Tasks` in the modeler, the `Request URL` is not correctly URL-Encoded when saving the process model. **Problem** This results in errors starting the process (HTTP 500) when there are e.g. not encoded query parameters in the `Request URL`. This can be found in the logs:  org.flowable.engine.common.api.FlowableException: Invalid URL exception occurred  Caused by: java.net.URISyntaxException: Illegal character in query at    **Linked Topics** [Process won't start with HTTP 500 error](https://forum.flowable.org/t/error-starting-new-process-instance-http-500/1956) [Correct URL Encoding for HTTP Task](https://forum.flowable.org/t/http-task-url-encoding/1982) source-file source-file source-file source-file source-file source-file source-file source-file config-file source-file test-file test-file config-file source-file test-file test-file",bug,0.9
3109,flowable-engine,https://github.com/flowable/flowable-engine/issues/3109,[DMN] COLLECT hit policy with `alwaysUseArraysForDmnMultiHitPolicies` returns null/value instead of array,"**Description** BPMN/CMMN dmn service task for `COLLECT` hit policy returns (`protected boolean alwaysUseArraysForDmnMultiHitPolicies = true;`): | hits | output| ||| | none hit | null | | one item hit | `itemValue` | | multiple hits | array of values | The issue is also related to #2286 test: https://github.com/martin-grofcik/flowable-engine/commit/704b6bb1bec7055c708c525880ab2097bc104a55 **Expected behavior** BPMN/CMMN dmn service task for `COLLECT` hit policy returns: | hits | output| ||| | none hit | empty json array `[]` | | one item hit | one item json array `[""itemValue""]` | | multiple hits | array of values `[""itemA"", ""ItemB""]`| **Code** `DmnActivityBehavior` java } else { boolean multipleResults = decisionExecutionAuditContainer.isMultipleResults() && processEngineConfiguration.isAlwaysUseArraysForDmnMultiHitPolicies(); ",test-file | test-file | source-file | source-file | source-file | test-file | test-file | source-file | source-file | source-file | test-file | source-file | source-file | test-file | test-file | source-file,"[DMN] COLLECT hit policy with `alwaysUseArraysForDmnMultiHitPolicies` returns null/value instead of array **Description** BPMN/CMMN dmn service task for `COLLECT` hit policy returns (`protected boolean alwaysUseArraysForDmnMultiHitPolicies = true;`): | hits | output|  | none hit | null | | one item hit | `itemValue` | | multiple hits | array of values | The issue is also related to #2286 test: https://github.com/martin-grofcik/flowable-engine/commit/704b6bb1bec7055c708c525880ab2097bc104a55 **Expected behavior** BPMN/CMMN dmn service task for `COLLECT` hit policy returns: | hits | output|  | none hit | empty json array `[]` | | one item hit | one item json array `[""itemValue""]` | | multiple hits | array of values `[""itemA"", ""ItemB""]`| **Code** `DmnActivityBehavior` java } else { boolean multipleResults = decisionExecutionAuditContainer.isMultipleResults() && processEngineConfiguration.isAlwaysUseArraysForDmnMultiHitPolicies();  test-file test-file source-file source-file source-file test-file test-file source-file source-file source-file test-file source-file source-file test-file test-file source-file",bug,0.9
575,flowable-engine,https://github.com/flowable/flowable-engine/issues/575,Unable to bind Headers to a Http task,"Unable to bind the http headers to an Http task with keys that have a : as a value. When we look at the exception stack (detailed below) and check line 264 of the code, it has a check that prevents values of http headers from having a colon in it (Code snippet also included below). HTTP_TASK_REQUEST_HEADERS_INVALID = requestHeaders are invalid Stack: org.flowable.engine.common.api.FlowableException: requestHeaders are invalid at org.flowable.http.impl.HttpActivityBehaviorImpl.setHeaders(HttpActivityBehaviorImpl.java:264) ~[flowable-http-6.1.2.jar:6.1.2] Code from HttpActivityBehaviorImpl protected void setHeaders(final HttpMessage base, final String headers) throws IOException { try (BufferedReader reader = new BufferedReader(new StringReader(headers { String line = reader.readLine(); while (line != null) { String[] header = line.split("":""); if (header.length == 2) { base.addHeader(header[0], header[1]); line = reader.readLine(); } else { throw new FlowableException(HTTP_TASK_REQUEST_HEADERS_INVALID); } } } } Sample Header that we are passing host:localhost:7000 connection:keep-alive content-length:48 postman-token:ffff44c7-e789-ba46-2f5a-8271b4dd7aba cache-control:no-cache origin:chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop user-agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 content-type:application/json accept:/ accept-encoding:gzip, deflate, br accept-language:en-US,en;q=0.8",source-file | source-file | test-file,"Unable to bind Headers to a Http task Unable to bind the http headers to an Http task with keys that have a : as a value. When we look at the exception stack (detailed below) and check line 264 of the code, it has a check that prevents values of http headers from having a colon in it (Code snippet also included below). HTTP_TASK_REQUEST_HEADERS_INVALID = requestHeaders are invalid Stack: org.flowable.engine.common.api.FlowableException: requestHeaders are invalid at org.flowable.http.impl.HttpActivityBehaviorImpl.setHeaders(HttpActivityBehaviorImpl.java:264) ~[flowable-http-6.1.2.jar:6.1.2] Code from HttpActivityBehaviorImpl protected void setHeaders(final HttpMessage base, final String headers) throws IOException { try (BufferedReader reader = new BufferedReader(new StringReader(headers { String line = reader.readLine(); while (line != null) { String[] header = line.split("":""); if (header.length == 2) { base.addHeader(header[0], header[1]); line = reader.readLine(); } else { throw new FlowableException(HTTP_TASK_REQUEST_HEADERS_INVALID); } } } } Sample Header that we are passing host:localhost:7000 connection:keep-alive content-length:48 postman-token:ffff44c7-e789-ba46-2f5a-8271b4dd7aba cache-control:no-cache origin:chrome-extension://fhbjgbiflinjbdggehcddcbncdddomop user-agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36 content-type:application/json accept:/ accept-encoding:gzip, deflate, br accept-language:en-US,en;q=0.8 source-file source-file test-file",bug,0.9
1300,flowable-engine,https://github.com/flowable/flowable-engine/issues/1300,No mapping found for HTTP request with URI [/flowable-task/cmmn-api/management/jobs/,"Using Flowable Admin (deployed using Docker Compose), in CMMN part: 1. list executable jobs through the tab `Jobs`, filter `Executable jobs` 2. select a job 3. execute the job using button `Execute job` The following error occurs:  No mapping found for HTTP request with URI [/flowable-task/cmmn-api/management/jobs/<job-id>] in DispatcherServlet with name 'Flowable CMMN Rest API' org.flowable.ui.admin.service.engine.exception.FlowableServiceException: An error occurred while calling Flowable: HTTP/1.1 404 at org.flowable.ui.admin.service.engine.FlowableClientService.executeRequestNoResponseBody(FlowableClientService.java:462) ~[flowable-ui-admin-logic-6.3.1.jar!/:6.3.1] at org.flowable.ui.admin.service.engine.CmmnJobService.executeJob(CmmnJobService.java:88) ~[flowable-ui-admin-logic-6.3.1.jar!/:6.3.1] at org.flowable.ui.admin.rest.client.CmmnJobClientResource.executeCmmnJob(CmmnJobClientResource.java:89) [flowable-ui-admin-rest-6.3.1.jar!/:6.3.1] at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:1.8.0_102] at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:1.8.0_102] at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:1.8.0_102] at java.lang.reflect.Method.invoke(Method.java:498) ~[?:1.8.0_102] at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:209) [spring-web-5.0.6.RELEASE.jar!/:5.0.6.RELEASE]  It seems to me that the REST API used to execute an executable job is not the right one. I think it should be `/flowable-task/cmmn-api/cmmn-management/jobs/<job-id>` No error occurs executing a timer job in the same way but using the filter `Timer jobs`.",source-file,"No mapping found for HTTP request with URI [/flowable-task/cmmn-api/management/jobs/ Using Flowable Admin (deployed using Docker Compose), in CMMN part: 1. list executable jobs through the tab `Jobs`, filter `Executable jobs` 2. select a job 3. execute the job using button `Execute job` The following error occurs:  No mapping found for HTTP request with URI [/flowable-task/cmmn-api/management/jobs/<job-id>] in DispatcherServlet with name 'Flowable CMMN Rest API' org.flowable.ui.admin.service.engine.exception.FlowableServiceException: An error occurred while calling Flowable: HTTP/1.1 404 at org.flowable.ui.admin.service.engine.FlowableClientService.executeRequestNoResponseBody(FlowableClientService.java:462) ~[flowable-ui-admin-logic-6.3.1.jar!/:6.3.1] at org.flowable.ui.admin.service.engine.CmmnJobService.executeJob(CmmnJobService.java:88) ~[flowable-ui-admin-logic-6.3.1.jar!/:6.3.1] at org.flowable.ui.admin.rest.client.CmmnJobClientResource.executeCmmnJob(CmmnJobClientResource.java:89) [flowable-ui-admin-rest-6.3.1.jar!/:6.3.1] at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method) ~[?:1.8.0_102] at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62) ~[?:1.8.0_102] at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) ~[?:1.8.0_102] at java.lang.reflect.Method.invoke(Method.java:498) ~[?:1.8.0_102] at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:209) [spring-web-5.0.6.RELEASE.jar!/:5.0.6.RELEASE]  It seems to me that the REST API used to execute an executable job is not the right one. I think it should be `/flowable-task/cmmn-api/cmmn-management/jobs/<job-id>` No error occurs executing a timer job in the same way but using the filter `Timer jobs`. source-file",bug,0.95
