issue_no,repo,issue_url,title,description,patched_file_types,text_for_topic_modeling,prediction,confidence
2475,harness,https://github.com/harness/harness/issues/2475,BUG: Gitea integration sending wrong URLs to Gitea,"First of all this is a copy of my bug report which got automaticly closed (https://github.com/drone/drone/issues/2470). Secondly @bradrydzewski said I should report this on https://discourse.drone.io/ - Since then my account didn't get approved so I'm opening this issue a second time. I am running a drone ci instance using the following docker-compose.yml  version: '2' networks: drone: external: false proxy: external: name: proxy services: drone-server: image: drone/drone:0.8 expose: - 8000 - 9000 volumes: - ./drone:/var/lib/drone/ restart: always networks: - proxy - drone environment: - DRONE_OPEN=true - DRONE_HOST={{REMOVED}} - DRONE_SECRET={{REMOVED}}D - DRONE_GITEA=true - DRONE_GITEA_URL={{REMOVED}} - DRONE_GITEA_GIT_USERNAME=Drone - DRONE_GITEA_GIT_PASSWORD={{REMOVED}} - DRONE_GITEA_PRIVATE_MODE=true drone-agent: image: drone/agent:0.8 command: agent restart: always networks: - drone depends_on: - drone-server volumes: - /var/run/docker.sock:/var/run/docker.sock environment: - DRONE_SERVER=drone-server:9000 - DRONE_SECRET={{REMOVED}}  After pushing into a activated repository Gitea shows the build status. ![Example image](https://user-images.githubusercontent.com/11004008/44058996-32bb097a-9f50-11e8-9d06-65a1e2cc26cb.png ""Example image"") If the build succeeded the URL is working as expected (Redirecting to the defined DRONE_HOST) But if a build is still pending or fails the URL redirects to http://drone-server:8000/ I don't think this is an intended behavior. If you need any other details or configuration, let me know.",source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file,"BUG: Gitea integration sending wrong URLs to Gitea First of all this is a copy of my bug report which got automaticly closed (https://github.com/drone/drone/issues/2470). Secondly @bradrydzewski said I should report this on https://discourse.drone.io/ - Since then my account didn't get approved so I'm opening this issue a second time. I am running a drone ci instance using the following docker-compose.yml  version: '2' networks: drone: external: false proxy: external: name: proxy services: drone-server: image: drone/drone:0.8 expose: - 8000 - 9000 volumes: - ./drone:/var/lib/drone/ restart: always networks: - proxy - drone environment: - DRONE_OPEN=true - DRONE_HOST={{REMOVED}} - DRONE_SECRET={{REMOVED}}D - DRONE_GITEA=true - DRONE_GITEA_URL={{REMOVED}} - DRONE_GITEA_GIT_USERNAME=Drone - DRONE_GITEA_GIT_PASSWORD={{REMOVED}} - DRONE_GITEA_PRIVATE_MODE=true drone-agent: image: drone/agent:0.8 command: agent restart: always networks: - drone depends_on: - drone-server volumes: - /var/run/docker.sock:/var/run/docker.sock environment: - DRONE_SERVER=drone-server:9000 - DRONE_SECRET={{REMOVED}}  After pushing into a activated repository Gitea shows the build status. ![Example image](https://user-images.githubusercontent.com/11004008/44058996-32bb097a-9f50-11e8-9d06-65a1e2cc26cb.png ""Example image"") If the build succeeded the URL is working as expected (Redirecting to the defined DRONE_HOST) But if a build is still pending or fails the URL redirects to http://drone-server:8000/ I don't think this is an intended behavior. If you need any other details or configuration, let me know. source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file",bug,0.85
2525,harness,https://github.com/harness/harness/issues/2525,1.0.0.-rc.1 agent - invalid character '<' looking for beginning of value,"Running agent rc.1 throws the following error in logs {""level"":""error"",""error"":""invalid character '<' looking for beginning of value"",""platform"":""linux/amd64"",""time"":""2018-11-11T20:07:46Z"",""message"":""cannot get queue item""} the agent call the rpc service ""POST /rpc/v1/request"" response ""<!DOCTYPE html><html lang=en><head><meta charset=utf-8><meta http-equiv=X-UA-Compatible content=""IE=edge""><meta name=viewport content=""width=device-width,initial-scale=1""><link rel=icon href=/favicon.png><title>Drone | Continuous Integration</title><link href=/css/app.b667b0e1.css rel=preload as=style><link href=/js/app.28abcb1f.js rel=preload as=script><link href=/js/chunk-vendors.6bc2aeab.js rel=preload as=script><link href=/css/app.b667b0e1.css rel=stylesheet></head><body><noscript><strong>We're sorry but Drone does not work properly without JavaScript enabled. Please enable it to continue.</strong></noscript><div id=app></div><script src=/js/chunk-vendors.6bc2aeab.js></script><script src=/js/app.28abcb1f.js></script></body></html>""",source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file | source-file,"1.0.0.-rc.1 agent - invalid character '<' looking for beginning of value Running agent rc.1 throws the following error in logs {""level"":""error"",""error"":""invalid character '<' looking for beginning of value"",""platform"":""linux/amd64"",""time"":""2018-11-11T20:07:46Z"",""message"":""cannot get queue item""} the agent call the rpc service ""POST /rpc/v1/request"" response ""<!DOCTYPE html><html lang=en><head><meta charset=utf-8><meta http-equiv=X-UA-Compatible content=""IE=edge""><meta name=viewport content=""width=device-width,initial-scale=1""><link rel=icon href=/favicon.png><title>Drone | Continuous Integration</title><link href=/css/app.b667b0e1.css rel=preload as=style><link href=/js/app.28abcb1f.js rel=preload as=script><link href=/js/chunk-vendors.6bc2aeab.js rel=preload as=script><link href=/css/app.b667b0e1.css rel=stylesheet></head><body><noscript><strong>We're sorry but Drone does not work properly without JavaScript enabled. Please enable it to continue.</strong></noscript><div id=app></div><script src=/js/chunk-vendors.6bc2aeab.js></script><script src=/js/app.28abcb1f.js></script></body></html>"" source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file source-file",bug,0.95
2776,harness,https://github.com/harness/harness/issues/2776,Gitlab 'merged' webhook is ignored,"Assessing the new `action` added in this issue [issue](https://github.com/drone/drone/issues/2685) condition, it seems like `merged` webhooks (hooks firing from gitlab when the repository is merged ) are ignored in drone. That means: - The repository is properly integrated with drone - Hooks are fired and a 200 response is received from drone. - Drone logs show no recollection of handling the `merged` hook (as opposed to `opened` hooks, which are properly evaluated) - Using debug logging, I get this message:  {""fields.time"":""2019-08-05T14:37:51Z"",""latency"":625401,""level"":""debug"",""method"":""POST"",""msg"":"""",""remote"":""172.18.0.1:37804"",""request"":""/hook"",""request-id"":""1P0fKgKxws4QTAmMxVIWV23bHJY"",""time"":""2019-08-05T14:37:51Z""}  I have specific interest to act on this merged event, rather then use the push event fired on the target branch. Any help will be much advised.",source-file | source-file | source-file | source-file,"Gitlab 'merged' webhook is ignored Assessing the new `action` added in this issue [issue](https://github.com/drone/drone/issues/2685) condition, it seems like `merged` webhooks (hooks firing from gitlab when the repository is merged ) are ignored in drone. That means: - The repository is properly integrated with drone - Hooks are fired and a 200 response is received from drone. - Drone logs show no recollection of handling the `merged` hook (as opposed to `opened` hooks, which are properly evaluated) - Using debug logging, I get this message:  {""fields.time"":""2019-08-05T14:37:51Z"",""latency"":625401,""level"":""debug"",""method"":""POST"",""msg"":"""",""remote"":""172.18.0.1:37804"",""request"":""/hook"",""request-id"":""1P0fKgKxws4QTAmMxVIWV23bHJY"",""time"":""2019-08-05T14:37:51Z""}  I have specific interest to act on this merged event, rather then use the push event fired on the target branch. Any help will be much advised. source-file source-file source-file source-file",bug,0.9
1190,harness,https://github.com/harness/harness/issues/1190,0.3 series stack traces when attempting to add a repository,"The following is output when attempting to Add a repository from a fresh Drone-CI installation (via the .deb package) for the 0.3 series. This happens on any repository, so it doesn't appear to be triggered by existing configuration. 2015/09/05 23:48:06 http: panic serving 192.30.252.34:32556: runtime error: invalid memory address or nil pointer dereference goroutine 171 [running]: net/http.func011() /usr/local/go/src/pkg/net/http/server.go:1100 +0xb7 runtime.panic(0xb42de0, 0x11b98d3) /usr/local/go/src/pkg/runtime/panic.c:248 +0x18d github.com/drone/drone/server/handler.PostHook(0xc20894d9e0, 0xc20894d830, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/drone/drone/server/handler/hook.go:46 +0xfdb github.com/zenazn/goji/web.handlerFuncWrap.ServeHTTPC(0xd5d430, 0xc20894d9e0, 0xc20894d830, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/zenazn/goji/web/handler.go:25 +0x54 github.com/zenazn/goji/web.(_router).route(0xc208026348, 0xc2089bd260, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/zenazn/goji/web/router.go:119 +0x143 github.com/zenazn/goji/web.func002(0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/zenazn/goji/web/middleware.go:88 +0x5f net/http.HandlerFunc.ServeHTTP(0xc2089912c0, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1235 +0x40 github.com/drone/drone/server/middleware.func006(0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/drone/drone/server/middleware/user.go:21 +0x1a6 net/http.HandlerFunc.ServeHTTP(0xc2089912e0, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1235 +0x40 github.com/drone/drone/server/middleware.func001(0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/drone/drone/server/middleware/header.go:28 +0x4e9 net/http.HandlerFunc.ServeHTTP(0xc2081fb6a0, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1235 +0x40 main.func002(0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/drone/drone/server/main.go:176 +0x721 net/http.HandlerFunc.ServeHTTP(0xc208991300, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1235 +0x40 github.com/drone/drone/server/middleware.func002(0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/drone/drone/server/middleware/options.go:22 +0x261 net/http.HandlerFunc.ServeHTTP(0xc2081fb6d0, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1235 +0x40 github.com/zenazn/goji/web.(_cStack).ServeHTTP(0xc2089bd260, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/zenazn/goji/web/middleware.go:46 +0x7f github.com/zenazn/goji/web.(_Mux).ServeHTTP(0xc208026310, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/zenazn/goji/web/mux.go:45 +0x5f net/http.(_ServeMux).ServeHTTP(0xc208022930, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1511 +0x1a3 net/http.serverHandler.ServeHTTP(0xc208005a40, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1673 +0x19f net/http.(_conn).serve(0xc2089fad00) /usr/local/go/src/pkg/net/http/server.go:1174 +0xa7e created by net/http.(_Server).Serve /usr/local/go/src/pkg/net/http/server.go:1721 +0x313",source-file | source-file | source-file | source-file | source-file,"0.3 series stack traces when attempting to add a repository The following is output when attempting to Add a repository from a fresh Drone-CI installation (via the .deb package) for the 0.3 series. This happens on any repository, so it doesn't appear to be triggered by existing configuration. 2015/09/05 23:48:06 http: panic serving 192.30.252.34:32556: runtime error: invalid memory address or nil pointer dereference goroutine 171 [running]: net/http.func011() /usr/local/go/src/pkg/net/http/server.go:1100 +0xb7 runtime.panic(0xb42de0, 0x11b98d3) /usr/local/go/src/pkg/runtime/panic.c:248 +0x18d github.com/drone/drone/server/handler.PostHook(0xc20894d9e0, 0xc20894d830, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/drone/drone/server/handler/hook.go:46 +0xfdb github.com/zenazn/goji/web.handlerFuncWrap.ServeHTTPC(0xd5d430, 0xc20894d9e0, 0xc20894d830, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/zenazn/goji/web/handler.go:25 +0x54 github.com/zenazn/goji/web.(_router).route(0xc208026348, 0xc2089bd260, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/zenazn/goji/web/router.go:119 +0x143 github.com/zenazn/goji/web.func002(0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/zenazn/goji/web/middleware.go:88 +0x5f net/http.HandlerFunc.ServeHTTP(0xc2089912c0, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1235 +0x40 github.com/drone/drone/server/middleware.func006(0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/drone/drone/server/middleware/user.go:21 +0x1a6 net/http.HandlerFunc.ServeHTTP(0xc2089912e0, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1235 +0x40 github.com/drone/drone/server/middleware.func001(0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/drone/drone/server/middleware/header.go:28 +0x4e9 net/http.HandlerFunc.ServeHTTP(0xc2081fb6a0, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1235 +0x40 main.func002(0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/drone/drone/server/main.go:176 +0x721 net/http.HandlerFunc.ServeHTTP(0xc208991300, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1235 +0x40 github.com/drone/drone/server/middleware.func002(0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/drone/drone/server/middleware/options.go:22 +0x261 net/http.HandlerFunc.ServeHTTP(0xc2081fb6d0, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1235 +0x40 github.com/zenazn/goji/web.(_cStack).ServeHTTP(0xc2089bd260, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/zenazn/goji/web/middleware.go:46 +0x7f github.com/zenazn/goji/web.(_Mux).ServeHTTP(0xc208026310, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /var/cache/drone/src/github.com/zenazn/goji/web/mux.go:45 +0x5f net/http.(_ServeMux).ServeHTTP(0xc208022930, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1511 +0x1a3 net/http.serverHandler.ServeHTTP(0xc208005a40, 0x7f65f2564928, 0xc20863d4a0, 0xc2083d68f0) /usr/local/go/src/pkg/net/http/server.go:1673 +0x19f net/http.(_conn).serve(0xc2089fad00) /usr/local/go/src/pkg/net/http/server.go:1174 +0xa7e created by net/http.(_Server).Serve /usr/local/go/src/pkg/net/http/server.go:1721 +0x313 source-file source-file source-file source-file source-file",bug,0.9
2943,harness,https://github.com/harness/harness/issues/2943,drone orgsecret rm 404,"I use `drone orgsecret add daocloud.io docker_password my_password` successfully. But when rm orgsecret, it said 404. ![image](https://user-images.githubusercontent.com/1883728/77022090-a1a97d00-69c3-11ea-9298-a22a07e3a29b.png)",source-file | source-file | source-file | source-file | source-file | source-file,"drone orgsecret rm 404 I use `drone orgsecret add daocloud.io docker_password my_password` successfully. But when rm orgsecret, it said 404. ![image](https://user-images.githubusercontent.com/1883728/77022090-a1a97d00-69c3-11ea-9298-a22a07e3a29b.png) source-file source-file source-file source-file source-file source-file",bug,0.9
3402,harness,https://github.com/harness/harness/issues/3402,Can't import repository from GitHub,"Hi team, trying to import a Spring Petclinic repo (https://github.com/spring-projects/spring-petclinic.git) in Gitness and no luck. This query fails with HTTP 400: http://localhost:3000/api/v1/repos/import Request: `{""description"":"""",""parent_ref"":""spring-petclinic"",""uid"":""spring-petclinic.git"",""provider"":{""type"":""github"",""username"":"""",""password"":""""},""provider_repo"":""spring-projects/spring-petclinic.git""}` Video: https://www.youtube.com/watch?v=v4x6G4BwxhA",source-file | source-file | source-file | source-file | source-file,"Can't import repository from GitHub Hi team, trying to import a Spring Petclinic repo (https://github.com/spring-projects/spring-petclinic.git) in Gitness and no luck. This query fails with HTTP 400: http://localhost:3000/api/v1/repos/import Request: `{""description"":"""",""parent_ref"":""spring-petclinic"",""uid"":""spring-petclinic.git"",""provider"":{""type"":""github"",""username"":"""",""password"":""""},""provider_repo"":""spring-projects/spring-petclinic.git""}` Video: https://www.youtube.com/watch?v=v4x6G4BwxhA source-file source-file source-file source-file source-file",bug,0.9
557,harness,https://github.com/harness/harness/issues/557,Logout functionality fails silently,"It's returning a 200 OK, but clicking logout loads this empty page (and doesn't clear session): ![image](https://cloud.githubusercontent.com/assets/2149341/4623449/2c1a6f3a-534f-11e4-94ea-02ae012c9c43.png)",other-file | other-file | other-file | source-file | other-file | other-file | other-file,"Logout functionality fails silently It's returning a 200 OK, but clicking logout loads this empty page (and doesn't clear session): ![image](https://cloud.githubusercontent.com/assets/2149341/4623449/2c1a6f3a-534f-11e4-94ea-02ae012c9c43.png) other-file other-file other-file source-file other-file other-file other-file",bug,0.9
3420,harness,https://github.com/harness/harness/issues/3420,Sending commits via API,"I am having problems sending commits via api I am using the following Endpoint [POST] /api/v1/repos/{repo}/commits The response i am getting is: json { ""message"": ""sha does not match for path README.md [given: 3d84e33764a95d00f5b1d4a7c8362580e4fad381, expected: 73a4f96320a42cc62d0271e62aad9213ff165ff1]"" }  If it knows the sha already why do we have to send it? Would it be possible to remove the necessity of sending sha in the request?",source-file,"Sending commits via API I am having problems sending commits via api I am using the following Endpoint [POST] /api/v1/repos/{repo}/commits The response i am getting is: json { ""message"": ""sha does not match for path README.md [given: 3d84e33764a95d00f5b1d4a7c8362580e4fad381, expected: 73a4f96320a42cc62d0271e62aad9213ff165ff1]"" }  If it knows the sha already why do we have to send it? Would it be possible to remove the necessity of sending sha in the request? source-file",bug,0.85
983,harness,https://github.com/harness/harness/issues/983,HTTP 400 Error While GitHub Authentication,"I'm getting error while trying to auth with GitHub. Actually this error same with Telmo's [problem](https://github.com/drone/drone/issues/679#issuecomment-68703200). But that issue closed without resolving problem.  [server] port="":8001""  [github] client=""xxx"" secret=""yyy"" orgs=[] open=true  ![image](https://cloud.githubusercontent.com/assets/782514/7216251/4bb27d2a-e601-11e4-971b-7da2973d0e1d.png) (of course using my real domain instead of _domain.com_) I'm following these steps and getting error : 1. Browsing to http://domain.com:8001/ 2. Clicking to GitHub button and redirected to Github.com 3. Allowing application and redirecting back to this url: `http://domain.com:8001/api/auth/github.com?code=62e5cb142fb19ad657b0&state=I6MYHH2YJVHZWXWW44WNWM4DPOZPWCEKHH4BQHCIBQDG64ZX3AOQ%3D%3D%3D%3D` 4. But it's just a blank page. Here Chrome Console logs : ![image](https://cloud.githubusercontent.com/assets/782514/7216277/677c0c46-e602-11e4-8172-64663e915415.png)",other-file | source-file | documentation-file | other-file | other-file | other-file | other-file | other-file | documentation-file,"HTTP 400 Error While GitHub Authentication I'm getting error while trying to auth with GitHub. Actually this error same with Telmo's [problem](https://github.com/drone/drone/issues/679#issuecomment-68703200). But that issue closed without resolving problem.  [server] port="":8001""  [github] client=""xxx"" secret=""yyy"" orgs=[] open=true  ![image](https://cloud.githubusercontent.com/assets/782514/7216251/4bb27d2a-e601-11e4-971b-7da2973d0e1d.png) (of course using my real domain instead of _domain.com_) I'm following these steps and getting error : 1. Browsing to http://domain.com:8001/ 2. Clicking to GitHub button and redirected to Github.com 3. Allowing application and redirecting back to this url: `http://domain.com:8001/api/auth/github.com?code=62e5cb142fb19ad657b0&state=I6MYHH2YJVHZWXWW44WNWM4DPOZPWCEKHH4BQHCIBQDG64ZX3AOQ%3D%3D%3D%3D` 4. But it's just a blank page. Here Chrome Console logs : ![image](https://cloud.githubusercontent.com/assets/782514/7216277/677c0c46-e602-11e4-8172-64663e915415.png) other-file source-file documentation-file other-file other-file other-file other-file other-file documentation-file",bug,0.85
2154,harness,https://github.com/harness/harness/issues/2154,Drone server failed to unmarshal webhook payload from Gogs (labels are present),"Steps to reproduce: 1. Create PR with labels. 2. See drone-server logs. These errors are found there in my case:  drone-server_1 | time=""2017-08-07T06:00:10Z"" level=error msg=""failure to parse hook. json: cannot unmarshal object into Go struct field .labels of type string"" drone-server_1 | time=""2017-08-07T06:00:10Z"" level=error msg=""Error #01: json: cannot unmarshal object into Go struct field .labels of type string\n"" ip=89.188.125.8 latency=16.784072ms method=POST path=""/hook"" status=400 time=""2017-08-07T06:00:10Z"" user-agent=GogsServer  3. See ""labels"" section of payload (can be found in webhook edit page in Gogs). In my case: json ""labels"": [ { ""id"": 268, ""name"": ""component/library"", ""color"": ""7614de"", ""url"": """" } ],  It seems like drone webhook processing function works incorrectly, somewhere around [this](https://github.com/drone/drone/blob/c8313f8cd8b398becaa46563121a4c5526b1081a/server/hook.go#L324) line. Gitter discussion is [here](https://gitter.im/drone/drone?at=59887a8845fc670746015e41).",source-file | source-file | database-file | database-file | database-file | database-file,"Drone server failed to unmarshal webhook payload from Gogs (labels are present) Steps to reproduce: 1. Create PR with labels. 2. See drone-server logs. These errors are found there in my case:  drone-server_1 | time=""2017-08-07T06:00:10Z"" level=error msg=""failure to parse hook. json: cannot unmarshal object into Go struct field .labels of type string"" drone-server_1 | time=""2017-08-07T06:00:10Z"" level=error msg=""Error #01: json: cannot unmarshal object into Go struct field .labels of type string\n"" ip=89.188.125.8 latency=16.784072ms method=POST path=""/hook"" status=400 time=""2017-08-07T06:00:10Z"" user-agent=GogsServer  3. See ""labels"" section of payload (can be found in webhook edit page in Gogs). In my case: json ""labels"": [ { ""id"": 268, ""name"": ""component/library"", ""color"": ""7614de"", ""url"": """" } ],  It seems like drone webhook processing function works incorrectly, somewhere around [this](https://github.com/drone/drone/blob/c8313f8cd8b398becaa46563121a4c5526b1081a/server/hook.go#L324) line. Gitter discussion is [here](https://gitter.im/drone/drone?at=59887a8845fc670746015e41). source-file source-file database-file database-file database-file database-file",bug,0.95
