issue_no,repo,issue_url,title,description,patched_file_types,text_for_topic_modeling,prediction,confidence
410,signal-cli-rest-api,https://github.com/bbernhard/signal-cli-rest-api/issues/410,setting group_link not having an effect when creating group,"The problem When creating a group with `""http://127.0.0.1:8080/v1/groups/PHONE_NUMBER""` and `json={'description': 'string', 'group_link': 'enabled', 'members': ['PHONE_NUMBER'], 'name': 'Test', 'permissions': {'add_members': 'only-admins', 'edit_group': 'only-admins'}}` with group_link = enabled the group is created, however 'Group link' remains disabled in the new group.  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [x] Yes  What type of installation are you running? signal-cli-rest-api Docker Container  In which mode are you using the docker container? JSON-RPC Mode  What's the architecture of your host system? x86-64  Additional information _No response_",source-file | source-file | source-file,"setting group_link not having an effect when creating group The problem When creating a group with `""http://127.0.0.1:8080/v1/groups/PHONE_NUMBER""` and `json={'description': 'string', 'group_link': 'enabled', 'members': ['PHONE_NUMBER'], 'name': 'Test', 'permissions': {'add_members': 'only-admins', 'edit_group': 'only-admins'}}` with group_link = enabled the group is created, however 'Group link' remains disabled in the new group.  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [x] Yes  What type of installation are you running? signal-cli-rest-api Docker Container  In which mode are you using the docker container? JSON-RPC Mode  What's the architecture of your host system? x86-64  Additional information _No response_ source-file source-file source-file",bug,0.9
403,signal-cli-rest-api,https://github.com/bbernhard/signal-cli-rest-api/issues/403,Actionable information on $stderr goes to nirvana,"The problem On this line here: https://github.com/bbernhard/signal-cli-rest-api/blob/master/src/client/cli.go#L109 only `cmd.Stderr` but not `cmd.Stdout` is part of the error message. This is unfortunate. Why? When our HTTP client sends a request to `signal-cli-rest-api` all we see is the following response:  {""error"":""Failed to send message\n""}  That's it. But if we try to send the same message to the same number again with `signal-cli`, we also see:  Failed to send (some) messages: +49176xxxxxxxx: CAPTCHA proof required for sending to \""+49176xxxxxxxx\"", available options \""RECAPTCHA, PUSH_CHALLENGE\"" with challenge token \""6002d6d0-0c16-xxxx-xxxx-xxxxxxxxxxxx\"", or wait \""86400\"" seconds. To get the captcha token, go to https://signalcaptchas.org/challenge/generate.html Check the developer tools (F12) console for a failed redirect to signalcaptcha:// Everything after signalcaptcha:// is the captcha token. Use the following command to submit the captcha token: signal-cli submitRateLimitChallenge --challenge CHALLENGE_TOKEN --captcha CAPTCHA_TOKEN  This message contains the challenge token(!) This is important for the HTTP client because it could throw a specific error and send this information along with it, e.g. via Sentry, to a human to solve the problem. Based on our experience, this error occurs every now and then. Unfortunately it is phone number specific, so sending messages *to another phone number* works **just fine** making it difficult to become aware of this issue. Waiting the specified 86400 seconds does nothing. So we can no longer message that person (bad) and we unaware of it (even worse).  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [ ] Yes  What type of installation are you running? signal-cli-rest-api Docker Container  In which mode are you using the docker container? Normal Mode  What's the architecture of your host system? x86-64  Additional information _No response_",source-file,"Actionable information on $stderr goes to nirvana The problem On this line here: https://github.com/bbernhard/signal-cli-rest-api/blob/master/src/client/cli.go#L109 only `cmd.Stderr` but not `cmd.Stdout` is part of the error message. This is unfortunate. Why? When our HTTP client sends a request to `signal-cli-rest-api` all we see is the following response:  {""error"":""Failed to send message\n""}  That's it. But if we try to send the same message to the same number again with `signal-cli`, we also see:  Failed to send (some) messages: +49176xxxxxxxx: CAPTCHA proof required for sending to \""+49176xxxxxxxx\"", available options \""RECAPTCHA, PUSH_CHALLENGE\"" with challenge token \""6002d6d0-0c16-xxxx-xxxx-xxxxxxxxxxxx\"", or wait \""86400\"" seconds. To get the captcha token, go to https://signalcaptchas.org/challenge/generate.html Check the developer tools (F12) console for a failed redirect to signalcaptcha:// Everything after signalcaptcha:// is the captcha token. Use the following command to submit the captcha token: signal-cli submitRateLimitChallenge --challenge CHALLENGE_TOKEN --captcha CAPTCHA_TOKEN  This message contains the challenge token(!) This is important for the HTTP client because it could throw a specific error and send this information along with it, e.g. via Sentry, to a human to solve the problem. Based on our experience, this error occurs every now and then. Unfortunately it is phone number specific, so sending messages *to another phone number* works **just fine** making it difficult to become aware of this issue. Waiting the specified 86400 seconds does nothing. So we can no longer message that person (bad) and we unaware of it (even worse).  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [ ] Yes  What type of installation are you running? signal-cli-rest-api Docker Container  In which mode are you using the docker container? Normal Mode  What's the architecture of your host system? x86-64  Additional information _No response_ source-file",bug,0.9
224,signal-cli-rest-api,https://github.com/bbernhard/signal-cli-rest-api/issues/224,json-rpc mode doesn't work with existing linked devices,"The problem I created a linked device using native mode, but when I swapped to json-rpc mode and tried to send a message, I received the following error: `{""error"":""Number not registered with JSON-RPC""}%` The docker logs show the following when starting up in json-rpc mode:  today at 20:29:26+ set -e today at 20:29:26+ [ -z /home/.local/share/signal-cli ] today at 20:29:26+ usermod -u 1000 signal-api today at 20:29:26usermod: no changes today at 20:29:26+ groupmod -g 998 signal-api today at 20:29:26+ chown 1000:998 -R /home/.local/share/signal-cli today at 20:29:26+ cat today at 20:29:26+ cap_prefix=-cap_ today at 20:29:26+ cat /proc/sys/kernel/cap_last_cap today at 20:29:26+ seq -s ,-cap_ 0 40 today at 20:29:26+ caps=-cap_0,-cap_1,-cap_2,-cap_3,-cap_4,-cap_5,-cap_6,-cap_7,-cap_8,-cap_9,-cap_10,-cap_11,-cap_12,-cap_13,-cap_14,-cap_15,-cap_16,-cap_17,-cap_18,-cap_19,-cap_20,-cap_21,-cap_22,-cap_23,-cap_24,-cap_25,-cap_26,-cap_27,-cap_28,-cap_29,-cap_30,-cap_31,-cap_32,-cap_33,-cap_34,-cap_35,-cap_36,-cap_37,-cap_38,-cap_39,-cap_40 today at 20:29:26+ [ json-rpc = json-rpc ] today at 20:29:26+ /usr/bin/jsonrpc2-helper today at 20:29:26+ service supervisor start today at 20:29:27Starting supervisor: supervisord. today at 20:29:27+ supervisorctl start all today at 20:29:28+ exec setpriv --reuid=1000 --regid=998 --init-groups --inh-caps=-cap_0,-cap_1,-cap_2,-cap_3,-cap_4,-cap_5,-cap_6,-cap_7,-cap_8,-cap_9,-cap_10,-cap_11,-cap_12,-cap_13,-cap_14,-cap_15,-cap_16,-cap_17,-cap_18,-cap_19,-cap_20,-cap_21,-cap_22,-cap_23,-cap_24,-cap_25,-cap_26,-cap_27,-cap_28,-cap_29,-cap_30,-cap_31,-cap_32,-cap_33,-cap_34,-cap_35,-cap_36,-cap_37,-cap_38,-cap_39,-cap_40 signal-cli-rest-api -signal-cli-config=/home/.local/share/signal-cli today at 20:29:28time=""2022-03-03T20:29:28Z"" level=info msg=""Started Signal Messenger REST API"" today at 20:29:59[GIN] 2022/03/03 - 20:29:59 | 204 | 300.586s | 192.168.199.105 | POST ""/v1/configuration"" today at 20:30:09[GIN] 2022/03/03 - 20:30:09 | 400 | 172.809s | 192.168.199.105 | POST ""/v2/send""   Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [X] Yes  What type of installation are you running? signal-cli-rest-api Docker Container  In which mode are you using the docker container? Native Mode  What's the architecture of your host system? x86-64  Additional information _No response_",source-file | source-file,"json-rpc mode doesn't work with existing linked devices The problem I created a linked device using native mode, but when I swapped to json-rpc mode and tried to send a message, I received the following error: `{""error"":""Number not registered with JSON-RPC""}%` The docker logs show the following when starting up in json-rpc mode:  today at 20:29:26+ set -e today at 20:29:26+ [ -z /home/.local/share/signal-cli ] today at 20:29:26+ usermod -u 1000 signal-api today at 20:29:26usermod: no changes today at 20:29:26+ groupmod -g 998 signal-api today at 20:29:26+ chown 1000:998 -R /home/.local/share/signal-cli today at 20:29:26+ cat today at 20:29:26+ cap_prefix=-cap_ today at 20:29:26+ cat /proc/sys/kernel/cap_last_cap today at 20:29:26+ seq -s ,-cap_ 0 40 today at 20:29:26+ caps=-cap_0,-cap_1,-cap_2,-cap_3,-cap_4,-cap_5,-cap_6,-cap_7,-cap_8,-cap_9,-cap_10,-cap_11,-cap_12,-cap_13,-cap_14,-cap_15,-cap_16,-cap_17,-cap_18,-cap_19,-cap_20,-cap_21,-cap_22,-cap_23,-cap_24,-cap_25,-cap_26,-cap_27,-cap_28,-cap_29,-cap_30,-cap_31,-cap_32,-cap_33,-cap_34,-cap_35,-cap_36,-cap_37,-cap_38,-cap_39,-cap_40 today at 20:29:26+ [ json-rpc = json-rpc ] today at 20:29:26+ /usr/bin/jsonrpc2-helper today at 20:29:26+ service supervisor start today at 20:29:27Starting supervisor: supervisord. today at 20:29:27+ supervisorctl start all today at 20:29:28+ exec setpriv --reuid=1000 --regid=998 --init-groups --inh-caps=-cap_0,-cap_1,-cap_2,-cap_3,-cap_4,-cap_5,-cap_6,-cap_7,-cap_8,-cap_9,-cap_10,-cap_11,-cap_12,-cap_13,-cap_14,-cap_15,-cap_16,-cap_17,-cap_18,-cap_19,-cap_20,-cap_21,-cap_22,-cap_23,-cap_24,-cap_25,-cap_26,-cap_27,-cap_28,-cap_29,-cap_30,-cap_31,-cap_32,-cap_33,-cap_34,-cap_35,-cap_36,-cap_37,-cap_38,-cap_39,-cap_40 signal-cli-rest-api -signal-cli-config=/home/.local/share/signal-cli today at 20:29:28time=""2022-03-03T20:29:28Z"" level=info msg=""Started Signal Messenger REST API"" today at 20:29:59[GIN] 2022/03/03 - 20:29:59 | 204 | 300.586s | 192.168.199.105 | POST ""/v1/configuration"" today at 20:30:09[GIN] 2022/03/03 - 20:30:09 | 400 | 172.809s | 192.168.199.105 | POST ""/v2/send""   Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [X] Yes  What type of installation are you running? signal-cli-rest-api Docker Container  In which mode are you using the docker container? Native Mode  What's the architecture of your host system? x86-64  Additional information _No response_ source-file source-file",bug,0.9
242,signal-cli-rest-api,https://github.com/bbernhard/signal-cli-rest-api/issues/242,"Unable to deregister flawed phone number, high CPU likely result","The problem I noticed a constant 26%CPU of the Signal Messenger Addon in Homey using json-rpc, and traced the most likely cause to a failed attempt to register a phone number that was missing the area code. The log is riddled with messages: ""Couldn't read data for number +\<badphonenumber\>: EOF. Is the number properly registered?"" To fix it I tried to deregister the bad phone number by calling the rest api. But I cannot, because that results in an error: user +\<badphonenumber\> is not registered. If I switch to normal or native mode the high load isn't there, but I want to use the faster json-rpc. That also produces errors: ""AUTO_RECEIVE_SCHEDULE: Couldn't call receive for number +<badphonenumber>: {User +\<badphonenumber\> is not registered.\n}"" How can I remove the bad number (leaving the working registration intact), and hopefully return to a low, acceptable CPU usage? Platform is an RPI4, running version 0.59.0 of the addon, using json-rpc mode and running on HA version 2022.5.3  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [X] Yes  What type of installation are you running? Home Assistant Signal Addon  In which mode are you using the docker container? JSON-RPC Mode  What's the architecture of your host system? arm64  Additional information _No response_",source-file | source-file | source-file | source-file,"Unable to deregister flawed phone number, high CPU likely result The problem I noticed a constant 26%CPU of the Signal Messenger Addon in Homey using json-rpc, and traced the most likely cause to a failed attempt to register a phone number that was missing the area code. The log is riddled with messages: ""Couldn't read data for number +\<badphonenumber\>: EOF. Is the number properly registered?"" To fix it I tried to deregister the bad phone number by calling the rest api. But I cannot, because that results in an error: user +\<badphonenumber\> is not registered. If I switch to normal or native mode the high load isn't there, but I want to use the faster json-rpc. That also produces errors: ""AUTO_RECEIVE_SCHEDULE: Couldn't call receive for number +<badphonenumber>: {User +\<badphonenumber\> is not registered.\n}"" How can I remove the bad number (leaving the working registration intact), and hopefully return to a low, acceptable CPU usage? Platform is an RPI4, running version 0.59.0 of the addon, using json-rpc mode and running on HA version 2022.5.3  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [X] Yes  What type of installation are you running? Home Assistant Signal Addon  In which mode are you using the docker container? JSON-RPC Mode  What's the architecture of your host system? arm64  Additional information _No response_ source-file source-file source-file source-file",bug,0.9
91,signal-cli-rest-api,https://github.com/bbernhard/signal-cli-rest-api/issues/91,Unable to send message to group I am a member of,"Hi, My account became deregistered and I went ahead and reregistered it without issue. However now I am unable to send to the group I was a member of. I can list the group fine with `curl -X GET -H ""Content-Type: application/json"" 'http://127.0.0.1:8080/v1/groups/+10000000000'` returns `[{""name"":""group1 Notifications"",""id"":""group.77777777777777777777777777777777"",""internal_id"":""11111111111111=="",""members"":[""+10000000000"",""+11111111111"",""+12222222222"",""+13333333333""],""blocked"":false,""pending_invites"":[],""pending_requests"":[],""invite_link"":""""}]` When I use the group id above, the call always returns ""null""  curl -X POST -H ""Content-Type: application/json"" -d '{""message"": ""Ignore test"", ""number"": ""+10000000000"", ""recipients"": [""group.77777777777777777777777777777777""]}' 'http://127.0.0.1:8080/v2/send'  `null` In the logs it looks like both the GET and POST calls are getting 20x response  [GIN] 2021/02/12 - 03:03:48 | 200 | 160.107s | 10.42.1.1 | GET ""/v1/about"" [GIN] 2021/02/12 - 03:03:56 | 201 | 7.721459399s | 10.42.1.1 | POST ""/v2/send""",source-file | source-file,"Unable to send message to group I am a member of Hi, My account became deregistered and I went ahead and reregistered it without issue. However now I am unable to send to the group I was a member of. I can list the group fine with `curl -X GET -H ""Content-Type: application/json"" 'http://127.0.0.1:8080/v1/groups/+10000000000'` returns `[{""name"":""group1 Notifications"",""id"":""group.77777777777777777777777777777777"",""internal_id"":""11111111111111=="",""members"":[""+10000000000"",""+11111111111"",""+12222222222"",""+13333333333""],""blocked"":false,""pending_invites"":[],""pending_requests"":[],""invite_link"":""""}]` When I use the group id above, the call always returns ""null""  curl -X POST -H ""Content-Type: application/json"" -d '{""message"": ""Ignore test"", ""number"": ""+10000000000"", ""recipients"": [""group.77777777777777777777777777777777""]}' 'http://127.0.0.1:8080/v2/send'  `null` In the logs it looks like both the GET and POST calls are getting 20x response  [GIN] 2021/02/12 - 03:03:48 | 200 | 160.107s | 10.42.1.1 | GET ""/v1/about"" [GIN] 2021/02/12 - 03:03:56 | 201 | 7.721459399s | 10.42.1.1 | POST ""/v2/send"" source-file source-file",bug,0.95
425,signal-cli-rest-api,https://github.com/bbernhard/signal-cli-rest-api/issues/425,Native mode - arch issue,"The problem When using signal-cli-rest-api (via Home Assistant add-on) v0.69.0, messages can't be sent or received. Any API called result in a 400 error and the following message:  The current machine does not support all of the following CPU features that are required by the image: [CX8, CMOV, FXSR, MMX, SSE, SSE2, SSE3, SSSE3, SSE4_1, SSE4_2, POPCNT, LZCNT, AVX, AVX2, BMI1, BMI2, FMA]. Please rebuild the executable with an appropriate setting of the -march option.  Appears to be related to the updated native build in the 0.69.0 release. Switching to 'normal' resolves this issue. Issue orignally opened here: https://github.com/haberda/hassio_addons/issues/79  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [X] Yes  What type of installation are you running? Home Assistant Signal Addon  In which mode are you using the docker container? Native Mode  What's the architecture of your host system? x86-64  Additional information _No response_",container-file,"Native mode - arch issue The problem When using signal-cli-rest-api (via Home Assistant add-on) v0.69.0, messages can't be sent or received. Any API called result in a 400 error and the following message:  The current machine does not support all of the following CPU features that are required by the image: [CX8, CMOV, FXSR, MMX, SSE, SSE2, SSE3, SSSE3, SSE4_1, SSE4_2, POPCNT, LZCNT, AVX, AVX2, BMI1, BMI2, FMA]. Please rebuild the executable with an appropriate setting of the -march option.  Appears to be related to the updated native build in the 0.69.0 release. Switching to 'normal' resolves this issue. Issue orignally opened here: https://github.com/haberda/hassio_addons/issues/79  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [X] Yes  What type of installation are you running? Home Assistant Signal Addon  In which mode are you using the docker container? Native Mode  What's the architecture of your host system? x86-64  Additional information _No response_ container-file",bug,0.9
630,signal-cli-rest-api,https://github.com/bbernhard/signal-cli-rest-api/issues/630,Nested styled text not working,"The problem Currently it appears that it is not possible to send messages using nested styled text. For example text that is both spoiler and monospaced. For example:  curl -k -X POST -H ""Content-Type: application/json"" -d '{""message"": ""||spoiler only||"", ""number"": ""redacted"", ""recipients"": [""redacted""], ""text_mode"": ""styled""}' 'redacted/v2/send'  This returns spoiler correctly.  curl -k -X POST -H ""Content-Type: application/json"" -d '{""message"": ""`monospace only`"", ""number"": ""redacted"", ""recipients"": [""redacted""], ""text_mode"": ""styled""}' 'redacted/v2/send'  This returns monospace correctly.  curl -k -X POST -H ""Content-Type: application/json"" -d '{""message"": ""||`spoiler and monospace`||"", ""number"": ""redacted"", ""recipients"": [""redacted""], ""text_mode"": ""styled""}' 'redacted/v2/send'  However when combining both options only spoiler is visible. Combining styles is possible in Signal app. Would it be possible to allow these nested styles? Or is it possible now but requires some special escaping?  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [X] Yes  What type of installation are you running? signal-cli-rest-api Docker Container  In which mode are you using the docker container? Normal Mode  What's the architecture of your host system? x86-64  Additional information _No response_",container-file | source-file | source-file | test-file,"Nested styled text not working The problem Currently it appears that it is not possible to send messages using nested styled text. For example text that is both spoiler and monospaced. For example:  curl -k -X POST -H ""Content-Type: application/json"" -d '{""message"": ""||spoiler only||"", ""number"": ""redacted"", ""recipients"": [""redacted""], ""text_mode"": ""styled""}' 'redacted/v2/send'  This returns spoiler correctly.  curl -k -X POST -H ""Content-Type: application/json"" -d '{""message"": ""`monospace only`"", ""number"": ""redacted"", ""recipients"": [""redacted""], ""text_mode"": ""styled""}' 'redacted/v2/send'  This returns monospace correctly.  curl -k -X POST -H ""Content-Type: application/json"" -d '{""message"": ""||`spoiler and monospace`||"", ""number"": ""redacted"", ""recipients"": [""redacted""], ""text_mode"": ""styled""}' 'redacted/v2/send'  However when combining both options only spoiler is visible. Combining styles is possible in Signal app. Would it be possible to allow these nested styles? Or is it possible now but requires some special escaping?  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [X] Yes  What type of installation are you running? signal-cli-rest-api Docker Container  In which mode are you using the docker container? Normal Mode  What's the architecture of your host system? x86-64  Additional information _No response_ container-file source-file source-file test-file",bug,0.85
190,signal-cli-rest-api,https://github.com/bbernhard/signal-cli-rest-api/issues/190,Link device API fails to link the device,"When I tried to link my existing number to the signal cli running in a docker container using link device API, every-time after the QR scan, signal android app gave ""No device found"" or ""Network error"" toast and was failing to link the number. After searching through the internet I found similar issue reported here within another issue mentioned in below link: https://github.com/bbernhard/signal-cli-rest-api/issues/95#issuecomment-780006579 Since only workaround was given there which takes a while to search and apply, I'm raising this issue here again so it gets fixed and gets the link device API working.",source-file | source-file,"Link device API fails to link the device When I tried to link my existing number to the signal cli running in a docker container using link device API, every-time after the QR scan, signal android app gave ""No device found"" or ""Network error"" toast and was failing to link the number. After searching through the internet I found similar issue reported here within another issue mentioned in below link: https://github.com/bbernhard/signal-cli-rest-api/issues/95#issuecomment-780006579 Since only workaround was given there which takes a while to search and apply, I'm raising this issue here again so it gets fixed and gets the link device API working. source-file source-file",bug,0.9
95,signal-cli-rest-api,https://github.com/bbernhard/signal-cli-rest-api/issues/95,QRCode link: please provide a name for a device,"So I installed signal-cli-rest-api ad addon on my Home Assistant and when I go to `http://192.168.200.245:8080/v1/about` I get nice message:  { ""versions"": [ ""v1"", ""v2"" ], ""build"": 2 }  Now I want to register additional device to my existing signal number So I say: `http://192.168.200.245:8080/v1/qrcodelink`. Documentation says ""No parameters"". Unfortunately I get this:  { ""error"": ""Please provide a name for the device"" }  Any help on this?",source-file | source-file | documentation-file | documentation-file | source-file | source-file | documentation-file | documentation-file,"QRCode link: please provide a name for a device So I installed signal-cli-rest-api ad addon on my Home Assistant and when I go to `http://192.168.200.245:8080/v1/about` I get nice message:  { ""versions"": [ ""v1"", ""v2"" ], ""build"": 2 }  Now I want to register additional device to my existing signal number So I say: `http://192.168.200.245:8080/v1/qrcodelink`. Documentation says ""No parameters"". Unfortunately I get this:  { ""error"": ""Please provide a name for the device"" }  Any help on this? source-file source-file documentation-file documentation-file source-file source-file documentation-file documentation-file",bug,0.9
236,signal-cli-rest-api,https://github.com/bbernhard/signal-cli-rest-api/issues/236,"Setting name, avatar doesn't update name","The problem I'm in rpc-json mode and want to change the username my contacts are seeing. When i send a put request to the endpoint, i get 204 back and after about 1 minute, the avatar is update, but i still only see the phone number as the ""username"" in signal messenger on my phone. Is this an issue with this client or is there something i'm doing wrong?  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [X] Yes  What type of installation are you running? signal-cli-rest-api Docker Container  In which mode are you using the docker container? JSON-RPC Mode  What's the architecture of your host system? x86-64  Additional information _No response_",source-file | source-file,"Setting name, avatar doesn't update name The problem I'm in rpc-json mode and want to change the username my contacts are seeing. When i send a put request to the endpoint, i get 204 back and after about 1 minute, the avatar is update, but i still only see the phone number as the ""username"" in signal messenger on my phone. Is this an issue with this client or is there something i'm doing wrong?  Are you using the latest released version? - [X] Yes  Have you read the troubleshooting page? - [X] Yes  What type of installation are you running? signal-cli-rest-api Docker Container  In which mode are you using the docker container? JSON-RPC Mode  What's the architecture of your host system? x86-64  Additional information _No response_ source-file source-file",bug,0.8
