issue_no,repo,issue_url,title,description,patched_file_types
20634,Ghost,https://github.com/TryGhost/Ghost/issues/20634,The RSS feed endpoint returns a wrong content type,"Issue Summary When requesting an RSS feed from a ghost blog (e.g. https://activitypub.ghost.org/rss/), the returned content-type is `content-type: text/xml; charset=utf-8` (as you can see in [this file](https://github.com/TryGhost/Ghost/blob/main/ghost/core/core/frontend/services/rss/renderer.js)). This can result in the feed not being correctly displayed: |How it is displayed|How it should be displayed (with an Add-on for RSS feeds)| ||| |![grafik](https://github.com/user-attachments/assets/6bd50845-9533-4176-a428-64361f79c99d)|![grafik](https://github.com/user-attachments/assets/609aa980-bf8c-4dcd-9025-26789039980d)| As far as I can see, it should be `application/rss+xml`. (Sources: [[1]](https://datatracker.ietf.org/doc/id/draft-nottingham-rss-media-type-00), [[2]](https://stackoverflow.com/questions/595616/what-is-the-correct-mime-type-to-use-for-an-rss-feed)).  Steps to Reproduce 1. Open the RSS feed URL from any ghost blog (e.g. https://activitypub.ghost.org/rss/) 2. Open the developer tools from the browser, look into the network tab. 3. (Sometimes required:) Refresh the site 4. Click on the request of the main request. 5. See in the Response Headers: `content-type: text/xml; charset=utf-8`  Ghost Version 5.87.3  Node.js Version (I don't see that with docker?)  How did you install Ghost? Using a docker container on a debian 12 server.  Database type MySQL 8  Browser & OS version Firefox 128.0 (64-Bit) on Windows 11 Pro  Relevant log / error output _No response_  Code of Conduct - [X] I agree to be friendly and polite to people in this repository",source-file | test-file
15608,Ghost,https://github.com/TryGhost/Ghost/issues/15608,"new tag with new post, link to the new tag = 404","Issue Summary 1. create a new post with content ; 2. add a new tag alongside the new post ; 3. the new tag will appear in the site, but the link to that tag is 404 ; 4. can only be fixed by restarting ghost.  Steps to Reproduce 1. create a new post with content ; 2. add a new tag alongside the new post ;  Ghost Version 5.18.0  Node.js Version v18.10.0  How did you install Ghost? self-hosted on ubuntu 22  Database type MySQL 8  Browser & OS version ubuntu 22.04  Relevant log / error output shell tested on both node v16.15.0 and v18.10.0 can only be fixed by restarting ghost.   Code of Conduct - [X] I agree to be friendly and polite to people in this repository",other-file | config-file | test-file | source-file | ui-file | documentation-file | data-file
15505,Ghost,https://github.com/TryGhost/Ghost/issues/15505,Starting Ghost with missing active theme breaks Design Settings screen,"Issue Summary If the selected active theme does not exist in the filesystem the Design Settings screen errors and is unusable. The problem occurs because Ghost's API is returning an unexpected state - when requesting a list of themes none of them has the active: true flag. The preferred solution is to cater for this state in Admin somehow e.g. have a blank-slate state for the design settings screen indicating that no theme is active and point user to the change-theme screen  Steps to Reproduce 1. Activate a custom theme 2. Stop Ghost and delete or rename the custom theme directory 3. Start Ghost 4. Try to access the design settings screen ![image](https://user-images.githubusercontent.com/101513/193050450-fdd1b30c-f923-49a8-99a6-eedb5c5a96e6.png)  Ghost Version 5.16  Node.js Version 16  How did you install Ghost? ghost install  Database type MySQL 8  Browser & OS version _No response_  Relevant log / error output shell <img width=""630"" alt=""image"" src=""https://user-images.githubusercontent.com/101513/193117369-f2947482-993a-440e-91c8-6f5cc11a5c37.png"">   Code of Conduct - [X] I agree to be friendly and polite to people in this repository",source-file
15007,Ghost,https://github.com/TryGhost/Ghost/issues/15007,Cannot get reading time from API via ?fields param,"Issue Summary When making a request to the Content API for posts and including `reading_time` as a field, it is not returned.  Steps to Reproduce Request the demo site with `reading_time`: https://demo.ghost.io/ghost/api/canary/content/posts/?key=22444f78447824223cefc48062&fields=title,url,reading_time Note that it does work if you include the `html` field, which reading time is calculated based on. https://demo.ghost.io/ghost/api/canary/content/posts/?key=22444f78447824223cefc48062&fields=title,url,reading_time,html  Ghost Version 5.2  Node.js Version 14  How did you install Ghost? ghost cli  Database type MySQL 8  Browser & OS version N/a  Relevant log / error output shell n/a   Code of Conduct - [X] I agree to be friendly and polite to people in this repository",test-file | source-file
22023,Ghost,https://github.com/TryGhost/Ghost/issues/22023,API has different max length for feature_image_alt than editor. API 190 / Editor 125,"Issue Summary Updating feature_image_alt over admin API allows 190 characters. The Editor will only allow 125 A feature_image_alt up to 190 characters is accepted when updating a post at `/admin/posts/{{id}}` When editing the same posts and saving, the error ""Update failed: Feature image alt text cannot be longer than 125 characters."" is displayed. See screenshot. <img width=""814"" alt=""Image"" src=""https://github.com/user-attachments/assets/1e0b6091-403b-4c80-bf82-e0335b370b0e"" />  Steps to Reproduce 1. Update a post over API `/admin/posts/{{id}}` with string longer than 125 characters, ex { ""feature_image_alt"" : ""The image shows a wet, pink-lit city street with a car in the background and a person in a coat standing in the foreground."" } 2. Open the posts in Editor, attempt to save. Expecting Editor & admin API to have the same max length, 190 characters  Ghost Version 5.106.1-0-ga963b514+moya  Node.js Version N/A  How did you install Ghost? GhostPro  Database type MySQL 5.7  Browser & OS version N/A  Relevant log / error output shell Update failed: Feature image alt text cannot be longer than 125 characters.   Code of Conduct - [x] I agree to be friendly and polite to people in this repository",source-file
22764,Ghost,https://github.com/TryGhost/Ghost/issues/22764,Search should match results with accents if term does not include them,"Issue Summary If a post title of page include accents, the search results should include those in the results, whether there are accents or not  Steps to Reproduce 1. Create a post with the title Rene Zellweger (note the accented ) 2. Search for this using renee as the term 3. Observe no results  Ghost Version 1.108.1  Node.js Version 18  How did you install Ghost? Ghost(Pro)  Database type MySQL 8  Browser & OS version All  Relevant log / error output shell   Code of Conduct - [x] I agree to be friendly and polite to people in this repository",documentation-file | test-file | source-file | config-file
22328,Ghost,https://github.com/TryGhost/Ghost/issues/22328,Comments exposes a 'hide' button even for staff roles that shouldn't see it.,"Issue Summary I'm logged in as an editor on a Ghost pro site. I'm not logged in as a member When I view comments, I can see the """" with hide behind it. Clicking Hide causes the comment to grey out, but doesn't actually hide it (comment reappears on reload). Aside: I'm about to give editors permissions to hide comments anyway, so maybe I'll write a test that shows that they can (and authors can't).  Steps to Reproduce See above.  Ghost Version Ghost Pro, 5.110.2  Node.js Version na  How did you install Ghost? na  Database type MySQL 8  Browser & OS version chrome, windows 11  Relevant log / error output shell Browser shows a 500 status code because I don't have permissions to hide the comment.   Code of Conduct - [x] I agree to be friendly and polite to people in this repository",source-file | test-file
20133,Ghost,https://github.com/TryGhost/Ghost/issues/20133,Author slug with one letter causes failed filter,"Issue Summary A staff member that signs up with a single-letter first name upon invitation will not be able to use Ghost at all. They only see an error message in the Ghost admin:  Request not understood error, cannot list posts. Error parsing filter  ![CleanShot 2024-05-05 at 19 03 18@2x](https://github.com/TryGhost/Ghost/assets/25703384/52fe6ae4-32bd-487d-99d7-4ee759370d79) Looking at the network requests, the request to `/ghost/api/admin/posts/?formats=mobiledoc%2Clexical&limit=30&page=1&filter=status%3A%5Bdraft%2Cscheduled%2Cpublished%2Csent%5D%2Bauthors%3Aj` fails. As soon as the last filter is removed, the API request succeeds: `https://tireless-buzzard.pikapod.net/ghost/api/admin/posts/?formats=mobiledoc%2Clexical&limit=30&page=1&filter=status%3A%5Bdraft%2Cscheduled%2Cpublished%2Csent%5D` I have then tried to change the author slug in the database from ""j"" to ""jb""  and things started to work. This has been tested in different environments, both locally with development configurations, as well as on different managed hosts. Ghost v5.82.2 and v5.82.6 have been tested, both from the CLI as well as Docker images.  Steps to Reproduce 1. Invite a new staff member as contributor 2. Accept the invitation and register  IMPORTANT: Set the name to have a single-letter first name, e.g. ""J Doe"" instead of ""John Doe"" 3. See the error  Ghost Version v5.82.6  Node.js Version 18 LTS  How did you install Ghost? Ghost CLI  Database type MySQL 8  Browser & OS version Mac OS 14.4.1, latest Chrome and latest Safari tested  Relevant log / error output shell [2024-05-05 16:55:19] ERROR ""GET /ghost/api/admin/posts/?formats=mobiledoc%2Clexical&limit=30&page=1&filter=status%3A%5Bdraft%2Cscheduled%2Cpublished%2Csent%5D%2Bauthors%3Aj"" 400 12ms Error parsing filter Error ID: 415527a0-0b00-11ef-96dc-2bc1b8db7476  Error: Query Error: unrecognized text ""j"" in filter at char 24 at Child.applyDefaultAndCustomFilters (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/bookshelf-filter/lib/bookshelf-filter.js:66:23) ished,sent]+authors:j)+type:post ^ at lexer.parseError (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/nql-lang/dist/parser.js:760:11) at Object.next (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/nql-lang/dist/parser.js:625:25) at Object.lex (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/nql-lang/dist/parser.js:635:22) at lex (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/nql-lang/dist/parser.js:246:27) at Parser.parse (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/nql-lang/dist/parser.js:259:26) at exports.parse (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/nql-lang/lib/nql.js:18:44) at api.parse (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/nql/lib/nql.js:15:31) at api.querySQL (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/nql/lib/nql.js:49:44) at Builder.<anonymous> (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/bookshelf-filter/lib/bookshelf-filter.js:63:24) at Object.query (/var/lib/ghost/versions/5.82.2/node_modules/bookshelf/lib/helpers.js:164:14) at Child.query (/var/lib/ghost/versions/5.82.2/node_modules/bookshelf/lib/model.js:1387:22) at Child.applyDefaultAndCustomFilters (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/bookshelf-filter/lib/bookshelf-filter.js:56:22) at Function.getFilteredCollection (/var/lib/ghost/versions/5.82.2/core/server/models/base/plugins/filtered-collection.js:13:32) at Function.findPage (/var/lib/ghost/versions/5.82.2/core/server/models/base/plugins/crud.js:83:41) at PostsService.browsePosts (/var/lib/ghost/versions/5.82.2/node_modules/@tryghost/posts-service/lib/PostsService.js:81:44) at Object.query (/var/lib/ghost/versions/5.82.2/core/server/api/endpoints/posts.js:73:33)   Code of Conduct - [X] I agree to be friendly and polite to people in this repository",documentation-file | config-file
15291,Ghost,https://github.com/TryGhost/Ghost/issues/15291,Regression: Redirect to signin/re-authenticate modal not shown when logged out,"We've had a regression with how unauthenticated requests are handled by Admin. Unauthenticated requests could occur if you've logged out in another tab and didn't realise you'd gone back to editing on a tab that looked like it was still logged in. ## Steps to reproduce 1. Open Ghost admin and ensure you're logged in in two different tabs 2. In tab 1, open the editor 3. In tab 2, logout 4. In tab 1, attempt to save ## Previous behaviour - whilst editing - show a re-authentication modal to allow quick sign-in and save - whilst performing any other action - redirect to signin screen ## Current behaviour: - all actions - show a slightly cryptic alert message `Authorization failed Unable to determine the authenticated user or integration. Check that cookies are being passed through if using session authentication.` This is likely happening because we've moved from a `401` to a `403`. The cookie is being sent so the request is not ""Unauthenticated"" but it no longer matches a valid session so its ""Unauthorized"". Admin isn't currently set up to recognise a 403 and trigger the auto-logout/re-authenticate behaviour. There are potential edge cases if we treat 403 and 401 the same when it's a genuine ""not permitted"" error but Admin shouldn't be making any such requests unless your role is changed by another user whilst you're using it. Note: There is a skipped test for the re-authentication modal here: https://github.com/TryGhost/Ghost/blob/0695f74a653bff85d5a08ee7f97fc9a4a8ddbe63/ghost/admin/tests/acceptance/authentication-test.js#L97 which may have contributed to this regression slipping in. Ideally we'd get this test running again as well to prevent this regressing in future.  Ghost Version 5.10",other-file | config-file | test-file | source-file | ui-file | documentation-file | data-file
14980,Ghost,https://github.com/TryGhost/Ghost/issues/14980,"Tenor V1 API has been decomissioned, unable to load Gifs from editor.","Issue Summary Whenever trying to insert a gif from Tenor on the editor, the error ""Unable to connect to Tenor, please check your connection"" intermittently appears. The reason for this is that Tenor V1 API has been deprecated and migrated to a Google Api.  Steps to Reproduce 1. Start writing a Post or a new Page 2. on the editor enter the `/tenor` command to open the GIF Search card 3. Tenor will display the error `Uh oh! Trouble reaching the Tenor API, please check your connection`  Ghost Version 5.2  Node.js Version 16.15.0  How did you install Ghost? Docker  Database type MySQL 8  Browser & OS version Chrome, Mac OS Monterey 12.4  Relevant log / error output shell GET https://g1.tenor.com/v1/trending?media_filter=minimal&key=null&contentfilter=off 401 (Unauthorized)   Code of Conduct - [X] I agree to be friendly and polite to people in this repository",ui-file | source-file
