issue_no,repo,issue_url,title,description,patched_file_types
29127,mastodon,https://github.com/mastodon/mastodon/issues/29127,Possible to create domain blocks when a stricter limit already exists in Admin UI,"Steps to reproduce the problem 1. Go to `/admin/instances?limited=1` to manage federation 2. Add a domain block for `example` (noop/none severity) 3. Using the API try to create a domain block for `test.example` observe that an error is returned 4. Go back to the admin UI and create a domain block for `test.example` observe that no error is returned and the block is successfully created.  Expected behaviour Both methods for creating domain blocks should have same behaviour  Actual behaviour The API failed whilst the Admin UI succeeded  Detailed description This bug affects IFTAS FediCheck, where we weren't observing the same logic as `DomainBlock.rule_for` when attempting to create a domain block, which meant an existing block of `example` would fail the block creation of `test.example` leaving us out of sync with the Mastodon server (we also weren't handling the error response from the API correctly.  Mastodon instance _No response_  Mastodon version main  Technical details If this is happening on your own Mastodon server, please fill out those: - Ruby version: v 3.2.3 - Node.js version: v20.11.0",source-file
28233,mastodon,https://github.com/mastodon/mastodon/issues/28233,"LinkCrawlWorker throws a NoMethodError `[]` for `nilClass` because Link Oembed json resolves to ""null""","This is mostly a reproducibility report for a certain bug that'll cause `LinkCrawlWorker`s to pile up in the dead queue. Given a status which contains the following link; - https://www.fimfiction.net/oembed\?url\=https%3A%2F%2Fwww.fimfiction.net%2Fblog%2F1027689%2Fasking-for-help It'll eventually crash a `LinkCrawlWorker` with the following error; `NoMethodError: undefined method '[]' for nil:NilClass` Because of the following backtrace; <details> <summary>Backtrace</summary>  live/app/services/fetch_oembed_service.rb:103:in `validate' live/app/services/fetch_oembed_service.rb:88:in `fetch!' live/app/services/fetch_oembed_service.rb:19:in `call' live/app/services/fetch_link_card_service.rb:107:in `attempt_oembed' live/app/services/fetch_link_card_service.rb:42:in `process_url' live/app/services/fetch_link_card_service.rb:28:in `block in call' live/app/models/concerns/lockable.rb:12:in `block (2 levels) in with_redis_lock' live/vendor/bundle/ruby/3.0.0/gems/mario-redis-lock-1.2.1/lib/redis_lock.rb:44:in `acquire' live/app/models/concerns/lockable.rb:10:in `block in with_redis_lock' live/vendor/bundle/ruby/3.0.0/gems/connection_pool-2.4.1/lib/connection_pool.rb:110:in `block (2 levels) in with' live/vendor/bundle/ruby/3.0.0/gems/connection_pool-2.4.1/lib/connection_pool.rb:109:in `handle_interrupt' live/vendor/bundle/ruby/3.0.0/gems/connection_pool-2.4.1/lib/connection_pool.rb:109:in `block in with' live/vendor/bundle/ruby/3.0.0/gems/connection_pool-2.4.1/lib/connection_pool.rb:106:in `handle_interrupt' live/vendor/bundle/ruby/3.0.0/gems/connection_pool-2.4.1/lib/connection_pool.rb:106:in `with' live/app/lib/redis_configuration.rb:10:in `with' live/app/models/concerns/redisable.rb:9:in `with_redis' live/app/models/concerns/lockable.rb:9:in `with_redis_lock' live/app/services/fetch_link_card_service.rb:26:in `call' live/app/workers/link_crawl_worker.rb:9:in `perform'  </details> Because `body` on the following line will become the string `""null""`; https://github.com/mastodon/mastodon/blob/89a8e6e6227eb901b5811d8417d81dc8ab1427a9/app/services/fetch_oembed_service.rb#L84",source-file
28381,mastodon,https://github.com/mastodon/mastodon/issues/28381,/api/v1/directory returning 500 on Mastodon 4.1.11,"Steps to reproduce the problem On a Mastodon 4.1.11 instance: 1. Go to `your-domain.tld/directory` on a browser. A `GET` request is made to `/api/v1/directory?order=active&local=false&limit=20` 2. Check the mastodon-web logs and the database logs  Expected behaviour The `/directory` page shows some profiles  Actual behaviour The `/directory` page loads, but doesn't show any profile  Detailed description The API call to `/api/v1/directory?order=active&local=false&limit=20` gives a `500` error mastodon-web logs:  [3f261ece-7921-40e8-83a1-15a7577819f0] ActiveRecord::StatementInvalid (PG::AmbiguousColumn: ERROR: column reference ""last_status_at"" is ambiguous LINE 1:  NULL AND ""accounts"".""discoverable"" = $2 ORDER BY last_statu ^ ): [3f261ece-7921-40e8-83a1-15a7577819f0] [3f261ece-7921-40e8-83a1-15a7577819f0] app/controllers/api/v1/directories_controller.rb:8:in `show' [3f261ece-7921-40e8-83a1-15a7577819f0] app/controllers/concerns/localized.rb:11:in `set_locale' [3f261ece-7921-40e8-83a1-15a7577819f0] lib/mastodon/rack_middleware.rb:9:in `call' [3f261ece-7921-40e8-83a1-15a7577819f0] lib/public_file_server_middleware.rb:18:in `call'  Postgres logs:  2023-12-15T12:11:50.926973550+01:00 2023-12-15 11:11:50.926 UTC [789030] ERROR: column reference ""last_status_at"" is ambiguous at character 2689 2023-12-15T12:11:50.927009728+01:00 2023-12-15 11:11:50.926 UTC [789030] STATEMENT: SELECT ""accounts"".""username"" AS t0_r0, ""accounts"".""domain"" AS t0_r1, ""accounts"".""private_key"" AS t0_r2, ""accounts"".""public_key"" AS t0_r3, ""accounts"".""created_at"" AS t0_r4, ""accounts"".""updated_at"" AS t0_r5, ""accounts"".""note"" AS t0_r6, ""accounts"".""display_name"" AS t0_r7, ""accounts"".""uri"" AS t0_r8, ""accounts"".""url"" AS t0_r9, ""accounts"".""avatar_file_name"" AS t0_r10, ""accounts"".""avatar_content_type"" AS t0_r11, ""accounts"".""avatar_file_size"" AS t0_r12, ""accounts"".""avatar_updated_at"" AS t0_r13, ""accounts"".""header_file_name"" AS t0_r14, ""accounts"".""header_content_type"" AS t0_r15, ""accounts"".""header_file_size"" AS t0_r16, ""accounts"".""header_updated_at"" AS t0_r17, ""accounts"".""avatar_remote_url"" AS t0_r18, ""accounts"".""locked"" AS t0_r19, ""accounts"".""header_remote_url"" AS t0_r20, ""accounts"".""last_webfingered_at"" AS t0_r21, ""accounts"".""inbox_url"" AS t0_r22, ""accounts"".""outbox_url"" AS t0_r23, ""accounts"".""shared_inbox_url"" AS t0_r24, ""accounts"".""followers_url"" AS t0_r25, ""accounts"".""protocol"" AS t0_r26, ""accounts"".""id"" AS t0_r27, ""accounts"".""memorial"" AS t0_r28, ""accounts"".""moved_to_account_id"" AS t0_r29, ""accounts"".""featured_collection_url"" AS t0_r30, ""accounts"".""fields"" AS t0_r31, ""accounts"".""actor_type"" AS t0_r32, ""accounts"".""discoverable"" AS t0_r33, ""accounts"".""also_known_as"" AS t0_r34, ""accounts"".""silenced_at"" AS t0_r35, ""accounts"".""suspended_at"" AS t0_r36, ""accounts"".""hide_collections"" AS t0_r37, ""accounts"".""avatar_storage_schema_version"" AS t0_r38, ""accounts"".""header_storage_schema_version"" AS t0_r39, ""accounts"".""devices_url"" AS t0_r40, ""accounts"".""sensitized_at"" AS t0_r41, ""accounts"".""suspension_origin"" AS t0_r42, ""accounts"".""trendable"" AS t0_r43, ""accounts"".""reviewed_at"" AS t0_r44, ""accounts"".""requested_review_at"" AS t0_r45, ""account_stats_accounts"".""id"" AS t1_r0, ""account_stats_accounts"".""account_id"" AS t1_r1, ""account_stats_accounts"".""statuses_count"" AS t1_r2, ""account_stats_accounts"".""following_count"" AS t1_r3, ""account_stats_accounts"".""followers_count"" AS t1_r4, ""account_stats_accounts"".""created_at"" AS t1_r5, ""account_stats_accounts"".""updated_at"" AS t1_r6, ""account_stats_accounts"".""last_status_at"" AS t1_r7 FROM ""accounts"" LEFT OUTER JOIN ""users"" ON ""users"".""account_id"" = ""accounts"".""id"" LEFT OUTER JOIN ""account_stats"" ON ""account_stats"".""account_id"" = ""accounts"".""id"" LEFT OUTER JOIN ""account_stats"" ""account_stats_accounts"" ON ""account_stats_accounts"".""account_id"" = ""accounts"".""id"" WHERE (""accounts"".""domain"" IS NOT NULL OR ""users"".""approved"" = $1 AND ""users"".""confirmed_at"" IS NOT NULL) AND ""accounts"".""suspended_at"" IS NULL AND ""accounts"".""moved_to_account_id"" IS NULL AND ""accounts"".""silenced_at"" IS NULL AND ""accounts"".""discoverable"" = $2 ORDER BY last_status_at DESC NULLS LAST LIMIT $3  In the generated query, the `LEFT OUTER JOIN ""account_stats"" ON ""account_stats"".""account_id"" = ""accounts"".""id"" LEFT OUTER JOIN ""account_stats"" ""account_stats_accounts"" ON ""account_stats_accounts"".""account_id"" = ""accounts"".""id""` seems weird.  Mastodon instance https://mastodon.libre-entreprise.com  Mastodon version v4.1.11  Technical details Mastodon running with Docker, using official image",source-file
30103,mastodon,https://github.com/mastodon/mastodon/issues/30103,API to subscribe to push notification does not seem to delete previous subscription?,"Steps to reproduce the problem 1. [POST `/api/v1/push/subscription`](https://docs.joinmastodon.org/methods/push/#create) many times. (Not sure if many times in a short time matters though, just stating based on what I (accidentally) did) 2. Send a post via another account, tagging the logged in user. 3. Wait for notification to arrive 4. Realised that tons of notifications came flooding in, only one decoded correctly (non unexpected, since my app only saved the latest keys)  Expected behaviour 1 notification with correct contents.  Actual behaviour hundreds? of notifications.  Detailed description Now, I am not entirely sure if the fault is on my end, but I am somewhat confident that it is the API's fault. Please advise if I'm doing something terribly wrong without noticing I am referring to the [POST `/api/v1/push/subscription`](https://docs.joinmastodon.org/methods/push/#create) endpoint. So the story here is that, new (unreleased) app here, where a bug occurred, which resulted in an endless loop, causing the app to accidentally send out many requests. I realised this probably after like 2 seconds, shut the app down, fixed the issue, and relaunched the app. I sent a post out using another account, tagging my app's logged in account, the rest is explained in the steps to reproduce section. The documentation for that, states: > If you create a new subscription, the old subscription is deleted. In this case, it didn't seem to be true? Eventually, I also tried calling [DELETE `/api/v1/push/subscription`](https://docs.joinmastodon.org/methods/push/#delete), but symptoms remains. My setup is for a watchOS app. Notifications are relayed using [metatext-apns](https://github.com/metabolist/metatext-apns), which by the looks of it is just a simple relay so that shouldn't be the cause, right? I am very new to this Mastodon/Web Push notifications stuff, so please let me know if you believe it's an issue from my end. Thank you!  Mastodon instance mastodon.social  Mastodon version v4.3.0-nightly.2024-04-18  Technical details - watchOS 10.2 - Both accounts are on mastodon.social",source-file
33742,mastodon,https://github.com/mastodon/mastodon/issues/33742,Streaming API and REST API language filtering is inconsistent,"Steps to reproduce the problem 1. select chosen languages in `/settings/preferences/other` 2. open the public timeline 3. observe new posts appearing 4. refresh page  Expected behaviour refreshing the page should result in the same posts  Actual behaviour streaming gets more posts than REST API  Detailed description At first glance, this seems to be due to the language filtering logic being different in the streaming server (`streamFrom` function) and the Ruby server (`PublicFeed#language_scope`): - the streaming code treats posts with an unknown language as acceptable (`payload.language !== null `) - when language filtering is enabled, the Ruby code does not return posts with `language: nil`  Mastodon instance mastodon.social  Mastodon version v4.3.0  Technical details _No response_",source-file
29071,mastodon,https://github.com/mastodon/mastodon/issues/29071,"Regression: Suggestion.source is documented as a string, currently returns list of strings","Steps to reproduce the problem 1. On `mastodon.social`, call [`/api/v2/suggestions`](https://docs.joinmastodon.org/methods/suggestions/#v2) 2. Attempt to decode output as documented, as an array of [`Suggestion`](https://docs.joinmastodon.org/entities/Suggestion/) objects 3. Decoding fails because object has changed from documented format  Expected behaviour `Suggestion.source` should be a string  Actual behaviour `Suggestion.source` is an array of strings  Detailed description I'm not sure when this changed, but it's not documented, or backwards compatible with existing clients. My suggestion for the fix would be to keep `source` as a string, populate it with the first or most important of the possible source strings, deprecate `source`, and return the full list of sources as a new `sources` property on `Suggestion`.  Mastodon instance mastodon.social  Mastodon version v4.3.0-nightly.2024-02-02  Technical details _No response_",source-file
28258,mastodon,https://github.com/mastodon/mastodon/issues/28258,Status edits are not sent to streaming clients if they do not appear in a subscribed feed,Steps to reproduce the problem 1. Send a status with direct visibility to a user who doesn't follow you 2. Edit the sent status 3. The recipient does not see the status edit unless they refresh  Expected behaviour The recipient should have received the edited status  Actual behaviour The recipient does not see the status edit unless they refresh  Detailed description _No response_  Mastodon instance _No response_  Mastodon version v4.2.3  Technical details - Ruby version: 3.2.2 - Node.js version: v20.6.1,source-file
30039,mastodon,https://github.com/mastodon/mastodon/issues/30039,Idempotency-Key ignored when scheduling a post,"Steps to reproduce the problem Make multiple requests to schedule a post to `POST /api/v1/statuses`, e.g. with this body `{""status"":""Test"",""spoiler_text"":"""",""visibility"":""private"",""sensitive"":false,""media_ids"":[],""media_attributes"":[],""scheduled_at"":""2024-04-24T14:59:42.868Z"",""language"":""en""}` and with the same `Idempotency-Key` header.  Expected behaviour There is one scheduled status created because the Idempotency-Key was the same.  Actual behaviour Multiple scheduled statuses were created  Detailed description _No response_  Mastodon instance mastodon.social  Mastodon version 4.3.0-nightly.2024-04-18  Technical details _No response_",source-file
28455,mastodon,https://github.com/mastodon/mastodon/issues/28455,The summary for converted ActivityPub objects must be treated as html according to the ActivityStreams specification,"Steps to reproduce the problem 1. Retrieve a non-note object like an `Event` from with a HTML summary. 2. The resulting post will not be rendered/converted as HTML but as plain text.  Expected behaviour The summary should be treated as HTML by default.  Actual behaviour The summary is treated as plain text. The following Screenshot shows what a event received from Gancio then looks like. ![Screenshot_from_2023-12-20_01-20-36](https://github.com/mastodon/mastodon/assets/99024746/d9472d8a-2e0c-4648-b1e5-574428110565)  Detailed description The feature introduced in https://github.com/mastodon/mastodon/pull/9823 is basically a great one, without Mastodon implementing custom renderings for ActivityPub objects like `Event` it has basic support for them. The actual convertion likely takes place here: https://github.com/mastodon/mastodon/blob/2463b53363a621c1e18223bda5c47a663707a22c/app/lib/activitypub/activity/create.rb#L371-L373. The [ActivityStreams vocabulary specification](https://www.w3.org/TR/activitystreams-vocabulary/#dfn-summary) states that > **Summary**: A natural language summarization of the object encoded as HTML. This will cause interoperability issues with future Gancio, Mobilizon and WordPress ActivityPub releases. Altough the ActivityPub spec does not mention it, one might also think of accepting custom `MediaType` for the summary, to handle both plain/text and HTML summaries. See https://framagit.org/les/gancio/-/issues/321#note_2038846  Mastodon instance All  Mastodon version Since https://github.com/mastodon/mastodon/pull/9823  Technical details _No response_",source-file
32540,mastodon,https://github.com/mastodon/mastodon/issues/32540,Streaming healthcheck doesn't send headers to prevent caching,"Steps to reproduce the problem Request to the streaming health check shouldn't be cached by intermediaries  Expected behaviour Responses have appropriate cache control headers  Actual behaviour They don't  Detailed description Ask @ThisIsMissEm  Mastodon instance _No response_  Mastodon version _No response_  Technical details If this is happening on your own Mastodon server, please fill out those: - Ruby version: (from `ruby --version`, eg. v3.3.5) - Node.js version: (from `node --version`, eg. v20.18.0)",source-file
