issue_no,repo,issue_url,title,description,patched_file_types
641,nocodb,https://github.com/nocodb/nocodb/issues/641,generated uuid is not returned on record creation with rest API,**Please enter the following details** NocoDB used as docker : true NocoDB version : 0.11.42 Database used in NC_DB URL : pg Project was created by clicking : New Project by connecting to external database Database on which spreadsheet is created : pg OS on which NocoDB is running : Ubuntu 20.04 Node.js version if running as node : as in docker image Database version : Postgres 14.0 **Steps To Reproduce** 1. Create any table 2. Add any field with uuid type with `gen_random_uuid()` default value 3. Create any record with rest api. Result will include null value for the field. **Expected behavior** Result should include generated uuid.,ui-file
10608,nocodb,https://github.com/nocodb/nocodb/issues/10608,"Bug: Form View with Attachment and Links Field, entry triggers ""Failed to load list""","Please confirm that the bug report does not already exist - [x] I confirm there is no existing issue for this bug.  Steps to reproduce 1. Create a Form View which has both an Attachment and a Links (many-to-many) field (and some example data, of course) 2. Fill in the attachment field *first* (i.e. by picking a file from the local machine, upload it) 3. Attempt to fill in the Links field (click the plus button next to ""No records linked"", expect an autocomplete-ish drop down) 4. Error message: ""Failed to load list: something went wrong""; there is no list of records to select from (""No records match your search query""); inputs into the search field re-trigger the error above  Desired Behavior No error :), Link should be selectable (without the workaround to select it first, *then* picking a file)  Project Details Node: **v22.14.0** Arch: **x64** Platform: **linux** Docker: **true** RootDB: **pg** PackageVersion: **0.262.0**  Attachments Analysis: The Link field attempts to populate possible record values by requesting/fetching the endpoint `/api/v1/db/public/shared-view/$UUID/nested/$BASE36ISHSTRING`. It **GET**s a query which roughly decodes to: `{ limit: 10, offset: 0, fields: []`, but also, `rowData: { TheAttachmentField: [ {,""title"":""TheFilename.jpg"",""data"":""base64,/TheFullFileEncodedInBase64AAAAA`,. The size of the GET request (I think) makes it fail; even for quite small files. Chrom* reports this as `net::ERR_CONNECTION_CLOSED` in the console, Firefox is rather silent on my machine. The file (contents) shouldn't be appended to the query in the first place, I guess. As far as I can tell, this happens ultimately here: https://github.com/nocodb/nocodb/blob/0cadb29e18e7f503bace209275e7148716eccd35/packages/nc-gui/composables/useLTARStore.ts#L213 ![Image](https://github.com/user-attachments/assets/9020300a-47b1-420c-8ad4-3cdf09a50b40) ![Image](https://github.com/user-attachments/assets/a5595154-de08-4e85-aff9-5c4087550a92)",source-file
40,nocodb,https://github.com/nocodb/nocodb/issues/40,Command always detects one table,"node -v ( xmysql requires node >= 7.6.0 ) v8.11.1 npm -v 5.6.0 mysql --version 8.0.11 xmysql --version 0.4.8 - - - When I run the command given in the README, the tool detecs one table only and generates 29 APIs, all of which are referencing a table named 'undefined', however the /tables API returns the correct database tables but their APIs are not generated. I tried on a database of mine as well as classicmodels database that is used in the tests. - - -",documentation-file | source-file
348,nocodb,https://github.com/nocodb/nocodb/issues/348,Bug: APIs related to M2M columns become undefined in Swagger,"**Please enter the following details** APIs related to M2M columns become undefined in Swagger **Steps To Reproduce** 1. Create a table called ``Table A`` 2. Create a table called ``Table B`` 3. In ``Table B``, create a M2M column linking to ``Table A`` 4. Go to Swagger, there are two called ``TableAHasManyundefined`` and ``TableBHasManyundefined``. 5. Try executing something like ``/nc/xxxxxxxxx/api/v1/TableB/has/m2mTableA_TableB'`` and got the following result. json { ""msg"": ""Cannot read property 'columnToAlias' of undefined"" }  6. There are some APIs with undefined id as well  /nc/xxxxxxxxx/api/v1/TableB/{TableBId}/m2mTableA_TableB/{undefinedId}  **Expected behavior** No undefined values Node: v12.22.1 Arch: x64 Platform: linux Docker: true Database: pg ProjectOnRootDB: false RootDB: pg PackageVersion: 0.10.3",source-file
651,nocodb,https://github.com/nocodb/nocodb/issues/651,table name with underscore problem,"Node: **v12.22.6** Arch: **x64** Platform: **linux** Docker: **true** Database: **mysql2** ProjectOnRootDB: **false** RootDB: **mysql2** PackageVersion: **0.11.46** My db table **tnm_M** contains an underscore. This causes 2 unexpected consequences: 1. In the UI sidebar the table is showed without the underscore as you can see from picture below ![image](https://user-images.githubusercontent.com/454321/137497766-252468d5-9b69-4c36-ae79-5c62ea28a4c0.png) 2. Even the API get modified ![image](https://user-images.githubusercontent.com/454321/137498394-56147103-a9b0-4995-9463-743cc8e5171f.png) great tool, thank you",documentation-file | source-file
1713,nocodb,https://github.com/nocodb/nocodb/issues/1713,shared base- fields showAll/ HideAll error,Node: **v14.18.0** Arch: **arm64** Platform: **darwin** Docker: **false** Database: **sqlite3** ProjectOnRootDB: **true** RootDB: **sqlite3** PackageVersion: **0.84.18**  GET /api/v1/db/meta/audits/comments/count?ids[]=3&ids[]=2&ids[]=1&fk_model_id=md_ruy5tydtlvchvt 304 - - 2.365 ms projectAclMiddleware :: Forbidden [Error]: viewUpdate - editor : Not allowed at Function.forbidden (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/catchError.ts:47:11) at projectAclMiddleware (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/ncMetaAclMw.ts:63:17) at /Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/catchError.ts:6:20 at Layer.handle [as handle_request] (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/node_modules/express/lib/router/layer.js:95:5) at next (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/node_modules/express/lib/router/route.js:137:13) at authMiddleware (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/ncMetaAclMw.ts:23:7) at /Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/catchError.ts:6:20 at Layer.handle [as handle_request] (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/node_modules/express/lib/router/layer.js:95:5) at next (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/node_modules/express/lib/router/route.js:137:13) at exports.default (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/extractProjectIdAndAuthenticate.ts:141:5) PATCH /api/v1/db/meta/views/vw_64yqwazih1twez 403 43 - 4.732 ms projectAclMiddleware :: Forbidden [Error]: hideAllColumns - editor : Not allowed at Function.forbidden (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/catchError.ts:47:11) at projectAclMiddleware (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/ncMetaAclMw.ts:63:17) at /Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/catchError.ts:6:20 at Layer.handle [as handle_request] (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/node_modules/express/lib/router/layer.js:95:5) at next (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/node_modules/express/lib/router/route.js:137:13) at authMiddleware (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/ncMetaAclMw.ts:23:7) at /Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/catchError.ts:6:20 at Layer.handle [as handle_request] (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/node_modules/express/lib/router/layer.js:95:5) at next (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/node_modules/express/lib/router/route.js:137:13) at exports.default (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/noco/meta/helpers/extractProjectIdAndAuthenticate.ts:141:5) POST /api/v1/db/meta/views/vw_64yqwazih1twez/hide-all 403 47 - 3.106 ms,source-file
755,nocodb,https://github.com/nocodb/nocodb/issues/755,Incorrect offset in pagination when increased number of shown records,"I successfully increased number of records shown in tables via changing DB_QUERY_LIMIT_MIN, but pagination still using offset equal 25. Node: **v12.22.6** Arch: **x64** Platform: **linux** Docker: **false** Database: **pg** ProjectOnRootDB: **true** RootDB: **pg** PackageVersion: **0.81.1** **Steps To Reproduce** 1. Create new project via Heroku, internal DB, new table 2. Create 200 records 3. In Config Vars add DB_QUERY_LIMIT_MIN = 100 4. See first 100 records on the first page of pagination 5. But also, see many other pages in pagination. Second page shows records from 26 to 126. Third page shows records from 51 to 151, etc. **Expected behavior** In this example would be 2 pages in pagination. Second page shows records from 101 to 200.",config-file | source-file | ui-file | data-file | documentation-file
7241,nocodb,https://github.com/nocodb/nocodb/issues/7241,Bug: `/email/verify/:token` no longer exists so users see a 404 when they try to follow the verify email link,Please confirm if bug report does NOT exists already ? - [X] I confirm there is no existing issue for this  Steps to reproduce ? * Try to verify someone's email * They get a link to /email/verify/some-uuid-token * They see a 404 from the backend  Desired Behavior They should get their email validated  Project Details Node: **v18.18.2** Arch: **x64** Platform: **linux** Docker: **false** (it's running on kubernetes) RootDB: **pg** PackageVersion: **0.202.10**  Attachments _No response_,source-file
24,nocodb,https://github.com/nocodb/nocodb/issues/24,While joining two tables if some columns have same name then I am not able to select all column names (Only all unique column names are displaying in the output).,"If I am using _fileds and trying to select columns which have the common name then also in the output only one column is displaying. Not getting the option to alias column name. **Example**: _Table1_ : User(id, name, email, city_id) _Table2_: City(id, name) _query_: /api/xjoin?_join=u.user,_lj,c.city&_on1=(u.city_id,eq,c.id)&_fields=u.id,u.name,c.id,c.name _Output_: [{ id: 1, name : ""xxx"" },{ id : 2, name : ""yyy"" }] _Expected Output_: [{ id: 1, name : ""xxx"", id: 1, name : ""city1"" },{ id : 2, name : ""yyy"", id: 2, name : ""city2"" }]",test-file | source-file | ui-file | data-file | documentation-file
4176,nocodb,https://github.com/nocodb/nocodb/issues/4176,Bug: error during airtable import (feat/at-import-memory),"Please confirm if bug report does NOT exists already ? - [X] I confirm there is no existing issue for this  Steps to reproduce ? Xcdb import though got completed - noticed the following error. Do check if its relevant to the change  uploadViaURL :: TypeError: undefined is not iterable (cannot read property Symbol(Symbol.iterator)) at Function.all (<anonymous>) at uploadViaURL (/Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/meta/api/attachmentApis.ts:58:37) at /Users/rajuudava/NocoDB/nocodb/packages/nocodb/src/lib/meta/helpers/catchError.ts:6:14 POST /api/v1/db/storage/upload-by-url?path=noco%2Fx%2FShots%2FImage 400 82 - 10.179 ms Error: Request failed with status code 400 at createError (/Users/rajuudava/NocoDB/nocodb/packages/nocodb-sdk/node_modules/axios/lib/core/createError.js:16:15) at settle (/Users/rajuudava/NocoDB/nocodb/packages/nocodb-sdk/node_modules/axios/lib/core/settle.js:17:12) at IncomingMessage.handleStreamEnd (/Users/rajuudava/NocoDB/nocodb/packages/nocodb-sdk/node_modules/axios/lib/adapters/http.js:269:11) at IncomingMessage.emit (node:events:532:35) at IncomingMessage.emit (node:domain:475:12) at endReadableNT (node:internal/streams/readable:1346:12) at processTicksAndRejections (node:internal/process/task_queues:83:21) { config: { url: '/api/v1/db/storage/upload-by-url', method: 'post', headers: { Accept: 'application/json, text/plain, */*', 'Content-Type': 'application/json', 'xc-auth': 'eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InVzZXJAbm9jb2RiLmNvbSIsImZpcnN0bmFtZSI6bnVsbCwibGFzdG5hbWUiOm51bGwsImlkIjoidXNfcnl3Y3FwZmNtbTY4ZnUiLCJyb2xlcyI6InVzZXIsc3VwZXIiLCJ0b2tlbl92ZXJzaW9uIjoiZjA4MTMwOTMzNjUwNDhjYjRmMjdlMGI5Y2E2ZjY5ZjMwY2RjNDU0NWEyZjIyMmI2ZDdkMDY1ZjgwYTAzYTNjOGIxNDZlYTk3NjNhYzA4MWYiLCJpYXQiOjE2NjY3MDI2NTYsImV4cCI6MTY2NjczODY1Nn0.ymEEHLj526QrJgcfNJzJY9fCTBHXlX3GuHeG6U21Vfg', 'User-Agent': 'axios/0.21.4' }, params: { path: 'noco/x/Shots/Image' }, baseURL: 'http://localhost:8080', transformRequest: [ [Function: transformRequest] ], transformResponse: [ [Function: transformResponse] ], timeout: 0, adapter: [Function: httpAdapter], xsrfCookieName: 'XSRF-TOKEN', xsrfHeaderName: 'X-XSRF-TOKEN', maxContentLength: -1, maxBodyLength: -1, validateStatus: [Function: validateStatus], transitional: { silentJSONParsing: true, forcedJSONParsing: true, clarifyTimeoutError: false }, data: undefined }, request: <ref *1> ClientRequest { _events: [Object: null prototype] { abort: [Function (anonymous)], aborted: [Function (anonymous)], connect: [Function (anonymous)], error: [Function (anonymous)], socket: [Function (anonymous)], timeout: [Function (anonymous)], prefinish: [Function: requestOnPrefinish] }, _eventsCount: 7, _maxListeners: undefined, outputData: [], outputSize: 0, writable: true, destroyed: false, _last: true, chunkedEncoding: false, shouldKeepAlive: false, maxRequestsOnConnectionReached: false, _defaultKeepAlive: true, useChunkedEncodingByDefault: true, sendDate: false, _removedConnection: false, _removedContLen: false, _removedTE: false, _contentLength: 0, _hasBody: true, _trailer: '', finished: true, _headerSent: true, _closed: false, socket: Socket { connecting: false, _hadError: false, _parent: null, _host: 'localhost', _readableState: [ReadableState], _events: [Object: null prototype], _eventsCount: 7, _maxListeners: undefined, _writableState: [WritableState], allowHalfOpen: false, _sockname: null, _pendingData: null, _pendingEncoding: '', server: null, _server: null, parser: null, _httpMessage: [Circular *1], [Symbol(async_id_symbol)]: 58920, [Symbol(kHandle)]: [TCP], [Symbol(kSetNoDelay)]: false, [Symbol(lastWriteQueueSize)]: 0, [Symbol(timeout)]: null, [Symbol(kBuffer)]: null, [Symbol(kBufferCb)]: null, [Symbol(kBufferGen)]: null, [Symbol(kCapture)]: false, [Symbol(kBytesRead)]: 0, [Symbol(kBytesWritten)]: 0, [Symbol(RequestTimeout)]: undefined }, _header: 'POST /api/v1/db/storage/upload-by-url?path=noco%2Fx%2FShots%2FImage HTTP/1.1\r\n' + 'Accept: application/json, text/plain, */*\r\n' + 'Content-Type: application/json\r\n' + 'xc-auth: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InVzZXJAbm9jb2RiLmNvbSIsImZpcnN0bmFtZSI6bnVsbCwibGFzdG5hbWUiOm51bGwsImlkIjoidXNfcnl3Y3FwZmNtbTY4ZnUiLCJyb2xlcyI6InVzZXIsc3VwZXIiLCJ0b2tlbl92ZXJzaW9uIjoiZjA4MTMwOTMzNjUwNDhjYjRmMjdlMGI5Y2E2ZjY5ZjMwY2RjNDU0NWEyZjIyMmI2ZDdkMDY1ZjgwYTAzYTNjOGIxNDZlYTk3NjNhYzA4MWYiLCJpYXQiOjE2NjY3MDI2NTYsImV4cCI6MTY2NjczODY1Nn0.ymEEHLj526QrJgcfNJzJY9fCTBHXlX3GuHeG6U21Vfg\r\n' + 'User-Agent: axios/0.21.4\r\n' + 'Host: localhost:8080\r\n' + 'Connection: close\r\n' + 'Content-Length: 0\r\n' + '\r\n', _keepAliveTimeout: 0, _onPendingData: [Function: nop], agent: Agent { _events: [Object: null prototype], _eventsCount: 2, _maxListeners: undefined, defaultPort: 80, protocol: 'http:', options: [Object: null prototype], requests: [Object: null prototype] {}, sockets: [Object: null prototype], freeSockets: [Object: null prototype] {}, keepAliveMsecs: 1000, keepAlive: false, maxSockets: Infinity, maxFreeSockets: 256, scheduling: 'lifo', maxTotalSockets: Infinity, totalSocketCount: 7, [Symbol(kCapture)]: false }, socketPath: undefined, method: 'POST', maxHeaderSize: undefined, insecureHTTPParser: undefined, path: '/api/v1/db/storage/upload-by-url?path=noco%2Fx%2FShots%2FImage', _ended: true, res: IncomingMessage { _readableState: [ReadableState], _events: [Object: null prototype], _eventsCount: 3, _maxListeners: undefined, socket: [Socket], httpVersionMajor: 1, httpVersionMinor: 1, httpVersion: '1.1', complete: true, rawHeaders: [Array], rawTrailers: [], aborted: false, upgrade: false, url: '', method: null, statusCode: 400, statusMessage: 'Bad Request', client: [Socket], _consuming: false, _dumped: false, req: [Circular *1], responseUrl: 'http://localhost:8080/api/v1/db/storage/upload-by-url?path=noco%2Fx%2FShots%2FImage', redirects: [], [Symbol(kCapture)]: false, [Symbol(kHeaders)]: [Object], [Symbol(kHeadersCount)]: 12, [Symbol(kTrailers)]: null, [Symbol(kTrailersCount)]: 0, [Symbol(RequestTimeout)]: undefined }, aborted: false, timeoutCb: null, upgradeOrConnect: false, parser: null, maxHeadersCount: null, reusedSocket: false, host: 'localhost', protocol: 'http:', _redirectable: Writable { _writableState: [WritableState], _events: [Object: null prototype], _eventsCount: 2, _maxListeners: undefined, _options: [Object], _ended: true, _ending: true, _redirectCount: 0, _redirects: [], _requestBodyLength: 0, _requestBodyBuffers: [], _onNativeResponse: [Function (anonymous)], _currentRequest: [Circular *1], _currentUrl: 'http://localhost:8080/api/v1/db/storage/upload-by-url?path=noco%2Fx%2FShots%2FImage', [Symbol(kCapture)]: false }, [Symbol(kCapture)]: false, [Symbol(kNeedDrain)]: false, [Symbol(corked)]: 0, [Symbol(kOutHeaders)]: [Object: null prototype] { accept: [Array], 'content-type': [Array], 'xc-auth': [Array], 'user-agent': [Array], host: [Array] } }, response: { status: 400, statusText: 'Bad Request', headers: { 'access-control-allow-origin': '*', 'access-control-expose-headers': 'xc-db-response', 'content-type': 'application/json; charset=utf-8', 'content-length': '82', date: 'Tue, 25 Oct 2022 12:58:21 GMT', connection: 'close' }, config: { url: '/api/v1/db/storage/upload-by-url', method: 'post', headers: [Object], params: [Object], baseURL: 'http://localhost:8080', transformRequest: [Array], transformResponse: [Array], timeout: 0, adapter: [Function: httpAdapter], xsrfCookieName: 'XSRF-TOKEN', xsrfHeaderName: 'X-XSRF-TOKEN', maxContentLength: -1, maxBodyLength: -1, validateStatus: [Function: validateStatus], transitional: [Object], data: undefined }, request: <ref *1> ClientRequest { _events: [Object: null prototype], _eventsCount: 7, _maxListeners: undefined, outputData: [], outputSize: 0, writable: true, destroyed: false, _last: true, chunkedEncoding: false, shouldKeepAlive: false, maxRequestsOnConnectionReached: false, _defaultKeepAlive: true, useChunkedEncodingByDefault: true, sendDate: false, _removedConnection: false, _removedContLen: false, _removedTE: false, _contentLength: 0, _hasBody: true, _trailer: '', finished: true, _headerSent: true, _closed: false, socket: [Socket], _header: 'POST /api/v1/db/storage/upload-by-url?path=noco%2Fx%2FShots%2FImage HTTP/1.1\r\n' + 'Accept: application/json, text/plain, */*\r\n' + 'Content-Type: application/json\r\n' + 'xc-auth: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InVzZXJAbm9jb2RiLmNvbSIsImZpcnN0bmFtZSI6bnVsbCwibGFzdG5hbWUiOm51bGwsImlkIjoidXNfcnl3Y3FwZmNtbTY4ZnUiLCJyb2xlcyI6InVzZXIsc3VwZXIiLCJ0b2tlbl92ZXJzaW9uIjoiZjA4MTMwOTMzNjUwNDhjYjRmMjdlMGI5Y2E2ZjY5ZjMwY2RjNDU0NWEyZjIyMmI2ZDdkMDY1ZjgwYTAzYTNjOGIxNDZlYTk3NjNhYzA4MWYiLCJpYXQiOjE2NjY3MDI2NTYsImV4cCI6MTY2NjczODY1Nn0.ymEEHLj526QrJgcfNJzJY9fCTBHXlX3GuHeG6U21Vfg\r\n' + 'User-Agent: axios/0.21.4\r\n' + 'Host: localhost:8080\r\n' + 'Connection: close\r\n' + 'Content-Length: 0\r\n' + '\r\n', _keepAliveTimeout: 0, _onPendingData: [Function: nop], agent: [Agent], socketPath: undefined, method: 'POST', maxHeaderSize: undefined, insecureHTTPParser: undefined, path: '/api/v1/db/storage/upload-by-url?path=noco%2Fx%2FShots%2FImage', _ended: true, res: [IncomingMessage], aborted: false, timeoutCb: null, upgradeOrConnect: false, parser: null, maxHeadersCount: null, reusedSocket: false, host: 'localhost', protocol: 'http:', _redirectable: [Writable], [Symbol(kCapture)]: false, [Symbol(kNeedDrain)]: false, [Symbol(corked)]: 0, [Symbol(kOutHeaders)]: [Object: null prototype] }, data: { msg: 'undefined is not iterable (cannot read property Symbol(Symbol.iterator))' } }, isAxiosError: true, toJSON: [Function: toJSON] }   Desired Behavior Import without error  Project Details Node: **v16.14.0** Arch: **arm64** Platform: **darwin** Docker: **false** Database: **sqlite3** ProjectOnRootDB: **true** RootDB: **sqlite3** PackageVersion: **0.98.1**  Attachements _No response_",source-file
