issue_no,repo,issue_url,title,description,patched_file_types
7314,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/7314,"RePostPayment fails with System.InvalidOperationException: Headers are read-only, response has already started.","nopCommerce version: 4.6+ Steps to reproduce the problem: Calling RePostPayment fails with ""System.InvalidOperationException: Headers are read-only, response has already started."" at Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.HttpHeaders.ThrowHeadersReadOnlyException() at Microsoft.AspNetCore.Server.Kestrel.Core.Internal.Http.HttpResponseHeaders.Microsoft.AspNetCore.Http.IHeaderDictionary.set_ContentType(StringValues value) at Microsoft.AspNetCore.Http.DefaultHttpResponse.set_ContentType(String value) at Microsoft.AspNetCore.Mvc.Infrastructure.ContentResultExecutor.ExecuteAsync(ActionContext context, ContentResult result) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.<InvokeNextResultFilterAsync>g__Awaited|30_0[TFilter,TFilterAsync](ResourceInvoker invoker, Task lastTask, State next, Scope scope, Object state, Boolean isCompleted) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.Rethrow(ResultExecutedContextSealed context) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.ResultNext[TFilter,TFilterAsync](State& next, Scope& scope, Object& state, Boolean& isCompleted) at Microsoft.AspNetCore.Mvc.Infrastructure.ResourceInvoker.InvokeResultFilters()  End of stack trace from previous location  https://github.com/nopSolutions/nopCommerce/blob/020f7571c2f37beedc33c8bfb04ab53565623c1b/src/Presentation/Nop.Web/Controllers/OrderController.cs#L237 Will write the form to the body. https://github.com/nopSolutions/nopCommerce/blob/020f7571c2f37beedc33c8bfb04ab53565623c1b/src/Presentation/Nop.Web/Controllers/OrderController.cs#L242 Will try to set Content Type header because of Content(""Redirected"").  Consider ""return new EmptyResult()"" instead of ""Content(""Redirected"")"", along with adding a <noscript> wrapped text ""please enable javascript"" or similar, to RemotePost https://github.com/nopSolutions/nopCommerce/blob/020f7571c2f37beedc33c8bfb04ab53565623c1b/src/Presentation/Nop.Web.Framework/RemotePost.cs#L115",source-file
2776,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/2776,/customer/productreviews doesn't respect Product's LimitToStores setting,"How to reproduce - 1. Setup two stores 2. Create a product and limit it to Store 1 3. Write a review for the product 4. Go to /customer/productreviews at Store 2 5. The review will be visible, even though it cannot be loaded",data-file | database-file | source-file | other-file | documentation-file | config-file
7308,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/7308,AJAX catalog requests should be converted from GET to POST,**nopCommerce version: 4.70.4** URL from Google results redirects to page without CSS In continuation of https://github.com/nopSolutions/nopCommerce/issues/7286. We should not allow to directly access them with GET (convert them to POST if possible),source-file | test-file
5359,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/5359,Country State Ajax loader is not stopped,nopCommerce version: 4.40 Beta Steps to reproduce the problem: 1) Register new customer 2) Add any product to cart 3) Do checkout while filling the billing address click on country dropdown and select country ajax loader is continues loading. If state is filling based on country than also it is loading continuously. ![image](https://user-images.githubusercontent.com/41533502/108676031-9cc34680-750d-11eb-93b4-02288076bf31.png),source-file
183,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/183,"General error fix for the ""Error during serialization"" issues (admin area only)","When we have too long json return we can get an exception - http://www.nopcommerce.com/boards/t/38582/blog-posts-not-appearing-in-admin-screen.aspx However, adding this override on BaseController will fix the issue in cases we need the content to be on the first place:  protected override JsonResult Json(object data, string contentType, Encoding contentEncoding, JsonRequestBehavior behavior) { return new JsonResult() { Data = data, ContentType = contentType, ContentEncoding = contentEncoding, JsonRequestBehavior = behavior, MaxJsonLength = Int32.MaxValue }; }  Source: http://www.nopcommerce.com/boards/t/38582/blog-posts-not-appearing-in-admin-screen.aspx?p=2",source-file
3946,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/3946,"Registration activation with ""+"" in the email addres will not be successfull","nopCommerce version: 4.20 Steps to reproduce the problem: If the activation link contains the email in an unescaped format like this (user+name@gmail.com) then the plus sign in the URL is represents a space, so the activation will not be successful for the email ""user name@gmail.com"". Source: Premium Support #14907",source-file | ui-file
3630,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/3630,"Return 404 page when a topic, blog post, news item cannot be loaded",Right now it redirects to the home page,source-file
7101,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/7101,Add more checks when validate shopping cart item attributes,"nopCommerce version: 4.60 > 1. Create a new nop installation, including the demo data (no plugins, no themes). > 2. Go to ""Nike Tailwind Loose Short-Sleeve Running Shirt"" in the frontend > 3. Select size ""Small"" > 4. Add the product to the cart, and place the order. > 5. Open exactly the same product in the backend > 6. Delete the product attribute value ""small"" from within the backend > 7. Navigate to the frontend, ""My Account > Orders"" and select the last order > 8. Press ""Rebuy"" and wait for redirect into the shopping cart > > And here is the problem. Once you are in the shopping cart you can see that there is already something weird happing. There is no product attribute description displayed. If you have a look at the database, your shopping cart item still contains the old product attribute Id that you previously deleted. > > 9. Place the order > > You were now successfully able to purchase a product (product attribute value) that no longer exists. Source: https://www.nopcommerce.com/boards/topic/98780/inconsistent-product-attribute-handling-in-reorder-functionality",source-file
3139,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/3139,Error when using a URL (store) that does not exist. It should throw error with usable errormessage.,"nopCommerce version: 4.1 Steps to reproduce the problem: If you have a url in the store(settings) that does not exist, you get a 502 error with no real error message. In order to find the real error, you have to debug the solution and get ""No such host"". Should there be a seperate URL for development?",source-file
3584,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/3584,Customer is Null when updating Return Request,"When i try to update the status of a return request the customer information is not populated at all, and so a null reference is thrown. Source: https://www.nopcommerce.com/boards/t/58325/customer-is-null-when-updating-return-request-local-environment-sqlexpress.aspx",config-file
6444,nopCommerce,https://github.com/nopSolutions/nopCommerce/issues/6444,Search by ipaddress on customer search page list not working properly,nopCommerce version: 460beta Steps to reproduce the problem: Search by ipaddress on customer search page list not working properly domain/Admin/Customer/List Search in ip address with space and without space before number 172.70.218.52,source-file
