issue_no,repo,issue_url,title,description,patched_file_types
9132,vercel,https://github.com/vercel/vercel/issues/9132,Python ASGI functions crashing on incoming headers,"## Issue When deploying a Python ASGI application (e.g. using FastAPI, Sanic) with Vercel Serverless, the function is built successfully but invoking the URL the function leads to a crash with a 500 error. Here is the backend log from Vercel:  [ERROR] AttributeError: 'list' object has no attribute 'encode' Traceback (most recent call last): File ""/var/task/vc__handler__python.py"", line 288, in vc_handler 'headers': [[k.lower().encode(), v.encode()] for k, v in headers.items()], File ""/var/task/vc__handler__python.py"", line 288, in <listcomp> 'headers': [[k.lower().encode(), v.encode()] for k, v in headers.items()],  ## Investigations It seems there is an issue with incoming complex headers parsing for ASGI functions: - Python WSGI applications (e.g. using Flask) do not show this error - Invocations of ASGI functions using `curl` or `httpie` works perfectly, no errors - Bisecting headers from the web browser (Firefox, Chrome), here is a faulty header causing the crash:  Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8  - Invocations of ASGI functions using `curl` or `httpie` using the above header are triggering the error ## Reproduction A simple hello world app with FastAPI or Sanic in a module name `app.py`: python from fastapi import FastAPI app = FastAPI() @app.get(""/"") def index(): return {""message"": ""Hello World""}  python from sanic import Sanic from sanic.response import json app = Sanic(name=__name__) @app.route(""/"") async def index(request): return json({""message"": ""Hello World""})  `vercel.json`:  { ""builds"": [ { ""src"": ""app.py"", ""use"": ""@vercel/python"" } ], ""routes"": [ { ""src"": ""/(.*)"", ""dest"": ""app.py"" } ] }  ## Related issues - https://github.com/vercel/vercel/issues/2526",test-file | source-file
738,vercel,https://github.com/vercel/vercel/issues/738,now buy domains returning `undefined` price,"~ git:(master)  now buy domains domain-name.something > The domain ""domain-name.something"" is available to buy under bukinoshita! [3s] > Buy now for $undefined (undefinedyr)? [y|N]",other-file
2162,vercel,https://github.com/vercel/vercel/issues/2162,"`now projects ` works, but `now project` does not","When removing a project  $ now projects rm  The project: nodejs will be removed permanently. It will also delete everything under the project including deployments. > Are you sure? [y/N]  but  $ now project rm  > Error! The specified file or directory ""project"" does not exist.  By convention, both should wortk.",source-file
2760,vercel,https://github.com/vercel/vercel/issues/2760,404 error for removing deployment takes forever to exit,Try removing any deployment (might be related to having used an alias) and you will notice that the command (even thought it printed a 404) will take forever to exit: ![2019-08-14 00 43 07](https://user-images.githubusercontent.com/6170607/62982483-8c1c1580-be2c-11e9-8d61-9e03d6413790.gif),test-file | source-file
110,vercel,https://github.com/vercel/vercel/issues/110,Corrupt data stream due to HTTP/2 (suspected),After quite a few hours of investigation I suspect that multipart/form-data data streams become corrupt (garbled) due to HTTP/2. If I try to a upload a file when using HTTP/2 the first couple of bytes become garbled. If I disable HTTP/2 (chrome --disable-http2) then I am unable to reproduce the issue. I have only been able to reproduce the issue with one specific file on some computers. Not reproducable on all computers that I've tested with. See linked GitHub project for a minimal test project with detailed investigation observations. https://github.com/pqvst/form-test If the culprit is indeed the HTTP/2 stack in _now_ then I would say that this is a pretty critical issue since it means that file uploads aren't guaranteed to work. Perhaps there are other scenarios as well?,source-file
2901,vercel,https://github.com/vercel/vercel/issues/2901,Errors are not being rendered,"If you break a serverless Node.js API, the error will not be rendered if you send a request to that file. Instead, it will load forever: [bad error handling.mp4.zip](https://github.com/zeit/now/files/3550905/bad.error.handling.mp4.zip)",documentation-file | config-file
922,vercel,https://github.com/vercel/vercel/issues/922,"now alias ls gives ""Could not match path alias for""",`now --version` > 8.3.10 `now alias ls my-app-obfuscated.now.sh` **Gives:** > Error! Could not match path alias for: my-app-obfuscated.now.sh **Expected:** List rules for alias **Notes:** `now alias ls` lists my-app-obfuscated.now.sh as an alias for one of the deployments Any help would be appreciated,source-file
3091,vercel,https://github.com/vercel/vercel/issues/3091,UnicodeEncodeError in python builder,"Any payload that has non-ascii characters in it blows up if not encoded in latin-1. All payloads from browsers will be utf-8. To reproduce: Have a web app send (fetch) a json payload with strings with Greek (or other non-ascii characters) to a python endpoint deployed on now. Logs:  Duration: 1.84 ms Billed Duration: 100 ms Memory Size: 3008 MB Max Memory Used: 66 MB Unhandled exception in thread started by <bound method BaseServer.handle_request of <http.server.HTTPServer object at 0x7f83a3e29e48>> Traceback (most recent call last): File ""/var/lang/lib/python3.6/socketserver.py"", line 298, in handle_request ready = selector.select(timeout) File ""/var/lang/lib/python3.6/selectors.py"", line 376, in select fd_event_list = self._poll.poll(timeout) PermissionError: [Errno 1] Operation not permitted 'latin-1' codec can't encode characters in position 2370-2379: Body ('') is not valid Latin-1. Use body.encode('utf-8') if you want to send it encoded in UTF-8.: UnicodeEncodeError Traceback (most recent call last): File ""/var/task/now__handler__python.py"", line 42, in now_handler headers=headers, data=body, allow_redirects=False) File ""/var/task/requests/api.py"", line 60, in request return session.request(method=method, url=url, **kwargs) File ""/var/task/requests/sessions.py"", line 533, in request resp = self.send(prep, **send_kwargs) File ""/var/task/requests/sessions.py"", line 646, in send r = adapter.send(request, **kwargs) File ""/var/task/requests/adapters.py"", line 449, in send timeout=timeout File ""/var/task/urllib3/connectionpool.py"", line 672, in urlopen chunked=chunked, File ""/var/task/urllib3/connectionpool.py"", line 387, in _make_request conn.request(method, url, **httplib_request_kw) File ""/var/lang/lib/python3.6/http/client.py"", line 1254, in request self._send_request(method, url, body, headers, encode_chunked) File ""/var/lang/lib/python3.6/http/client.py"", line 1299, in _send_request body = _encode(body, 'body') File ""/var/lang/lib/python3.6/http/client.py"", line 171, in _encode (name.title(), data[err.start:err.end], name)) from None UnicodeEncodeError: 'latin-1' codec can't encode characters in position 2370-2379: Body ('') is not valid Latin-1. Use body.encode('utf-8') if you want to send it encoded in UTF-8.  Full reproduction here: https://github.com/offero/nowpyunicodefail",test-file | source-file
1337,vercel,https://github.com/vercel/vercel/issues/1337,`now alias ls <url> --json` outputting the json to stderr,"$ now alias ls my-path-alias.now.sh --json > rules.json { ""rules"": [ <snip> ] }",source-file
3539,vercel,https://github.com/vercel/vercel/issues/3539,"now.json ""rewrites"" routes with dynamic params 404 using `now dev`",Reduced test-case: https://github.com/wilsonpage/zeit-now-next-rewrites-bug  Steps: 1. Run `now dev` 2. Visit http://localhost:3000/hello 3. Observe `world` `200` response  4. Visit http://localhost:3000/hello-regex/john 5. Observe `404` response  6. Visit http://localhost:3000/hello-param/john 7. Observe `404` response,test-file | source-file
