issue_no,repo,url,defect type,rationale,,,,,,,
208,Annif,https://github.com/NatLibFi/Annif/issues/208,Middleware Integration Failures in REST APIs,The issue is caused by unhandled HTTP exceptions and error conditions during REST API backend integration resulting in runtime failures.,,,,,,,
389,Annif,https://github.com/NatLibFi/Annif/issues/389,Schema and Payload Validation Errors in POST APIs,Annif fails when MauiServer returns malformed URIs in the API response payload indicating a lack of validation for response schema and field values.,,,,,,,
459,Annif,https://github.com/NatLibFi/Annif/issues/459,Query Filter and Search Parameter Handling Errors,The limit query parameter is not correctly passed to the MauiServer resulting in an unexpected restriction on the number of suggestions returned.,,,,,,,
17,apistar,https://github.com/encode/apistar/issues/17,Middleware Integration Failures in REST APIs,Issue is about handling redirect exceptions raised by the underlying Werkzeug middleware when routing requests without trailing slashes.,,,,,,,
94,apistar,https://github.com/encode/apistar/issues/94,Environment-Specific Behavior and Configuration Bugs,Reading the request body hangs specifically under Python 3.5.2 indicating an environment-specific issue.,,,,,,,
120,apistar,https://github.com/encode/apistar/issues/120,Schema and Payload Validation Errors in POST APIs,Issue concerns handling invalid JSON or form content in request payloads which should trigger a 400 response.,,,,,,,
4492,awx,https://github.com/ansible/awx/issues/4492,Volume and File Upload/Access Errors,Setting CUSTOM_LOGO via the API appears to succeed but the uploaded image is not displayed at login indicating a failure in file upload or access handling through the API.,,,,,,,
4531,awx,https://github.com/ansible/awx/issues/4531,Job Execution and Workflow Configuration Defects,Removing customized messages from a notification template causes a 500 error indicating a workflow misconfiguration in the API.,,,,,,,
4541,awx,https://github.com/ansible/awx/issues/4541,Middleware Integration Failures in REST APIs,The webhook notification integration intermittently fails to report all hosts indicating a problem in the REST API's interaction with the external webhook endpoint.,,,,,,,
4573,awx,https://github.com/ansible/awx/issues/4573,Schema and Payload Validation Errors in POST APIs,The CLI and API reject valid dictionary-like input for the --inputs flag due to improper schema validation and type handling.,,,,,,,
4781,awx,https://github.com/ansible/awx/issues/4781,Authentication and Token Management Errors,API POST requests to workflow_job_template_nodes fail with 401 errors indicating authentication or token-based access is not working as expected.,,,,,,,
4907,awx,https://github.com/ansible/awx/issues/4907,Environment-Specific Behavior and Configuration Bugs,API fails to report the execution node when inventory updates are deployed to container groups due to environment-specific configuration.,,,,,,,
4910,awx,https://github.com/ansible/awx/issues/4910,Container and Resource Quota Handling Errors,Jobs are dispatched to container groups even when Kubernetes ResourceQuota is exceeded causing immediate failures due to lack of quota enforcement.,,,,,,,
4943,awx,https://github.com/ansible/awx/issues/4943,Database/Table User Access Handling Errors,System Auditor user role is unable to view container groups due to insufficient access permissions.,,,,,,,
5028,awx,https://github.com/ansible/awx/issues/5028,Schema and Payload Validation Errors in POST APIs,API returns a 500 error when creating a notification template with an invalid message format instead of properly validating the payload.,,,,,,,
5046,awx,https://github.com/ansible/awx/issues/5046,Job Execution and Workflow Configuration Defects,Nested workflow jobs fail to start correctly when inventory is set via prompt on launch leading to stuck workflows and missing child jobs.,,,,,,,
5081,awx,https://github.com/ansible/awx/issues/5081,Environment-Specific Behavior and Configuration Bugs,Setting the base URL fails with error 400 specifically when using an internal DNS domain with a non-standard TLD indicating environment-specific configuration handling.,,,,,,,
5099,awx,https://github.com/ansible/awx/issues/5099,Schema and Payload Validation Errors in POST APIs,The API rejects valid input for webhook_service because the default value is not included in the allowed choices causing schema validation to fail.,,,,,,,
5478,awx,https://github.com/ansible/awx/issues/5478,"Session, Token, and Account Lifecycle Management Errors",Deleting an OAuth token using itself as the Bearer results in a 500 error indicating a problem in token lifecycle management.,,,,,,,
5528,awx,https://github.com/ansible/awx/issues/5528,Schema and Payload Validation Errors in POST APIs,The API rejects a list-typed setting as a string due to improper payload type handling when modifying settings via the CLI.,,,,,,,
5717,awx,https://github.com/ansible/awx/issues/5717,Job Execution and Workflow Configuration Defects,Normal users with correct permissions cannot create schedules via the API even though they can from the UI indicating a workflow configuration mismatch between API and UI.,,,,,,,
5882,awx,https://github.com/ansible/awx/issues/5882,Job Execution and Workflow Configuration Defects,Workflow Job Template API endpoint does not provide credential type and kind information for webhook credentials leading to incomplete workflow configuration data.,,,,,,,
5964,awx,https://github.com/ansible/awx/issues/5964,Authentication and Token Management Errors,Authentication failure with bad credentials leads to a cryptic error message instead of a clear unauthorized response.,,,,,,,
5983,awx,https://github.com/ansible/awx/issues/5983,Query Filter and Search Parameter Handling Errors,Changing the items per page parameter on a paginated list leads to a 404 error indicating incorrect handling of query parameters for pagination.,,,,,,,
6049,awx,https://github.com/ansible/awx/issues/6049,Environment-Specific Behavior and Configuration Bugs,Nested hosts view for inventory group returns 404 in ui_next indicating a UI or API route not functioning in this specific environment version.,,,,,,,
6225,awx,https://github.com/ansible/awx/issues/6225,Job Execution and Workflow Configuration Defects,Setting ask_variables_on_launch to true via API does not allow passing required variables at launch causing job execution to fail with undefined variable errors.,,,,,,,
6267,awx,https://github.com/ansible/awx/issues/6267,Job Execution and Workflow Configuration Defects,The email notification incorrectly displays a null started field for the approval node despite the API providing the correct value indicating a workflow data mapping or configuration issue.,,,,,,,
6309,awx,https://github.com/ansible/awx/issues/6309,Schema and Payload Validation Errors in POST APIs,API accepts invalid fields like id and name in POST request and fails to require mandatory fields such as source resulting in improper object creation.,,,,,,,
6342,awx,https://github.com/ansible/awx/issues/6342,Environment-Specific Behavior and Configuration Bugs,Custom virtualenvs configured in Kubernetes are not recognized by the API despite being present in the container filesystem.,,,,,,,
6362,awx,https://github.com/ansible/awx/issues/6362,Schema and Payload Validation Errors in POST APIs,API returns a 400 error when saving a job template with inventory prompt enabled but no inventory selected indicating a schema or payload validation issue.,,,,,,,
